,pretty_comp,bulk_modulus_kv
0,NaYSe2,42.967
1,Mn(NbS2)2,66.589
2,BeCuPd2,160.467
3,CrSi2,183.21099999999998
4,KSmTe2,30.022
5,BaSrHf,14.732999999999999
6,PrAlO3,207.0
7,HfAlCu2,135.033
8,Mn2AlV,195.533
9,DyPPt,138.911
10,Al2CuO4,190.233
11,ZrRu,185.833
12,KV(CuSe2)2,27.178
13,KSc2Be,23.756
14,Dy(SiRh)2,156.122
15,BaGaBr2,24.022
16,DyCo5,157.822
17,PuB2,151.144
18,Tl(CoSe)2,49.943999999999996
19,HfAlIr2,219.067
20,Ca3AsCl3,41.766999999999996
21,RbAgO,29.421999999999997
22,CdPdAu2,111.87799999999999
23,CaTi2O5,88.978
24,BaYTe,15.633
25,YCuSn,80.35600000000002
26,CePO4,98.6
27,MnCuPd2,148.63299999999995
28,ErTlS2,51.544
29,Er(SiPd)2,136.422
30,CaBe2Rh,84.64399999999998
31,Sm2O3,143.54399999999995
32,Np2InRh2,118.333
33,ScBeRh,127.311
34,AsRuBr,49.433
35,LiSi2N3,160.578
36,Ca4Mg3H4,49.7
37,KHo2CuS4,60.556000000000004
38,NaNO2,32.711
39,TlGaO2,88.678
40,SrBeV,33.467
41,MgTe2,40.733000000000004
42,MnBeCo4,178.13299999999995
43,HoHg,74.133
44,MnSbPd2,112.8
45,CdCO3,107.73299999999999
46,MgScGa,57.766999999999996
47,AlCoO3,190.433
48,Cr2CoO4,237.033
49,LiBiF5,32.067
50,HoHg2,72.933
51,BaHI,29.63300000000001
52,TbMn2,140.667
53,Ba2NbTl,26.333000000000002
54,Ca(CrN)2,124.322
55,DyNi2,124.9
56,Sc3Pb,64.322
57,Be4TeO7,187.967
58,Mg3(PO4)2,84.98899999999998
59,CeZnSbO,63.956
60,Ba(MgBi)2,34.056
61,PrH3,84.35600000000002
62,UGa2,96.27799999999999
63,Sr(NdS2)2,72.056
64,HfCo2,203.833
65,Zn2Bi2O5,83.22200000000002
66,Na4SnS4,27.833000000000002
67,UCoAs2,127.56700000000001
68,Rb3NaBe2F8,37.1
69,PrCr2Si2C,161.289
70,K2TeO3,29.011
71,Li2SO4,63.989
72,SrGe(PO4)2,93.4
73,LaC2,100.211
74,TiTc,208.1
75,ErTiSi,95.822
76,Ca2PI,37.489000000000004
77,VFe3,214.36700000000002
78,Be2CdRu,127.6
79,BeNb2Br,77.467
80,RbErS2,49.288999999999994
81,BaCuAs,54.611000000000004
82,GaBiO3,182.067
83,Ba(MnSb)2,38.455999999999996
84,Sn(WO4)2,55.888999999999996
85,Ca2GeO4,87.96700000000001
86,SmTmMg2,42.367
87,SrTeO4,81.833
88,HfAlFe2,175.2
89,VInPt,125.244
90,NbAs,162.54399999999995
91,Ba(FeS2)2,51.288999999999994
92,PaC2,195.278
93,Ta2AgF2,18.833
94,CeNbO4,143.467
95,TePdI2,28.644000000000002
96,KH3C2O3,20.589000000000002
97,NaY2In,46.233000000000004
98,KInO3,76.933
99,YBe2Cu,75.111
100,NpSbTe,58.922
101,BeCrTe2,55.6
102,SrTcO3,192.233
103,KTa2Be,82.333
104,TiGeTe6,25.8
105,KBe2BO3F2,79.411
106,BaTeO3,49.622
107,Sm2RuAu,99.73299999999999
108,Sn7Ir5,134.95600000000002
109,MnSbPt,94.167
110,KBe2Co,37.311
111,TiHgO3,192.456
112,ScHO2,124.344
113,MgTi3,85.26700000000002
114,NiI2,24.511
115,Na2BeFe,34.233000000000004
116,CuNiSb2,90.822
117,Yb5Ge3,41.443999999999996
118,Na2CeO3,96.956
119,Sm2As4O9,46.9
120,CeS,86.8
121,Cd(InSe2)2,33.455999999999996
122,Mg(CuN)2,106.167
123,RbTe6,23.5
124,Hf2Zn,112.98899999999999
125,In5AgSe8,31.267
126,DyAlAg2,87.6
127,MnAlF5,85.333
128,NaMgF3,70.078
129,KBaCr,7.532999999999999
130,Ca(NO3)2,38.1
131,Ag3AsSe3,29.44400000000001
132,MoW(SeS)2,37.989000000000004
133,H4IN,12.155999999999999
134,TbZn2,67.067
135,YZn,54.8
136,Tb2SO2,126.43299999999999
137,CaBHO3,84.133
138,Sc(VGa2)2,119.756
139,Tl3SbSe3,21.63300000000001
140,MoWSeS3,42.467
141,Ca3N2,76.956
142,Be2TlTc,147.689
143,Ti2AsRh,138.7
144,Tb3CuGeS7,72.789
145,NbSiRh,219.856
146,PaAs2,112.51100000000001
147,BaVS3,52.122
148,Ca2SnN2,75.1
149,SrTaBe,60.766999999999996
150,TiCd,85.178
151,NaBeV2,86.311
152,Na2CuP,36.6
153,BeFePt,176.25599999999997
154,HfGeO4,227.333
155,Ba2MgGa,21.63300000000001
156,Li2MnO3,102.01100000000001
157,Li5MnO5,82.53299999999999
158,FePO4,76.289
159,SmCoSi3,117.244
160,YbI2,15.967
161,ScBeSn,69.444
162,BeNi3,190.1
163,NdNiC2,150.033
164,Pr3CuSiS7,70.133
165,NaBeBi,24.2
166,Li2CeAs2,52.511
167,Sm2Tl,53.167
168,CrPbO3,181.86700000000002
169,Ba2CaTa,17.933
170,Ta2H,204.456
171,YbBRh3,170.8
172,AuI,16.122
173,Sr2BrN,50.788999999999994
174,NbF3,95.03299999999999
175,TmN,183.267
176,BeCoHg2,84.811
177,Y(SnO2)2,109.56700000000001
178,K2BaSe,10.444
179,Li2MnBe,64.64399999999999
180,RbGeI3,20.666999999999998
181,DyScO3,177.81099999999995
182,SrBeSb,43.833
183,Ca2N,39.211
184,Zn4(B2O)3,189.63299999999998
185,BaBeCl2,29.433000000000003
186,KTlCl4,16.889
187,GaNi3,179.767
188,LiHo2Ga,55.867
189,TlBiTe2,32.510999999999996
190,Be2GaOs,154.411
191,MnSiNi2,181.967
192,MnBe2In,103.744
193,RbDyS2,47.722
194,Hg3C,61.467
195,SrZrBe,39.533
196,V5Sb4,84.01100000000002
197,Tc2AsPt,209.067
198,NpNi2,169.86700000000005
199,HoVO4,143.278
200,Mn2SnW,229.9
201,LiPt,124.744
202,HoPb3,53.133
203,NaBeTl2,29.544
204,TaAlO4,231.4
205,Ta3SBr7,39.611
206,Tb3TlC,42.6
207,PbBrCl,40.222
208,CoSb,131.433
209,CaTe,43.067
210,BeTc2Hg,155.1
211,MgP4,61.1
212,NbI2O,36.389
213,Rb(SbSe2)2,24.489
214,LiSbTe2WO2,109.556
215,Sr(AsPd)2,82.46700000000001
216,Er2TeO2,108.867
217,Ta2BeCo,193.433
218,Th3Sb4,80.7
219,LiTiBe2,67.056
220,ErPt3,184.6
221,LiI,22.622
222,CoPtF6,68.133
223,Pb(CO2)2,36.644
224,MnCoTe,111.0
225,NdC2,108.756
226,LiPaPt2,135.933
227,BeVNi4,186.333
228,HoTe,68.133
229,BeW2Se,154.556
230,KTiPS5,20.189
231,Yb3TlC,18.733
232,Ti3O,145.622
233,NdCuS2,77.889
234,HfZrO4,216.178
235,GaAgSe2,54.478
236,CoTe(PbO3)2,128.667
237,Er2InAg,70.467
238,Na3GaS3,28.13300000000001
239,LiMgP,56.8
240,LiCeSn2,53.0
241,NbF4,71.122
242,Co2Sn,148.95600000000005
243,YbSnPd2,98.833
244,Dy(FeB)2,132.167
245,Ba4Na(BN2)3,67.633
246,Rb2CaH4,19.855999999999998
247,AuCN,93.9
248,TmMgHg2,69.9
249,HfBrN,59.367
250,Sr2TiBe,27.4
251,ScSb,69.933
252,V3As,192.967
253,Ta2FeAs,168.6
254,LiPF6,29.878
255,LiFePd2,120.0
256,TbAu2,105.756
257,ErSi,94.611
258,MnAlRh2,189.63299999999998
259,SrLi2Be,21.078000000000007
260,Na3Al,15.167
261,BaNaHg2,22.389
262,ZrNi3,175.15599999999995
263,Sm3V,49.4
264,Sr5As3,39.689
265,Tm2AlZn,68.2
266,P3Ir,165.13299999999995
267,PuS,76.933
268,BaTiBr,13.467
269,TaSb2,101.822
270,HfBe2Zn,108.46700000000001
271,CaMn2Be,54.533
272,CaF2,88.133
273,BeV2In,118.211
274,Tl2CuF4,43.778
275,NaSrBO3,80.111
276,NdBi2ClO4,78.0
277,SmMgPt,85.76700000000002
278,ScSnO3,119.93299999999999
279,DyTiClO3,104.27799999999999
280,TmCo3B2,215.822
281,ScGeAu,98.1
282,SrScBe,37.922
283,Nd(CuGe)2,97.633
284,BeV2Cd,134.244
285,MgSnF6,36.422
286,SmScSi,72.7
287,Dy2Cr2C3,164.322
288,Yb(MnGe)2,88.9
289,Ga3BN4,213.567
290,TbBr,27.156
291,BaRuPt2,109.85600000000001
292,Dy(Al2Cr)4,119.444
293,LiCdBO3,95.333
294,LiYbF4,68.01100000000001
295,TcBr3,19.4
296,Sc2TeO6,158.811
297,Mg(HO)2,50.111000000000004
298,SbAsRh,115.2
299,ScNi,113.4
300,Er3AlN,98.8
301,PrCuS2,75.044
302,ZrBr,46.443999999999996
303,BeCuPt2,193.933
304,Zn(AgO2)2,73.9
305,DyAgTe2,44.911
306,Zr2NiP,153.944
307,NdSb2Pd,69.589
308,Sc2NiIr,142.033
309,Sm(SiNi)2,131.933
310,Ag8S,69.311
311,SrHg2,37.989000000000004
312,Li2MoO3,119.9
313,NiSnRh2,186.7
314,RbCrO2,128.178
315,Na6MgO4,58.7
316,ThCl4,42.933
317,DyAgSb2,71.578
318,LuNi2B2C,192.356
319,Ti2H4Pd,139.767
320,TbInCu2,87.23299999999998
321,Li3VO3F2,65.689
322,SnS2,22.378
323,LiMoO2,193.856
324,CaPbI4,23.478
325,Ba2CuF6,51.0
326,Ce2SO2,103.311
327,BeGaW,132.644
328,RbCeSe2,33.0
329,NbSiAs,147.189
330,Li5ReN4,75.044
331,AlAuO2,186.63299999999998
332,MnBe2Ge,143.244
333,Li2BeCd,45.31100000000001
334,Li2WS4,12.122
335,Sb2Te4Pb,35.133
336,AsRh2,190.833
337,Ag5(PbO3)2,97.456
338,Fe3RhN,185.4
339,UCO5,73.244
340,Yb5Sb3,43.71100000000001
341,Er2Au,72.8
342,Cr(SiO3)2,126.37799999999999
343,Ca2Mn3O8,135.578
344,RbMgF3,73.267
345,Sr(CdP)2,57.067
346,RbLiCrO4,33.789
347,AlSi,71.333
348,BaNbCd,14.467
349,Tl2Au,42.71100000000001
350,U3O8,173.356
351,P2Ir,189.956
352,SiTe2,35.54400000000001
353,YCo5,155.856
354,Lu2CuPt,108.133
355,Ca(SmS2)2,75.033
356,Na2CaBe,19.444000000000006
357,MgNbRu2,192.63299999999998
358,TiCoAs,120.833
359,ScVO4,158.267
360,K4ZnAs2,17.122
361,NaO3,31.389
362,HfMgIr2,192.667
363,UNiSn,106.667
364,LiTi2As,80.7
365,YbS,68.5
366,Cu3SbS4,68.933
367,Si2B2O5,165.033
368,Ti2B,160.078
369,Be2PCl,64.14399999999999
370,Y2Si4Mo3,153.089
371,Ba3(HIr)2,38.211
372,TbPO4,153.267
373,Zn(SbO3)2,134.656
374,Ba4CaV,12.3
375,BeFeNi2,180.067
376,LiSbAu,55.967
377,CaCN2,81.133
378,SmSF,109.8
379,YCuO2,125.42200000000001
380,V3Pd,198.36700000000002
