,pretty_comp,formation_energy_peratom
0,YBe2Se,0.01023
1,Lu(MnGe)6,-0.25477
2,LiFe5O8,-1.5289700000000002
3,Pa3Ta,0.18161
4,TaNiTe5,-0.26628
5,Cu2SO4,-0.94091
6,AlCrNi2,-0.25024
7,Li3CoO2F,-1.89819
8,Pd(Se4Cl)2,-0.15070999999999998
9,Li3V4O8,-2.43898
10,BeSi2Sb,0.80769
11,Cd2PbO4,-1.12024
12,BaLaMn2O6,-2.6869400000000003
13,SmGeAu,-0.8570200000000001
14,TmInCu2,-0.34763
15,Na2Mg5(P2O3)2,-2.72248
16,Ba4BiRu,0.6633100000000001
17,Tb4Sb3,-1.02661
18,RbUAgS3,-1.17095
19,BaCa2Sn,-0.36125999999999997
20,Fe(SiP)4,-0.28757
21,KLiS,-1.40079
22,Y2Be2FeSi2,-3.02367
23,CaV4O8,-2.61321
24,Nb6Co6Si7,-0.49939
25,PrGe3Rh,-0.6876399999999999
26,HfBePb2,0.41983
27,SrGa2,-0.55752
28,BaSn2Pb,-0.36556
29,CeZnSbO,-1.74752
30,BaGaRe2,1.37594
31,Nb6Co7,-0.18309
32,Th2Cu,0.50679
33,NdO2,-2.8328900000000004
34,YbTmPt2,-1.32659
35,Mn4BeRe,0.09307
36,GaFeIr2,-0.19344
37,AuSCl5,-0.24043
38,KBa4Ir,0.80847
39,PI2,-0.05037
40,Tb(CrSi)2,-0.37921
41,Be2CrGe,-0.03434
42,Nd(CrSi)2,-0.35459
43,BeNbRh2,-0.26406
44,Re3Si,0.21248000000000009
45,Be2InPd,-0.04703
46,KTiS2,-1.49915
47,Al2O3,-3.2967800000000005
48,Ca2ZnRh,-0.39693
49,Be2CrIn,0.43077
50,LiYbAlF6,-3.88989
51,SrCrF6,-3.20575
52,Ac2ZnSi,-0.36079
53,Li2MnV3O8,-2.37753
54,GaAsO4,-1.5268700000000002
55,NdS3,-1.00062
56,PmRh3,-0.40553
57,LiVP2O7,-2.29973
58,Rb2AuBr,-0.49116000000000004
59,H6CNF,-0.5824600000000001
60,Sr3SbP,-0.35345
61,RbNdSe2,-1.8312700000000002
62,CeZnGa,-0.45249
63,Li4Mn3Cr3O2,-2.05306
64,Sr2Cu(IO)2,-1.9123
65,LiAg,-0.24606999999999998
66,Ba4SiPb,0.35959
67,Er5BiAu2,-0.32885
68,BeFePd,-0.20836
69,K2MnS2,-1.06691
70,LiV2F5,-2.65961
71,ZrPt3,-1.05687
72,BaCd2Sb,-0.30585
73,Mg2FeWO6,-2.3866099999999997
74,TlCl,-1.0440200000000002
75,Cr4Cu3O2,-1.5610600000000001
76,Ho3ScO6,-3.85426
77,Li4FeO3,-1.82121
78,BeTlCr,0.98852
79,Er5Sb3,-0.8842700000000001
80,HoGeIr,-0.9593
81,Ba2CrSb,-0.1626
82,RbTiBr3,-1.45434
83,LiGaTe2,-0.63936
84,Sc(VGa2)2,-0.38756
85,BeGaBr,-0.06154
86,MnGeO3,-1.6445299999999998
87,TiPt3,-0.84804
88,LiMnVO4,-2.27645
89,Ti2ReIr,-0.79319
90,Yb2AgPd,-0.74493
91,NF,0.24702
92,H4IN,-0.39004
93,MoCl4O,-1.13086
94,LiAl2FeO6,-2.34804
95,Ni2P2O7,-1.70816
96,Ca2VN3,-1.40709
97,MoSe2,-0.6312
98,Sc2TaBe,0.28045
99,Be2NbPb,0.33165
100,Na3SrPCO7,-2.34321
101,YbF2,-4.38553
102,SrBeCd4,0.16399999999999998
103,Sr(SiAg)2,-0.30096999999999996
104,BeBiPb,0.45993999999999996
105,PdSe2O5,-0.70223
106,LiEr2Rh,-0.55033
107,Li2Co(NiO3)2,-1.37464
108,TmAgTe2,-0.88959
109,CeCrO3,-2.8209
110,KZnP,-0.55433
111,Bi(TeBr2)2,-0.47656000000000004
112,HoHfOs2,-0.48469
113,PrZnIn,-0.46818
114,MnTl3,0.45643
115,ReC,0.22727
116,BeTcIr,-0.03501
117,Ba2AsBr,-1.5972899999999999
118,GaHO2,-1.49294
119,Li2O,-1.96302
120,Ca(HoSe2)2,-1.99659
121,Ba4InRh,0.60373
122,B2Mo2Ru,-0.34323000000000004
123,Li2Ti3NbO8,-2.88916
124,Cu(IrS2)2,-0.43177
125,NbCoP,-0.8381
126,LiCo(CO)4,-0.84859
127,Co3C,0.11908
128,Be2ZnGa,0.32023
129,Tm2CdIn,-0.39955
130,Sc2InAg,-0.39966
131,Ba4NbIn,0.80456
132,CrCo5O2,-1.12898
133,Ba2CoMoO6,-2.39323
134,DyGaRh2,-0.82573
135,TmTh3,0.03413
136,KYSn,-0.01826
137,RbInBr3,-1.21937
138,Sc3InB,-0.43137
139,BaNaMo,1.63919
140,Ca(BH)2,-0.27581
