,pretty_comp,ehull
0,Li3(CuO2)2,0.014375777777777987
1,PrCuPb,0.0
2,Sr2B4Rh5,0.0
3,SmSe2,0.0
4,HfSb,0.0
5,TaBe2Rh,0.044890500000000166
6,NaLi3,0.03901568750000002
7,Nd(SiOs)2,0.0
8,MgBeBr2,0.04902715499999996
9,LiMnTe2,0.0
10,LiCo2OF3,0.1024677685714317
11,Li3Al(BO3)2,1.3333333330756147e-05
12,TiBeHg,0.441766977777778
13,Ho(MnGe)2,0.0
14,LaC,0.6588855000000002
15,LiTaRh2,0.0
16,TbGeAu,0.0
17,Ba2TiOF6,0.0
18,Rb3Ir,0.575573863125
19,LiVPO5,0.0
20,Be2CrNi,0.10650125
21,U3TiGe5,0.0
22,BeSbPb2,0.5398707599999998
23,Ba2Ho(CuO2)3,0.0
24,Ti2CoS4,0.0
25,Li3Nb3TeO2,0.0
26,TlPS3,0.0
27,Ca2ZnSn,0.0
28,Ba2MoPb,0.5434883149999998
29,Li3YBi2,0.0
30,K2Sr2O3,0.0
31,Na4BeSi,0.6472823666666665
32,BCl3,0.0
33,CaTa4O,0.0
34,LaSe,0.0
35,Sc3RuC4,0.0
36,Dy5Ge3B,0.0
37,Ba2Ca(BO3)2,0.0
38,Ca(AlS2)2,0.0
39,Tm2PdPt,0.0
40,Pu3Sc,0.17617831250000116
41,UAl2Pd5,0.0
42,ThCo9Si2,0.01465319166666834
43,NdCuSn,0.0
44,CoAgO3,0.14574349999999825
45,Mg(BiO3)2,0.13237238888888214
46,CaCeAg2,0.0
47,V4SiSb2,0.0
48,AlCu3,0.012312425000000016
49,Sr3P4,0.0
50,Sr2Fe2Se2OF2,0.0
51,LiBeCu2,0.0
52,ErInAu2,0.0
53,LuBrO,0.0
54,LiMgAs,0.0
55,TbMg3,0.0
56,Mo3W(SeS3)2,0.07831516666666705
57,ZrBeGe4,0.4888551458333332
58,BaVO3,0.004029800000041385
59,K5V3,0.0
60,Mn5O3F5,0.06688259877146496
61,Ba2Cu3P4,0.0
62,NdVO4,0.0
63,Mn2AlB2,0.0
64,HfScOs2,0.0
65,SrBeSn4,0.17146913499999994
66,Ce2CoSi3,0.0
67,K5CuSb2,0.0
68,Rb3Pm,0.5775589468750001
69,Mn2BePd,0.16518224712643634
70,Co3W,0.0966123750000003
71,UZnNi4,0.0
72,Au7I,0.016300555555555096
73,PmBi3,0.0
74,BeMoSe,0.2718883333333335
75,Th(SiRu)2,0.0
76,Sr3(AlGe2)2,0.0
77,SnPO3F,0.0
78,VCo2Si,0.0
79,Er3(In2Co)2,0.0
80,V2CrSe4,0.0
81,Pr3TaO7,0.0
82,MgHg,0.0
83,Ca(TiS2)4,0.047168769230765406
84,BeZn2Mo,0.272406175
85,ZrSe2,0.0
86,Li3Mn2Cr2O8,0.0
87,CaSn(BO3)2,0.0
88,Lu2ZnS4,0.0
89,NdP5,0.0
90,Si3Os2,0.0
91,BeCdRu2,0.10423496875000016
92,Ba5Al2In2IrClO3,0.0
93,Be2NiMo,0.1838242499999998
94,Be2ZnMo,0.1932114000000001
95,FeNi3(P2O3)2,0.0
96,Na2Te2O7,0.0
97,BaZnIr2,0.4842592924999998
98,Zr6Al6Os7,0.0
99,Nd3Se4,0.0
100,Rb2AgSbS4,0.0
