,pretty_comp,encut
0,ScCrC2,900
1,CaSmRh2,650
2,CeFeO3,850
3,Li2GaHg,750
4,HfFeO3,1250
5,Be2BiPt,1000
6,BaNiPt2,600
7,ScAlCu2,650
8,Ca2GeO4,1150
9,K2CO3,1250
10,TaTe4Ir,500
11,Li2Ti3CoO8,1250
12,Li2SnGe,750
13,YZr,550
14,Y2MgRu,700
15,TaBe2Rh,1050
16,Sr2BePd,950
17,TiBiRh,500
18,TbCeO4,900
19,CuSiBr,650
20,Te4MoW3S4,650
21,YI3,500
22,RbNaTiO3,1200
23,ErCdPd2,500
24,NdTlAu2,550
25,HgPd2Au,850
26,BeCrRh2,1050
27,BaP2Pb,500
28,SmTmHg2,550
29,BaSrNi2,600
30,SrZn2,700
31,SmCuSeF,600
32,Be2SbW,1000
33,NbCo2Sn,550
34,TaFeSb,500
35,PaAgAu2,550
36,BeNbTc,1000
37,HfAlPd2,500
38,CaBeHg2,1000
39,BeGaOs,650
40,BaAlFeCuO5,1150
41,NbPt,500
42,V2Bi4O,1200
43,Ca5Au3,650
44,BaBiSe4,550
45,Hg2SeO4,1200
46,Ba4ZnMo,650
47,Ni3Au,650
48,Na3Mn4O8,1200
49,SmDyZn2,650
50,BeSeBr4,950
51,Li6VCoP2(CO2)2,1350
52,HoZnRh,1100
53,LiZnAg2,800
54,CeMnSi2,1350
55,BaZn(FeO2)4,1200
56,Ca4Al6O3,1250
57,TaBe2Se,1000
58,AcAgTe2,500
59,ErTlO2,800
60,HfRh3,650
61,Er2Au,650
62,KH4O2F,1200
63,Be2TcCl,1050
64,TmBrO,800
65,Tm(SiPd)2,500
66,BiTeI,500
67,Ba2YCo3O7,1250
68,NaTm3,500
69,GaGeTe,700
70,Nd2CuRu,650
71,RbSmO3,800
72,BaTi2O5,1300
73,FeF2,700
74,Sr2Sb2O7,1250
75,ScNi,600
76,Be2RuW,1000
77,NpPt,700
78,NbInPt,500
79,MnBe2Ir,1050
80,Mo2RuSe4,600
81,Ba4NiGe,550
82,SmGaSb2,500
83,ScInAu2,550
84,ZnNi,600
85,UCdO4,850
86,MgGa,650
87,BaCuWO5,1100
88,Li2Fe2(CO3)3,1300
89,Be(CoO2)2,1300
90,Be2PBr,1000
91,LiZnPS4,750
92,U2F9,1250
93,K2CuAs,850
94,LiZnO2,800
95,K2ZnTe2,700
96,LaBRh3,1550
97,MnGa2Co,700
98,ScCdRh2,650
99,KBeMo2,950
100,TaAlRu2,600
101,ZnH4(CO3)2,1300
102,TmPb3,500
103,ZrBe2As,1000
104,Pr2ZnAg,500
105,HfTc2Sn,1050
106,ThB4Mo,700
107,Li2TiTeO6,1300
108,UAl3Pd2,500
109,Cr4OF,1250
110,Li2MgTl,1100
111,Li3C,650
112,LiBIr,1200
113,ZrO2,1200
114,Mo3Pt2N,900
115,NiSeO4,1200
116,Zn(HO)2,800
117,KTaBe2,1050
118,Ba2MgSn,500
119,Li8SiO6,1750
120,FeCo3O8,1200
121,SrSn2,800
122,HfNCl,850
123,BeNiMo,950
124,CuSb(MoO4)2,1250
125,Be2TeW,1000
126,RbAgSe4,650
127,Si3As4,500
128,USi2,500
129,PH6(NO)2,1350
130,SbKr3F,1300
131,SmCdAu2,550
132,NaMgBO3,1250
133,PrMgHg2,600
134,Sr5P3O2F,1900
135,SmClF,850
136,Lu3AlN,850
137,K2Sn(AsS3)2,600
138,AsRuAu,550
139,Li4Ti3Fe3(SbO3)2,1300
140,LiSbO2,1200
141,Be2InCu,1050
142,MoCl2,900
143,Cd(PtO2)3,1100
144,NaLi3,1250
145,Lu2MgS4,750
146,Pr3Si2S8Cl,800
147,BeCrPd2,1000
148,Sc2S3,650
149,TiCdO3,1100
150,NCl,800
151,Sr2Sb,500
152,Nd5Sn3,600
153,CaCuO2,1150
154,BaSbMo,500
155,Ta2I5,500
156,Te4Mo2WSe2,500
157,BeCuHg,650
158,Cr2HO4,850
159,SnHgF6,750
160,Rb(WCl3)3,850
161,FeO,750
162,Yb2S3,600
163,Ta2FeAs,500
164,DyCrB4,950
165,K2Na4Be2O5,1250
166,Sr2YTlCr2O7,1150
