,pretty_comp,et_c66
0,Ge2Os,101.2
1,RuSe2,75.8
2,MnBe2Si,145.5
3,Zn3(PO4)2,31.5
4,NaBeH3,74.2
5,Ba2SmNbO6,55.2
6,Y3InC,61.3
7,CaCdGe,38.3
8,BaMnGe,9.4
9,MnBeSe2,2.0
10,LuAlO3,119.0
11,TaBePd2,71.1
12,Co2Ge,36.8
13,Al3BN4,202.0
14,K3PO4,20.6
15,TiGaNi,92.2
16,MnNi2Sn,48.4
17,VI2,7.2
18,SrDy3,23.5
19,FeS,89.5
20,Sr3P6(N4O3)2,48.3
21,NaTiBe2,62.7
22,Sc2Sb,34.7
23,SmP5,34.1
24,HfBeZn,76.4
25,HgF2,11.6
26,HoAl2Ni,95.9
27,PmDyCu2,30.1
28,LiGa2Ru,81.4
29,BaMnCO3F2,30.4
30,CrCo2Si,80.5
31,Nb3Pb,8.0
32,La2CuO4,47.8
33,AcGaTe2,10.9
34,Nd2PbSe4,26.3
35,YbGa4,31.0
36,K2NaInP2,13.5
37,Ag2PbO2,16.0
38,Ti(MoS2)2,75.2
39,Ba2YZn,16.3
40,KCaCO3F,20.3
41,YbAu4,36.7
42,RbCaO3,0.4
43,Tl4O3,9.7
44,MoSe2,13.2
45,Ca(DyS2)2,35.0
46,AlFeO3,58.3
47,Li4CuF5,44.3
48,Cd2SiO4,52.0
49,Sm2O3,35.1
50,Hf2S,98.8
51,Mg(BH4)2,4.1
52,Mn2AlCo,75.6
53,CuAs2,17.6
54,ZnCdPt2,61.8
55,Sr2Mn3(SbO)2,47.9
56,Hf(VGa2)2,72.8
57,NaTbSe2,24.8
58,Ti2CoIr,65.1
59,TiAlAu2,54.4
60,Lu2IrRh,58.1
61,Ba3(PS4)2,17.7
62,BeVRu4,78.7
63,V3(OF)4,16.9
64,Be2InPt2,50.7
65,Pd3Pb,55.5
66,Rb2SeCl6,12.6
67,KNO2,4.8
68,Rb2TiCl6,12.6
69,NaLi5N2,16.7
70,BaAgTeF,9.5
71,BaPIr2,19.7
72,DyInCu2,44.1
73,RbMgBO3,28.2
74,Li5FeF8,16.1
75,V3Te4,41.9
76,InPS4,21.8
77,ThSe2,21.6
78,SO2,2.5
79,Tl(CuS)2,14.3
80,ZnCu2Ni,82.1
81,Mg(MoO2)4,93.7
82,Sr2IrO4,57.8
83,Sr3BiSb,5.7
84,Sr(AlSe2)2,20.2
85,Zr2AlN,107.1
86,Sc2ZnPt,52.8
87,CoSbO4,48.3
88,DyBi2ClO4,22.7
89,HfBeNi,43.1
90,ErTaOs2,80.2
91,CrAgSe2,20.2
92,YHSe,65.3
93,BeZn2Ru,45.1
94,Na2CeO3,43.6
95,Rb2NiF6,11.7
96,ZnSnO2,11.7
97,LiFe3O4,34.1
98,PrBi2ClO4,14.6
99,Ba2ScHg,19.2
100,Sr2InI5,6.0
101,Na3BP2,9.3
102,ScGa3,27.6
103,Sr2Si,30.5
104,ThSe,39.0
105,InFe2CuSe4,17.7
106,LiHfPd2,26.5
107,MnInNi2,25.1
108,HfAg,77.4
109,TbCd,37.7
110,ScRu3,88.1
111,Ca(AlSi)2,36.4
112,NbN,72.9
113,HoPt3,92.4
114,V3Si,63.2
115,PbSe,8.8
116,Nb2VSe4,63.9
117,RuS2,95.4
118,RbFeSe2,5.3
119,Ca3Tl,23.2
120,BaP3,31.8
121,Ca3AsN,49.5
122,HoAl3,58.5
123,Sr4TiBe,7.1
124,LuSF,30.6
125,TaTeBr9,3.8
126,RuAu3,68.0
127,AlF3,85.7
128,BeVPt2,1.7
129,BeV2Tc,51.5
130,Sr2ZnCu2(SO)2,41.3
131,Nd2CuRu,26.6
132,TiReN3,136.8
133,KTcO4,15.2
134,LiGaS2,22.6
135,ScPO4,99.6
136,Ta2CrRu,76.9
137,NbCl3O,12.0
138,NdAl2,45.8
139,Sr2LiTl,20.4
140,Mg2GeO4,117.1
141,CoGe,79.8
142,MnCoO3,62.6
143,BaCuAs,34.0
144,MgMnGe,41.5
145,LiWO2,80.1
146,DyGeAu,54.5
147,YbOs3,64.4
148,Ni2P,32.6
149,ScNiSb,62.5
150,AsRh,69.4
151,TlBiSe2,28.9
152,MnCoTe,9.5
153,Se2NCl3,7.5
154,TiZn(BiO3)2,31.0
155,LiYS2,31.3
156,Tb2In,30.6
157,InAuO2,16.0
158,SmDyHg2,27.1
159,LiVS2,33.1
160,YbB2,100.1
161,Rb2SnBr6,11.4
162,BeNiIr,126.9
163,LiH3O2,19.1
164,Sr3AlO4F,70.2
165,SrNiSn3,21.6
166,Ta2Co,70.0
167,Li3FeF6,25.7
168,VPd2,52.6
169,Fe2N,103.8
170,RbC2I3N2,7.1
171,BaF2,25.0
172,ZrAlNi2,0.2
173,Ca2Fe2O5,61.7
174,Be2InTc,86.7
175,CrCdO4,33.3
176,Mn4ZnO8,20.2
177,Be2C,203.7
178,Rb2NaTiF6,24.6
179,Rb2HfF6,17.6
180,Ti3Ni,4.1
181,K2S,8.9
182,NdTeF,48.6
183,UNiAs2,50.6
184,Na2CaBe,8.8
185,YBi2ClO4,22.0
186,KRb2CrF6,11.6
187,BeVFe,87.1
188,Ce(SiAg)2,61.5
189,ScH2,78.2
190,SmC2,4.1
191,AcFeO3,96.6
192,RbAlF4,20.9
193,KH3C2O3,9.0
194,DySe,11.9
195,ScP,51.5
196,MnPt,188.5
197,Sr3AsN,36.1
198,LaAlO3,161.9
199,ScF3,28.7
200,H2O2,12.7
201,NaSi2N3,131.6
202,LiMgAs,38.8
203,Mg2Al2Se5,13.1
204,Rb2RhF6,15.7
205,UAu2,43.7
206,U2Ga2O5,45.9
207,CaHI,12.2
208,Yb2AsAu,31.3
209,BaNa2Mn,9.5
210,MoCl3,4.9
211,Sn(CO2)2,19.2
212,CuAu3,30.4
213,TiB,5.2
214,Pm2InAg,28.2
215,Ho2CuRu,44.3
216,Lu3Ga,32.4
217,Sr2BeRu,4.4
218,Li5AlO4,71.4
219,LiPd,43.1
220,BaYSc2,28.6
221,U2Ni2Sn,39.8
222,VC,185.7
223,KHO,25.5
224,LiMnPd2,62.4
225,Pm2O3,75.6
226,ZrS2,9.6
227,K2CuF4,16.1
228,CaScBe,30.4
229,Li2UO4,21.4
230,Ca(BH4)2,11.3
231,ThCN,24.8
232,Sr2H6Ru,29.3
233,GaCo2Ni,138.1
234,InCuO2,17.7
235,Li2CrFeO4,97.5
236,ZnSiN2,111.3
237,BeNi4Os,73.7
238,Ba(MgAs)2,39.9
239,Pt3Pb,49.0
240,SnSe,9.7
241,SrSi2,37.2
242,TiBe2Se,58.0
243,RbAu5,32.7
244,SmMg2,24.1
245,Na2TiSiO5,55.2
246,CrGaCo2,130.9
247,CuSe2Cl,8.0
248,ZnS,45.6
249,Ge3As4,34.8
250,TbFeSi,39.4
251,CaSiSnO5,3.0
252,AcOF,44.0
253,ZrSe3,17.0
254,ErBi2ClO4,23.5
255,KrF2,1.9
256,VSnPt,43.0
257,ThS,12.7
258,ReSn3,21.3
259,Na2MgCl4,18.4
260,Tl2SiSe3,5.9
261,LiCaGaF6,47.6
262,MnBe2Nb,41.4
263,Be2PW,77.3
264,Be2FeSn,56.3
265,TaSe2,6.4
266,MgTi3,1.8
267,Mg(BC)2,61.9
268,RbTbS2,29.7
269,VFe2Sn,60.6
270,Ca(SiAu)2,39.1
271,Al2CdS4,53.7
272,KMgAs,13.7
273,KSc(MoO4)2,15.9
274,ZrV2,9.1
275,Ca2BeIn,41.7
276,MgAl2Cu,70.0
277,Li2VO2F,42.2
278,TlF,6.1
279,NbCrGe,125.3
280,MgGeP2,45.2
281,YSiAu,52.2
282,BeFeSb,81.7
283,RhF3,64.5
284,RbBe2BO3F2,22.1
285,Ba2CuF6,30.8
286,KTaO3,100.0
287,Pu2O3,49.8
288,ScGaPd2,47.3
289,BaSe3,24.2
290,LiTmO2,31.8
291,BaYTe,13.5
292,Sb4Br2O5,17.0
293,MnAl,122.8
294,SmTl,31.0
295,PuNiC2,0.4
296,CaVF5,49.2
297,Al3V,82.0
298,V3Ni,71.9
299,Al2O3,22.2
300,CaPd,27.9
301,LuBi2IO4,29.8
302,NbCd3,61.5
303,Ag2HgI4,7.9
304,PrI3,5.7
305,RbCdF3,17.8
306,MnSnPt,10.9
307,Ba2YSbO6,75.2
308,VFeRu2,98.4
309,Ni3S2,49.8
310,UHg2,39.0
311,MnSbRh,21.2
312,RbNiBr3,3.6
313,SrAlSi,38.6
314,Na3CuO2,35.5
315,BaCl2,9.9
316,CeH2,53.0
317,ZrBe2Pd,63.5
318,Rb2Ti(CuS2)2,18.8
319,BaSr2Mg(SiO4)2,59.0
320,GaAsPd5,68.3
321,CaUO4,87.4
322,HfScRh2,55.7
323,Er(SiNi)2,77.9
324,Mg2VO4,91.9
325,CoSn2,36.2
326,ErInPd2,43.8
327,Sc2AgIr,49.2
328,Na2Hf2O5,13.8
329,AgH4WS4N,9.3
330,Ba4InTc,3.2
331,CaCd,30.4
332,NdBi2IO4,25.5
333,AlCuPt2,91.3
334,TlGaO2,17.3
335,DyInAg2,42.7
336,Li2CeAl,35.6
337,Zr2SbP,109.1
338,TaNO,52.7
339,Mn2Co3Ge,74.7
340,K2S2O5,8.0
341,Mn2SnW,99.5
342,Rb2TbF6,15.0
343,Rb2SiS3,5.2
344,Mn(InS2)2,27.4
345,K(CoSe)2,23.1
346,NbAgO3,51.7
347,TiAl2,80.6
348,BeAlH5,17.9
349,Dy(MnGe)2,75.0
350,MgVF6,49.6
351,NaHF2,3.6
352,TiBe2Te,24.7
353,TiOs,114.0
354,ThGeO4,52.4
355,AsPd2Rh,19.5
356,BeZn2Tc,25.2
357,YBi2BrO4,26.4
358,CaMgBe,34.9
359,Rb2As2Pt,8.1
360,PH4Br,14.6
361,USb2Ru,52.9
362,PrSn3,30.5
363,Sr2N,2.4
364,Ba2SmSbO6,62.4
365,ScGaRh2,80.1
366,K2BaSe,2.2
367,PrAs2,41.4
368,Ba2ZrO4,45.5
369,Li2ZrN2,106.2
370,K2NaVOF5,25.3
371,Y2SeO2,7.0
372,LiAuI4,8.4
373,Li4Cr3FeO8,55.4
374,Cu2GeSe4,19.2
375,NaBH4,4.5
376,MnB2,104.4
377,Sc2BeBr,13.2
378,AsP2W,66.8
379,K2MnF6,14.4
380,NaHoO2,64.7
381,BeCrIr2,84.4
382,BeTlFe2,21.5
383,ZrBRh3,79.7
384,Ti2AlTc,66.0
385,HfSnPd,65.4
386,NaLi2N,7.5
387,GaNi,68.6
388,Na2Zr(CuS2)2,12.0
389,Sr2PbO4,52.0
390,Na2WO4,29.1
391,LiFePd2,65.0
392,ThSnPt,35.1
393,MnAs,91.4
394,Tm2IrOs,68.2
395,BaAl2,29.9
396,Be2VCr,48.4
397,BaSrTl2,21.1
398,ZnF2,44.3
399,Ce3In,39.0
400,Ce3Tl,37.4
401,Hf2CuSb3,39.5
402,Li2DyIn,43.3
403,HfRe2,65.0
404,Ru3Cl,54.4
405,TeRhCl,19.0
406,RbNaTiO3,28.2
407,NaMgF3,26.8
408,NaBO2,15.5
409,Cr3PtN,135.9
410,Na2BH4ClO4,27.1
411,NbIr3,238.6
412,Sc2CdS4,34.3
413,Ca(NiGe)2,40.1
414,NbGaRu2,105.0
415,UAs2,53.8
416,TiAlFeCo,114.8
417,La2ZrBe,27.4
418,NaTmS2,30.3
419,NdCoO3,94.0
420,PrAlGe,55.4
421,HfBeNb2,42.6
422,Sc3Al,48.7
423,HfCuSi2,102.9
424,PrTmMg2,39.5
425,TiSnPt,62.2
426,K2TeOF4,31.8
427,KLiICl,5.2
428,V3Au,47.7
429,Mg3ReH7,40.4
430,HIO3,24.2
431,AgBiO3,14.3
432,KHCO3,24.6
433,LiHg,23.9
434,SrS3,24.2
435,Sr3BiN,38.1
436,Ho2Al,36.0
437,KLiMnS2,8.1
438,TaAlRu2,121.7
439,TiAlO3,50.3
440,SbAsRh,18.4
441,DyAu,35.6
