,pretty_comp,gap expt
0,SrLaMn2O6,0.0
1,PbO2,1.4
2,YbCe2CuS5,1.37
3,Zn0.15Ga0.85As0.85Se0.15,1.47
4,Si0.98Ge0.02,1.08
5,CdCu2SnS4,1.37
6,Ba2FeReO6,0.0
7,Sn0.35Te0.35Pb0.65Se0.65,0.09
8,SrSiPd,0.0
9,Lu2Mo2C3,0.0
10,Cd4Sb2I3,1.83
11,Cs3Bi,0.55
12,Ba6In2NF,0.0
13,Fe(PdSe)2,0.0
14,Sn0.1Pb0.9Se1,0.08
15,KBr,7.6
16,ZnAs2,0.9
17,Bi2SI2O11,3.74
18,Rb2Hg(PSe3)2,2.32
19,Ni2Ge,0.0
20,CdSnO3,3.0
21,Sm(SiNi)2,0.0
22,Ce2S2O,0.0
23,Ba4Ga5Si18,0.31
24,Cd5Ga2(Te3S)2,1.29
25,Cd4As2Br3,1.78
26,Sn0.001Te1Pb0.999,0.18
27,CoSbS,0.11
28,UP2S7,1.41
29,BeSiRu2,0.0
30,ZrTaN3,1.72
31,Ba7(SnS3)5,2.29
32,LiBePt2,0.0
33,ZnSnAs2,0.6
34,Ta3P,0.0
35,Zr2Al,0.0
36,MgSiN2,4.05
37,Li2Mo2Se2O11,3.3
38,Mn2GaW,0.0
39,Pd(IO3)2,1.31
40,BiSeBr,1.5
41,Tm2Ga10Os3,0.0
42,Cu8O,0.0
43,B3Pb10Br3O13,3.25
44,Li2SiHgS4,2.68
45,Pm2PtAu,0.0
46,In3CuS5,1.2
47,La16Mn15O48,0.0
48,Ba2ZnTe3,2.1
49,RbPSe6,2.18
50,Te0.6Se0.4,0.7
51,In1Sb0.99As0.01,0.35
52,Li2In2SiSe6,2.54
53,Mg3Sb2,0.8
54,Pr4Sb3,0.0
55,AsRuS,1.2
56,Ce1.3Lu0.7S3,1.25
57,Eu3Sb4S9,1.2
58,BRh2,0.0
59,Tb(InS2)3,1.2
60,U2AlCo3,0.0
61,Cd0.04In0.96Te0.04As0.96,0.69
62,La2Ge5Ir3,0.0
63,Li2ZnSnS4,2.87
64,BaGa4Se7,2.64
65,NdSnRh,0.0
66,Sm2CuAs3O,0.0
67,Sb2Ru,0.3
68,Ba3InS4Cl,3.42
69,LiGeRh2,0.0
