,pretty_comp,delta_e
0,LaSe,-1.8646565442400005
1,GeS2,-0.419752935
2,Pb(NO3)2,-0.526097254713
3,TiCl3,-1.8655686
4,Zn(FeO2)2,-1.7423818480000002
5,EuCl3,-2.4236845395
6,Mg2Ni,-0.136596932892
7,Tl2S,-0.328121732979
8,ThBr4,-2.0015830609200003
9,CaCl2,-2.7478789051
10,LiCrO2,-2.40451064
11,PbI2,-0.6059401360369999
12,CrF4,-2.58449655282
13,YCl3,-2.59100531438
14,SmC2,-0.332458143547
15,MgV2O6,-2.54306941404
16,MgSO4,-2.226245196
17,CaAl4O7,-3.45395343574
18,Cr(CO)6,-0.858608016862
19,PuF6,-2.6637950632
20,Si2Te3,-0.147172634
21,ReAsO4,-1.3327950280299998
22,MnSi,-0.31438976618000003
23,CaSe,-1.90802064992
24,Li2B8O13,-2.67019194214
25,HfO2,-3.85412653733
26,CrO2,-2.00920356317
27,ZrF2,-3.3165664
28,Nd2O3,-3.7483418882
29,Fe2B,-0.354140196387
30,GaCl3,-1.35946574949
31,HfB2,-1.13613818691
32,Ba(NO3)2,-1.1424511789299998
33,Mg2Cu,-0.0988702991407
34,Ta2N,-0.93811153478
35,Tb7O12,-3.67773393511
36,LiAl(SiO3)2,-3.1659735569
37,FeI2,-0.397297016667
38,NaS2,-0.7111720241030001
39,Na4P2O7,-2.52449699654
40,MgH2Cl2O,-1.66973571835
41,InAs,-0.302838787265
42,B5Mo2,-0.38051677
43,Tc2O7,-1.28358029193
44,NpF3,-3.9027695112
45,Eu2O3,-3.4365846466
46,SrCO3,-2.541319004
47,ZrO2,-3.8012687603300006
48,Na2SiF6,-3.35445356478
49,CuTe,-0.13009231704000002
50,ZnH4SO6,-1.37844791
51,Ca3Al2(HO)12,-1.97022628368
52,Ca2B2O5,-3.1489070589700003
53,RbI,-1.7287602359999998
54,LiTl,-0.277530276352
55,KO2,-0.979768990667
56,LaMg,-0.051018119075
57,NbN,-1.21831475637
58,TeO2,-1.12210496533
59,Al2Si2O7,-3.14805279186
60,Fe2(SO4)3,-1.5747532804299995
61,CeS,-2.36550989199
62,CrBr2,-1.02951748667
63,AgCl,-0.6584835301799999
64,HgF2,-1.45992489123
65,BeO,-3.157993069
66,Al2CoO4,-2.8855756351
67,GaTe,-0.6504615852000001
68,Fe3(AsO4)2,-1.5586028401499998
69,NaBO2,-2.52921094557
70,ThI2O,-2.593140354
71,RhCl3,-0.775252578135
72,PuS,-2.2766155482
73,AlP,-0.852103640185
74,AlB12,-0.212150228888
75,Na2Sn,-0.225493349536
76,LiFeO2,-1.9438188385
77,Mo2N,-0.23994805142900005
78,GdCl3,-2.6382249285
79,K4FeO3,-1.45488440125
80,UCl3,-2.31455914067
81,GeS,-0.317146662
82,Li2CrO4,-2.056123107
83,U(OF)2,-3.4276713744
84,Ni4B3,-0.46151798188
85,TiB2,-0.965573395523
86,SrCu5,-0.003425391235
87,TaF5,-3.28823739533
88,CoF2,-2.32505123667
89,PuF4,-3.6859489828
90,KBO2,-2.55956530134
91,TaCl4,-1.46657322496
92,AgNO3,-0.249776834146
93,BiCl,-0.66130261162
94,HfSi,-0.75672644551
95,Ni5P2,-0.57922055444
96,FeHO2,-1.4509978
97,BaPb3,-0.45532310964
98,Li3N,-0.511696965237
99,Cu2Sb,-0.0397504302067
