,pretty_comp,kpoints_array_average
0,Yb2Nd2O5,5.666666666666668
1,Sr2ZrBe,7.666666666666668
2,RbAu5,14.333333333333336
3,KAuF4,3.6666666666666665
4,TbSiRu,12.0
5,BaBeCo2,16.0
6,HoBO3,4.666666666666667
7,YbTmHg2,19.0
8,Nd2Cu(GeO4)2,3.6666666666666665
9,Ba2PrRuO6,4.666666666666667
10,SbH3OF6,4.0
11,SrBe2Zn,12.666666666666664
12,ScBeSb4,19.0
13,MgAuO2,7.0
14,Ca3UO6,4.0
15,NaF,6.0
16,MnBeCr4,15.0
17,LiInTe2,5.666666666666668
18,TiCuSn,17.333333333333332
19,ScAlCO,12.0
20,BeFe2Se,12.0
21,ZnSeO3,4.0
22,NaNdS2,5.666666666666668
23,TlMo2Cl7O2,3.0
24,PrAs,21.33333333333333
25,Rb8PO3,5.0
26,Tm2IrPd,13.0
27,HfPbO3,6.0
28,BeRePb,11.0
29,NaAsSe2,10.0
30,Ba2AlInO5,4.666666666666667
31,Li5Mn2Co3,4.666666666666667
32,BaSnHg,15.0
33,LiSiAg2,7.333333333333332
34,YbSn,18.666666666666668
35,UAl4Co,7.666666666666668
36,Ba3SiO5,4.0
37,ZnCr2O4,6.0
38,La4BeTc,14.0
39,Fe3PtN,9.0
40,MnBeTe2,9.0
41,CaTe,17.0
42,CrWO4,6.0
43,Te3As2,13.0
44,Hf5Ge3,11.666666666666664
45,Na4BeZn,19.0
46,PaN,19.0
47,Mg2AgPt,24.0
48,KMoRu2,18.0
49,Sr3ScNiO6,5.0
50,LiV2F6,3.333333333333333
51,RbPbBr3,8.0
52,BaNa2Ge,11.0
53,Li6Zr2O7,4.0
54,Rb3AsSe6,4.0
55,Ca3PbN,6.0
56,Ba4CaV,6.0
57,RbMg3,17.0
58,TiGaRh,12.0
59,LiMnBe2,24.66666666666667
60,ErBi2BrO4,6.333333333333332
61,CaThRh2,16.0
62,MgBeSn,23.33333333333333
63,TiBiRh,19.0
64,YClO,6.0
65,DyYCd2,13.0
66,CaSeO3,4.0
67,LiSi2NiO6,4.666666666666667
68,Lu2MgSe4,6.0
69,Ca2InPd2,14.0
70,Tb2InPd2,13.666666666666664
71,MnAlCu2,10.0
72,Zr2Cd,13.666666666666664
73,BeGe4Pt,25.0
74,TbRh2,16.0
75,Ba4CaFe,11.0
76,SbTeClO3,3.333333333333333
77,NbPS,10.333333333333334
78,NaBeSn2,15.333333333333336
79,TiCu3,8.333333333333334
80,BeTcSe,23.0
81,Mn2B,8.666666666666666
82,Li5WNO4,5.0
83,NiSbSe,8.0
84,TmBiPd2,10.0
85,CeGa4Co9,5.333333333333333
86,Ga(IO3)3,2.6666666666666665
87,Nb2AsC,14.333333333333336
88,VFeO4,4.333333333333333
89,Sr(AlS2)2,3.0
90,Yb(Mo3S4)2,7.0
91,ScNbOs2,12.0
92,Li3Al2FeO6,3.333333333333333
93,LiTiPt2,14.0
94,Ba(MgBi)2,9.0
95,BaPAu,14.666666666666664
96,LiTmHg2,16.0
97,Nd5AgS8,5.0
98,Ba(SbRu2)2,11.0
99,Mn2BeIr,18.33333333333333
100,Ba4PdPb,10.0
101,HoAl3,15.0
102,NaBeBr,6.666666666666668
103,HfBe2Pt,23.66666666666667
104,ThBi2,13.333333333333336
105,Mn4OF6,4.0
106,ScClO,5.333333333333333
107,Ge4PbO9,3.6666666666666665
108,NaSO4,3.0
109,InI,6.0
110,AsRhW2,15.0
111,Rb3Ge4Au,6.333333333333332
112,Ba4ZrIr,9.0
113,HfB,20.0
114,ErB6,16.0
115,Ho3Ge4,13.0
116,Li4Ti3Cu3(TeO3)2,4.0
117,LiGaPdF6,5.666666666666668
118,ScBe2Te,11.333333333333336
119,Li5(FeO2)4,4.0
120,LiBeSi,18.0
121,ScC,26.0
122,ThCdHg2,19.0
123,Y2PdRu,14.0
124,CeAsPd,7.333333333333332
125,Fe5SiB2,6.333333333333332
126,Yb2AlSi2,17.333333333333332
127,K2BaMg,14.0
128,ZrSiS,13.666666666666664
129,TiIr,18.0
130,CrO2,19.33333333333333
131,ErCoSn2,15.333333333333336
132,MgGa,26.0
133,YSnO3,17.0
134,Yb(SiRh)2,12.0
135,BeSnAs,14.0
136,Be2PBr,19.0
137,CaZnSi,10.0
138,TlCuO2,5.0
139,Ba3SbAs,6.0
140,TlHg5Cl,3.6666666666666665
141,DyZn,17.0
142,TmSnRh2,10.0
143,MnGa2Co,10.0
144,CaFeF4,4.0
145,Ca2B5Os3,9.333333333333334
146,SmAlAg2,16.0
147,Mg(MnS2)2,4.333333333333333
148,TbAg2,15.666666666666664
149,NaLiSe,6.0
150,Ti3In3Rh2,18.0
151,AsI3,8.0
152,U2Cu4As5,8.666666666666666
153,NaAlO7,4.0
154,AgBiO3,7.0
155,Li4HfO4,4.666666666666667
156,HoMgTl2,21.0
157,SbO2,11.333333333333336
158,PrCoP,16.0
159,ZnP2(HO)4,4.0
160,Zr(PS3)2,4.666666666666667
161,RbNO3,3.6666666666666665
162,HfAl3,15.666666666666664
163,Yb2Sn2O7,6.0
164,MgV2O4,5.0
165,KNa2BO3,4.0
166,NbCrSe5,6.666666666666668
167,NiBrO,18.666666666666668
168,CaSn2O5,4.666666666666667
169,TiCdAu2,6.0
170,BiF5,4.333333333333333
171,Be2TeW,20.0
172,YErRu2,20.0
173,Be2PtPb,25.33333333333333
174,PdI2,4.666666666666667
175,CaIn2O4,5.0
176,Pr2PbSe4,5.0
177,Hf2CoIr,13.0
178,NaMgBO3,5.666666666666668
179,Sr6Li2Cr2N8O,3.333333333333333
180,Tm(CuGe)2,15.666666666666664
181,PrDyZn2,18.0
182,CuH4Pb2(ClO2)2,8.333333333333334
183,LiSi2BiO6,4.333333333333333
184,Ga2TeS2,5.333333333333333
185,LaBe2Cu,14.0
186,Li(NdSi)2,9.0
187,BeBPt2,9.333333333333334
188,AlVNi2,9.0
189,Eu3(AsPd)4,11.0
190,LiMnF6,4.666666666666667
191,RbSr3,7.666666666666668
192,CS4,4.0
193,LiCd2Hg,7.0
194,ZrZnAs,14.0
195,SbSI,5.333333333333333
196,Y2MgRu,18.0
197,Lu7(NiTe)2,9.666666666666666
198,Li4Mn7(OF2)2,3.333333333333333
199,Li2AgHg,16.0
200,SmGa2,21.0
201,Li2BeBi,18.666666666666668
202,Mn(GaS2)2,5.0
203,Ba2CuC(NO)2,18.666666666666668
204,BaTeBr,9.0
205,VBr2O,16.333333333333332
206,BPbO3,15.0
207,InAg(WO4)2,3.6666666666666665
208,GaSiAs,25.0
209,Be2InP,19.666666666666668
210,Dy2RuRh,22.0
211,Ca2Ru2O7,8.0
212,Be2TePt,13.333333333333336
213,Tl3Br,14.666666666666664
214,DyCd,19.0
215,YTaO4,4.0
216,Lu(HO)3,3.6666666666666665
217,Tm2ZnCu,14.0
218,Rb2U(Si2O)2,3.0
219,NpBi,8.0
220,VI2,6.666666666666668
221,Si3CCl8,2.333333333333333
222,TiOs,27.0
223,DyAgTe2,4.666666666666667
224,PaFe3,18.0
225,CaSiPt,12.333333333333336
226,NaMgF3,4.666666666666667
227,Na2TaBe,21.0
228,CaNiWO6,5.666666666666668
229,VFeRu2,14.0
230,LiTmPd2,21.0
231,Ca(BiO2)2,3.6666666666666665
232,Ba4NaP,8.0
233,LiCu3F7,5.0
234,Rb2Mg,12.666666666666664
235,Li2PmIn,10.0
236,Dy3PbC,15.0
237,Rb2SiS3,4.333333333333333
238,Ba2NaGa,12.0
