,pretty_comp,kpoint_length_unit
0,Rb2Zr2O5,50
1,TaIn3O7,60
2,AsIrPt2,85
3,WOF4,50
4,SeOF2,50
5,ZrCl,55
6,Ba4ScV,70
7,Nd3Tl,110
8,BeSbMo,100
9,Fe(BW)2,75
10,Sc7Cl2,50
11,NbAlOs2,60
12,Al4CO,85
13,Co(NiS2)2,60
14,Ba4GaCl,80
15,TiAsPd2,65
16,SnTe3,130
17,TiFeSe,50
18,ZrBe2Pd,55
19,TlCd(NO2)3,60
20,Ho(SiRu)2,90
21,CaAu5,95
22,Bi4Te7Pb,70
23,TaCu3Se4,60
24,Be2ZnCd,100
25,Ca4As2O,60
26,Mg2CoAs,95
27,LiAl2FeO6,55
28,BaCoNi2,50
29,Yb2ZnPb,90
30,MgCoF4,50
31,Ba2SrI6,55
32,Be2PBr,100
33,Mn2FeO3,60
34,ZnB2(CN)8,50
35,DyGaPd,115
36,NaBe2Se,100
37,Li2TiNiO4,55
38,KBeTc,70
39,Na2BeBi,75
40,Dy(AlSi)2,135
41,Ca3PbN,60
42,Mg3Fe2O7,55
43,Te3As2,75
44,Li2TiCo3O8,50
45,CdGaRh2,60
46,Li2HgBi,70
47,BeReNi,105
48,Hf2Al3C4,105
49,UNi2,60
50,Ti2CoSi,60
51,As2SO6,50
52,ThOs2,100
53,BeFeSe,50
54,Ti3AlC2,85
55,Sc2CdIn,65
56,Zr2Co2P7,55
57,V2P2O7,70
58,TiOs3,110
59,BaSi2Rh,85
60,Mo2W(Se2S)2,55
61,ScAsP,75
62,KBe2Co,60
63,SiTc3,105
64,YbF3,55
65,V6O7F5,60
66,P2Pb3O8,45
67,TmAl4Ni,95
68,NdPIr,80
69,KNb2Se,90
70,MnFeTe,60
71,H4N2O3,50
72,Hf2Ag,95
73,TiBeCo2,50
74,TmMnGe,60
75,Ca3FeRhO6,45
76,Rb2CdO2,55
77,TbInAu,130
78,Zr3GeO8,50
79,TaCoSb,65
80,TaFeSb,65
81,NaLiHg2,90
82,FeAs4F8,45
83,Zn2SbWO6,60
84,ScPd3,120
85,MgO6,55
86,Cd(GaS2)2,50
87,TlSbSe2,65
88,Mg2SiO4,50
89,SbKr3F,45
90,Li2PbO3,50
91,Li5MnNi4,55
92,KRbO,50
93,VSbRh,60
94,MnSnRh2,60
95,Rh3Se8,75
96,LaYBe2,95
97,Zn3C,140
98,Sn(WO4)2,45
99,USb,60
100,LiCu2Pd,55
101,BaZn5,115
102,SnPt3C,85
103,Be2NiRu,115
104,Mg2BBrN2,50
105,Er2IrRh,75
106,Yb2HgPb,100
107,CrSe,85
108,Ba4GaPt,85
109,BeC2,50
110,Ca3(PO4)2,50
111,In5AgSe8,65
112,TlPPd5,95
113,Li4Ti2V3Cr3O6,45
114,BeSO4,40
115,Ba(BiO2)4,70
116,RbAuBr4,50
117,Li4Ca(BO3)2,45
118,NaBeSi2,110
119,Pr3InC,100
120,UNCl,55
121,KTmI3,105
122,NaN3,45
123,BeGaOs2,90
124,TmSb,60
125,K2ErF5,50
126,HfTc2W,65
127,TmZrSb,80
128,Na2TiF6,50
129,Ba4CoW,75
130,DyCuSn,65
131,Yb2PdRh,105
132,NiBi,110
133,UAl2Pd5,95
134,UN,50
135,NdBiAu2,85
136,BeGa2Co,75
137,CaZnSi,60
138,Nb2Tl4S,55
139,Pm2GaAg,85
140,NdFe5,75
141,MgSnP2,60
142,Mn2NiO4,55
143,ZrBe2Pd,75
144,Rb2Mn(PS3)2,50
145,CeB2Ir2C,90
146,Ho2SnAu2,130
147,NaCuO,50
148,Al5Mo,90
149,Ca(As2Rh3)2,70
150,HgO2,45
151,TmTc2W,75
152,Sr3Sb2,65
153,Be2WBr,100
154,MnSbSe2I,80
155,Cl2O,45
156,MnGaNi2,85
157,K2Rh2O5,70
158,Mg3TeO6,50
159,Ag6Mo2ClO7F3,50
160,Zn2NiWO6,60
161,Al3Bi5Br2,55
162,Cd(RhO2)2,45
163,NaCSN,45
164,LiMgAs,55
165,Ba4ZnTc,65
166,KRb2NiF6,45
167,U(AlC)3,65
168,Ca2AlBiO5,45
169,MnBeRh2,60
170,BeTlGa4,140
171,BeGaP2,165
172,Ba4MoW,75
173,Si3As4,60
174,UGa3,75
175,BaCaZn,90
176,CaBe2Cr,60
177,RbNaO,50
178,SrCl2,45
179,Nd2Th2O7,55
180,TbBi2BrO4,55
181,ScRh2Pb,90
182,Sr2YIrO6,55
183,KTl2In,100
184,CaZrSi2O7,45
185,MgBeFe2,75
186,Ba3YbRu2O9,55
187,SnN,100
188,PbC2(SN)2,50
189,MgSc2Al,90
190,SnO,100
191,SrF2,40
192,TiBrO,105
193,Na3Hg,105
194,Be2SiP,130
195,Nb2AlC,110
196,Y2MgRu,100
197,Ba(NdS2)2,60
198,Rb3GePSe7,55
199,Li2Ti3O7,50
200,Rb2Ti(SiO3)3,50
201,Ta2I5,55
202,Sr3(InP2)2,75
203,NdBRh3,95
204,Yb2AgRh,85
205,PrMgTl2,105
206,ZnPPt5,95
207,Hf3ZnN,70
208,CaNiWO6,55
209,TcAsIr2,90
210,Ba2Zn2ClF7,45
211,HfBeOs,85
212,ReW2Br,100
213,NaBr,50
214,BaCaTa2,80
215,HfBe2Hg,105
216,Rb2SBrCl6,90
217,LuTlO2,50
218,Ba4TlSi,95
219,Ag3AsSe3,60
220,Tl2CS3,50
221,NdSiRu,75
222,Li4Cr3Sn3(SbO3)2,55
223,MnCu2GeS4,60
224,BeTcPt,85
225,Cd4SF6,60
226,BAsO4,45
227,KMgAs,60
228,EuS,75
229,LiBe2Ru,60
230,Rb2MnTe2,50
231,Na4BeSn,125
232,Li5AgF8,45
233,NaClO2,50
234,TbSnPd2,95
235,Mn3S,90
236,YNiC2,60
237,Ba4NiMo,75
238,ReSi,70
239,BeSiHg,85
240,Ba4TcW,75
241,NaCN,45
242,BePtBr2,65
243,MnSnF6,45
244,CaTl3,140
245,BaZr2Pd,95
246,Fe4O7F,55
247,ErCo5,95
248,Ba(MnAs)2,65
249,Ba2AlNi3O8,105
250,PrCo5,85
251,Li3V2P4(HO3)2,45
252,MoIr3,110
253,Sc3GaC,60
254,TbAs,60
255,BaMgZr2,70
256,K2ZnH4,55
257,Sr2Bi,65
258,Ba2ScTl,75
259,RbErO2,50
260,BaSe,60
261,Ge5(Te4As)2,100
262,Ba4MgTe,85
263,YBPt3,90
264,Li3Fe7O2,45
265,Pm2AgRu,65
266,GeP2O7,50
267,HoPO4,45
268,LiCaPb,125
269,ErN,80
270,LiPaPt2,70
271,Li2V3SbO8,55
272,Mg4H2O5,50
273,MgFe3(PO)4,50
274,NaBe4SbO7,50
275,ScSnAu,65
276,YTiBe,55
277,Ba4NbMo,75
278,Be2RhCl,85
279,SrI2,65
280,Li2AgF5,45
281,Ba2TiSe,90
282,U4As6Ru7,65
283,NdAu3,110
284,Li3Pt,75
285,TlIO3,55
286,Yb4Mg3H4,50
287,FeH,85
288,MoPRu,75
289,V2Te2O7F2,50
290,RbH,45
291,SmSbIr,110
292,Cu(RhSe2)2,65
293,K6CoS4,60
294,Ba3Ti2O7,50
295,Dy(Al2Fe)4,65
296,Li2TeO4,55
297,Li2NbO3,60
298,ZrIr3,105
299,InCuTe2,65
300,FePH5CO4,45
301,ScBe2Re,120
302,TiAu2,60
303,TiFe2,70
304,LaBe2Co,55
305,Ba4VOs,65
306,NbFe3,65
307,BeCoIr,85
308,Eu(ZnAs)2,90
309,CsBeF3,45
310,OsO2,60
311,K(CoSe)2,65
312,Tl9SbTe6,65
313,Ti2CrTe4,60
314,Tl3Ga9S3O2,60
315,PBr,115
316,HfAg,100
317,Zn2Cr2O5,65
318,Ca6MnN5,50
319,PaCo3,110
320,Ba4RuSe,75
321,Li3TiV2O6,65
322,LuCd,125
323,KGeBr3,75
324,Ba(PRu)2,85
325,BaCaCr4,70
326,Ba4CaRu,95
327,Ga3Co,95
328,BaZnCl2,55
329,CeCd2,105
330,Lu2MgIn,70
331,Er(TiGa2)2,90
332,Be2MoRh,120
333,Be2OsPd,110
334,AcSbAu2,120
335,NbTlBr4O,50
336,InS,55
337,Pr(BOs)2,65
338,UAu2,65
339,Ba4CoSb,90
340,TaSi2,115
341,Be2VPt,105
342,NaNi3,90
343,RbLiBr2,50
344,Sc2MnC,70
345,Ti(BiO3)2,80
346,SrBeSb,65
347,Li5TiAs3,60
348,Na3NiO2,70
349,Ba4BeBr,75
350,DyInCo4,85
351,Ta2CuO6,50
352,DyS2,125
353,YPd3,105
354,Ba5Sb4,65
355,Sc3FeC4,70
356,NbSeI,55
357,LaCd2,105
358,FeO,50
359,SrCdP2O7,50
360,Ba4MnRe,80
361,LuAlPd,115
362,SmDyRu2,85
363,TiCu3,65
364,Tl2TeBr6,60
365,Na3AlP2,55
366,TlF,50
367,PuSb,50
368,CaTcO3,75
369,AgClO3,40
370,BiF3,45
371,AlTc2,95
372,ErNiC2,60
373,HfN,95
374,HgCl2,55
375,CoPO4,55
376,Ba4CaV,60
377,BeSeBr4,70
378,Ni2H,60
379,Mn3O5F,60
380,Tl4O3,55
381,Sc2BeV,55
382,LiZn,85
383,Y2Th5O3,50
384,LaH3(CO2)3,45
385,K3CrO4,45
386,Sm2InHg,110
387,MgTiO2,60
388,NdPb8F9,45
389,BaSn2Te,90
390,Be2RuRh,50
391,Sc2TiO5,50
392,BaReN3,50
393,TmCu4Ag,90
394,Ta4FeP,90
395,ThBe3,110
