,pretty_comp,magmom_oszicar
0,ZnPd5Se,0.0
1,HoTaO4,0.0
2,SrBr3,0.0
3,BeHgPd,-0.0
4,Al2Se3,-0.0
5,Li2AlPCO7,0.0
6,RbHO,-0.0
7,Rb2UBr6,2.0
8,Na2BeCu,0.0
9,Zr2TiAl,1.7408
10,Er3AlC,0.0
11,SmBi3,0.0
12,Sr3P4,-0.0
13,Zr2MnBe,0.0
14,ScGa3,0.0
15,Na2VPCO7,4.0
16,LiInHg2,0.0
17,K4TaBe,4.4371
18,VBr2,3.0
19,Li3NbS4,0.0
20,TbMgAu2,0.0
21,K2CuH4(Cl2O)2,1.994
22,Ba4GeRh,-0.0
23,NbAsOs2,-0.0
24,NaMnAs,3.5831
25,BeZn2Re,0.0
26,HfBeP,-0.0
27,LiBeRe,-0.0
28,LuAlPd,-0.0
29,Dy(FeGe)2,0.6044
30,Zn2CuAs,0.0
31,TiPt8,-0.0
32,BaVSi2,1.804
33,RbSO2F,-0.0
34,Pm2TlCd,0.0
35,LiAlPt2,0.0
36,BaBrCl4,0.8059999999999999
37,Mg3Mo,0.0
38,Ba4MgMo,-0.0
39,Sr2PdAu,0.0
40,Sm2CdIr,0.0
41,BeCoGe2,0.0
42,Ba2MnTl,4.1189
43,CoAsPt2,1.6471
44,Ba4YV,0.0
45,BeTcP,0.0
46,As3W,-0.0
47,HfZnNi2,-0.0
48,SbIr,-0.0
49,Sb2TeSe2,-0.0
50,InCuO3,-0.0
51,FeCu2SiSe4,3.9245
52,MgMnF5,8.0
53,DyThTc2,-0.0
54,Na3NiF6,2.0
55,Rb(MoS)3,-0.0
56,Rb2Li2GeO4,-0.0
57,NaSi2BH2O7,-0.0
58,TbBi2BrO4,0.0
59,UAlRh,6.1359
60,BaMgNi2,-0.0
61,LiC6,-0.0
62,LiZn3,-0.0
63,ScBe2Bi,-0.0
64,Bi4Te7Pb,-0.0
65,B4CCl6O,0.0
66,Sc2BeRe,0.0
67,K3AsSe4,0.0
68,ThBi2,-0.0
69,LuSb,-0.0
70,Mn2BeCu,0.0003
71,VCu3S4,0.0
72,NiBiB,0.0
73,BeFe2Cl,2.3537
74,KSi2Hg,-0.0
75,Rb(TeMo)3,-0.0
76,Ba4LiV,-0.0
77,TiAl2,-0.0
78,Sr2YTi2TlO7,-0.0
79,Si2N2O,0.0
80,PrTe2,0.0
81,TmSi3,0.0
82,Ta(TeCl3)2,0.0
83,HfCuSi2,0.0
84,TiGaRh2,-0.0
85,BeGa2Co,0.0
86,Ba4LiP,0.0
87,YbYRh2,0.0
88,Ba4BeCd,0.0
89,ZnP2(HO)4,0.0
90,KSnS2,0.0
91,Zn3N2,-0.0
92,Na4Sr(SiO3)3,-0.0
93,ScBIr3,0.0
94,K5Dy3I2,-0.0
95,BCl3,0.0
96,Be2VSn,-0.0
97,TmMg3,0.0
98,Ba3Er,-0.0
99,Rb2Yb2O5,4.0
100,PrMgTl2,0.0
101,TiCo2,-0.0
102,CePb3,0.8807
103,Sr(BiO2)2,0.0
104,K2NClO3,0.0
105,KBe2Pt,0.0
106,Nd(CoB)4,0.0
107,Rb6Cl4O,0.0
108,BaNaIn,0.0
109,Rb2GeS3,0.0
110,Ca(MnAs)2,5.0472
111,Ba4HfTc,0.0
112,SmMg2Sc,-0.0
113,TcAsCl,2.8271
114,KY2Ti2S2O5,0.9169
115,Li3MnF6,4.0
116,Li4B2O5,-0.0
117,Na2AgAs,0.0
118,Na2Ca2(CO3)3,-0.0
119,In2CoS4,5.9912
120,SmZnAu2,0.0
121,Ba2TlV,3.8972
122,BaCuReO5,0.0
123,NdMg,0.0
124,SrMn2Si,7.8806
125,LiCaBe2,0.0
126,Ca2Ag2O5,-0.0
127,LuCd3,-0.0
128,Sc2AgAu,-0.0
129,Ba4CoSn,1.3204
130,PmMgCd2,0.0
131,Ba3Cu2(ClO2)2,3.8517
132,Li2Fe2CoO6,2.995
133,BaScSe4,-0.0
134,Ba4YCo,1.7612
135,Pr2Co7B3,6.8168
136,Be2CdSn,-0.0
137,MgH8(ClO)2,0.0
138,BeV2Hg,0.0
139,TiBeFe2,1.6166
140,HS7N,-0.0
141,NbCoO4,0.0
142,NdMgAg2,0.0
143,Zr(TiH2)2,0.0
144,Na(OsO3)2,0.0
145,TiAs,0.0
146,Ba3Nb2CoO9,3.0
147,Ti3O5,3.2909
148,NdSn2,-0.0
149,Li4MnV3O8,9.8474
150,YSi2,-0.0
151,TiSiOs2,-0.0
152,NpGa3,3.8875
153,Be2NiBr,-0.0
154,CaMo2O5,-0.0
155,SnH8(NCl3)2,-0.0
156,RhN3,0.0
157,U3(SiC)2,4.8685
158,RbTi5Se8,-0.0
159,MgAs,-0.0
160,Bi(BO2)3,-0.0
161,Sr4As2O,0.0
162,BeCo4Hg,5.7934
163,Li4CO4,-0.0
164,Li3H4Rh,-0.0
165,YBeZn2,0.0
166,Mg2CoO4,9.7904
167,LuSiRu,0.0
168,Y(Al2Cr)4,0.0
169,NdB6,-0.0
170,ErSe2,0.0
171,Ba4NbSe,3.4431
172,LaAl2,-0.0
173,Al3Os2,0.0
174,NdSiAg,0.0
175,TlCoMo2,0.3807
176,SrNi2(PH2)2,4.0
177,Ba4BiP,0.0
178,LiLu2Ga,-0.0
179,PrBPt3,-0.0
180,LiRhF6,1.9993
181,Li2Ca,0.0
182,Li2VSiO4,6.0
183,B2Mo2Os,-0.0
184,TmSnAu,-0.0
185,Ag2MoO4,0.0
186,MgNi3,1.0243
187,KP2AuS7,0.0
188,MnI2,5.0
189,Li2TiF6,0.0
190,ScGaCu2,-0.0
191,Na2Ti2O5,-0.0
192,Be2SeCl,0.0
193,Na3TlO2,0.0
194,HgS,0.0
195,NbSbO4,-0.0
196,NaBe2Pb,0.0
197,Li6CuF8,1.0
198,Li3TaO4,-0.0
199,BeCdSe2,0.0
200,RbCdF3,0.0
201,LiNbRu2,-0.0
202,InNi2,0.0
203,SrTe3O8,-0.0
204,Be2TcPt,0.0
205,UC2,0.0
206,LiCa2Mg,0.0
207,Li2MnCoO4,2.0006
208,TiZn2,4.6960000000000015
209,U(BO3)2,0.0
210,UBiSb,4.1573
211,NbSbRh,0.0301
212,BaIn2Sb,-0.0
213,CeZn2Ag,0.6026
214,Li4VTe3O2,1.0
215,Ba(CoO2)4,5.8682
216,NbCd3,0.0
217,SnSe2,0.0
218,Ba4ScIr,2.1456
219,CaSn,-0.0
220,Ba4GaSn,-0.0
221,SmBeO3,0.9094
222,Ba3CaI8,0.0
223,VZn2P2O9,2.0
224,TbCrB4,0.0
225,Be2IrPd,0.0
226,LiV3O4,1.942
227,KAuO2,0.0
228,Li3In,-0.0
229,Ba4VIr,0.6487
230,RbCeS2,0.988
231,TbPPt,-0.0
232,Ba4BeFe,0.5287
233,KPrSiSe4,-0.0
234,TbReB4,-0.0
235,Li4Nb3Fe3(SbO3)2,9.0102
236,Li(CO)2,0.0
237,ZrMnTlF7,10.0
238,Tm2SeO2,0.0
239,Be2InTe,-0.0
240,BeVFe2,0.7202
241,Li4NpO5,1.0
242,MnBe2Si,0.3085
243,RbCr4O8,9.0
244,Rb2FeI4,8.0
245,TmMg2,0.0
246,LaNdZn2,0.0
247,Y2BeBi,-0.0
248,Sc3BPb,-0.0
249,LiTi2As,2.4682
250,SnRh,-0.0
251,Sc2AlOs,-0.0
252,Sc6NiTe2,0.0
253,SmTl(MoO4)2,-0.0
254,NdAgSn,-0.0
255,LiGaS2,-0.0
256,ReW2Br,0.0
257,Ba4ScBe,1.8597
258,BaAu5,0.0
259,NiAsRh,-0.0
260,H4CN5Cl,-0.0
261,LaCuSO,-0.0
262,AcH2,0.0
263,Mg2Ni3O8,-0.0
264,BeCdSn2,0.0
265,BeSi2Ru,0.0
266,LiPd2Pb,-0.0
267,Ta2H,-0.0
268,Bi3BrO4,0.0
269,LuB4Os,-0.0
270,BeV2Cd,0.0001
271,V4OF,7.0
272,K3Y,0.6761
273,Ba4NaW,0.0
274,BeFeW2,-0.0
275,BeNb2Sn,0.0
276,Sc2TcHg,-0.0
277,BaBeSiO4,0.0
278,Ni2O3,0.0002
279,NaV2O5,1.7934
280,Pt(SCl3)2,0.0
281,SmMg,0.0
282,SrSbSe2F,0.0
283,HfBeSb2,0.0
284,Be2HgTe,0.0
285,LiMg2Be,0.0
286,PrOs2,0.0
287,TiBe2Cr,0.0
288,Yb3PbO,0.0
289,Lu2MgIn,-0.0
290,PrTlCd,-0.0
291,CaSn(GeO3)2,0.0
292,KCuF3,0.0
293,BaMn2Cu,7.3577
294,Ba2NdNbO6,-0.0
295,ZnRh3,-0.0
296,Ho2SeO2,0.0
297,ZnBiF6,-0.0
298,CeGe2,1.3358
299,TiBi2O5,-0.0
300,Ba(CuAs)2,-0.0
