,pretty_comp,magmom_outcar
0,Hf2ZnRe,-0.0
1,MnCo2Si,4.9987281999999995
2,SrS3,-0.0
3,TiSiNi,-0.0
4,Y2CuAg,2.8513277
5,LiMn(CO3)2,8.0
6,Ni3Mo3N,0.0
7,RbRuO3,-0.0
8,Pr3IrO7,3.7552510999999997
9,RbCrCl3,8.0000001
10,Zr2TiBe,-0.0
11,Be2PCl,-0.0
12,ScSbRu2,0.0
13,SmRhO3,-0.0
14,BaYBr5,0.0
15,SnMo3,-0.0
16,Al(MoS2)4,-0.0
17,Ba2ZrPb,2.9852686
18,Tl2CdGeTe4,-0.0
19,CrB,0.0
20,GePbO3,0.0
21,Zr2Al,0.0
22,Li3Fe2CoO6,2.0
23,Sm3AuO6,-0.0
24,TiMn2Ga,2.9317156000000004
25,Mg3ReH7,-0.0
26,DyZnGa,0.0
27,BaHgPb,0.0
28,MnCu2SiTe4,4.8555375
29,Sm(AlSi)2,0.0
30,Hf2S,-0.0
31,RbCeS2,0.9879934000000001
32,Li2MnF5,8.0
33,BeTeBr,-0.0
34,ThSO,-0.0
35,Ba2MnTeO6,4.9944982000000016
36,Si2TcRh,0.0033014000000000003
37,Lu(CrSi)2,1.1352802
38,K3As,0.0
39,SrBeTe2,-0.0
40,Dy2Sb2O7,-0.0
41,Li2VBPO7,2.0000001
42,LuAu,-0.0
43,ScBeZn2,-0.0
44,UAl2Pd5,2.2625947999999996
45,Ca(FeP)2,-0.0
46,LiV4OF,8.0000001
47,NpPd3,3.4021172999999996
48,TmCoC,0.33733270000000004
49,BiN,0.0
50,DyInPt4,-0.0
51,CaMgBe2,-0.0
52,LiBeTl2,0.0
53,BaSc2Re,-0.0
54,CaPmHg2,0.0
55,YAlGe,0.0
56,CdSnF6,-0.0
57,Ca(CuSi)2,0.0
58,BeZn2Si,-0.0
59,Cd2Re2O7,1.7462688000000002
60,GaIr,-0.0
61,NdTmTl2,-0.0
62,Li2ZnPd,0.0
63,BeCl2,0.0
64,HoAgGe,0.0
65,PtO,0.0
66,PrGaAu2,0.0
67,ZrSiTe,-0.0
68,BaYGe2,0.0
69,Ba4ZnIn,0.0
70,Th(SiOs)2,0.0
71,H3C4NF2,0.0
72,Zn2W3O8,0.0
73,MgBeTc,-0.0
74,Li3Fe(BO3)2,9.999986300000002
75,ZrP2O7,0.0
76,Ge3F,-0.0
77,USnPt,2.0054611
