,pretty_comp,max_ir_mode
0,AlICl6,522.7130593
1,BiN,479.6606438
2,CdSnP2,324.9728386000001
3,BaSi6N8O,1103.26379
4,SrIF,286.2077657
5,Rb2ZrF6,490.70703089999995
6,Ni(PS3)2,548.908884
7,Li2PNO2,1062.384393
8,K2MgH4,1183.654898
9,NaF,255.48294429999999
10,AlGaN2,653.4910156000002
11,BeGeN2,776.5867994
12,TeO2,653.5801267999999
13,Er2O3,489.8709131
14,Te2Mo3WSe6,268.4750705
15,TmClO,479.0365319
16,Zn2GeSe4,261.4011353
17,K2PtCl4,307.10460889999996
18,Ca(ZnP)2,260.8023027
19,DyBi2ClO4,460.80785549999996
20,AgAsO2,719.5368553
21,LiCdBO3,1281.868214
22,YOF,425.7663768
23,Zn(InS2)2,347.0200233
24,ThSO,472.919575
25,CaH2,1172.1613539999996
26,Ba2YF7,360.6301583
27,Sr2CdAs2,176.10204030000003
28,Mg5(HO3)2,3764.977548
29,ThNiSn,147.83888249999995
30,BaC2,165.86075559999995
31,Rb2Pd3S4,288.1196879
32,TmIO,500.6533683
33,HIO3,2966.095907
34,Ca3UN4,555.7048136
35,Li4Si2NiO7,947.4959779
36,SrB4O7,1304.870476
37,SiGeN2O,954.0276087999999
38,ZnCu2SnS4,329.73251719999996
39,Te2I,166.3654078
40,UCO5,1476.720358
41,SiH4,2155.69074
42,NaNdSe2,144.85225659999998
43,K2Te2Pt,172.3002404
44,TmBi2ClO4,472.5494567
45,SmIO,467.3653659
46,HfBrN,597.0771227000001
47,K3AuO,254.52229759999997
48,Li2CrPO4F,1051.1332710000001
49,ZrS2,316.1525640000001
50,SrO,123.00920719999999
51,ScZnMo3O8,753.7159697000003
52,KErTe2,146.3149543
53,RbTmO2,338.0330988
54,K2Mg2O3,645.1302039
55,Ba(AgS)2,162.1583053
56,NaErSe2,158.4749312
57,Zn2Sb2O5,607.0770535
58,Ce2Dy2O7,546.3226248
59,ZrPdF6,454.50160389999996
60,In2S3,331.0369024
61,Al5CuSe8,378.5131287
62,TaCl4,356.0533711
63,Ca4Al6O3,789.6087738
64,KrF2,509.7064926
65,Ba(MgSb)2,230.1432141
66,KH3F4,2661.386662
67,GaCuO2,596.7096723999998
68,NaGaO2,709.5793457000003
69,LiAlSe2,370.8946213
70,RbH3O2,3552.5795020000005
71,CaHClO,3610.4842399999998
72,SrAl2O4,857.7247814
73,NaSmS2,230.21068119999998
74,AlSbO4,631.0129822
75,CaGaBO4,1320.008174
76,HgBr,148.1456692
77,BaSr3O4,319.6151611
78,VCu3S4,430.1033109
79,BaO,123.2888803
80,ErTlTe2,136.8039678
81,AlBN2,924.473339
82,NdZnPO,422.892674
83,DyZnPO,453.2235319
84,KBe2BO3F2,1272.367366
85,Tl2S5,462.8057539
86,Ga2Os,246.1889997
87,KSmTe2,146.6035985
88,NaV(OF)2,1018.627192
89,Na2GeO3,748.9835046000003
90,CdF2,219.6359631
91,NaCuO2,630.9063289
92,KF,197.50943869999998
93,Li3CrPCO7,1484.129494
94,SnPSe3,429.3794825
95,S5N6,1010.79898
96,K2S5,472.24130269999995
97,AlBr3,472.87111739999995
98,Th2SeN2,468.5495244
99,RbBr,94.76519225
100,Si3H,2063.142823
101,NdTlTe2,136.85182509999999
102,ZnCN2,2076.644804
103,NdCuO2,593.6813589999998
104,ScSbPt,218.2985614
105,InGeCl3,177.1901175
106,BiSBr,281.6315454
107,K4HgP2,310.3220835
108,LiCoO2,547.5512388
109,GaB3N4,961.4609236
110,NdTlSe2,155.66409319999997
111,Pr2SeO2,387.02321489999997
112,WCl4O,735.5401863
113,TlS,230.31546690000002
114,SmSnAu,134.3528762
115,HgTe,164.598158
116,PrZr3F5,639.0282545
117,SbO2F,749.7302778
118,GeRu,287.0850708
119,NdCl3,200.4341003
120,B2O3,1222.476533
121,Xe(OF)2,691.6318431
122,Sr7(HCl)2,1034.5654240000001
123,InBr3,196.48249219999997
124,AlTlSe2,337.3609962
125,P2Ru,355.3930744
126,MgPSe3,413.3775855
127,Na6MnS4,293.68480239999997
128,DyNiBi,165.81119750000005
129,Li3CuF4,510.412979
130,BNCl2,1303.4137150000001
131,LiCoS2,463.5659005
132,Al2Se3,411.29211000000004
133,Zn(CN)2,2251.0731739999997
134,Zn(SbO3)2,755.1761661
135,TbF3,482.3047986
136,RbF,132.07720559999998
137,KLuS2,244.5243011
138,Cd(GaS2)2,351.884521
139,AlGa3N4,639.4113126
140,NaZnAs,219.03212799999997
141,HoTlSe2,159.52282160000001
142,RbAlF4,657.9777578
143,K2Pt,98.56765920000001
144,NaHF2,1839.553484
145,Ba2BiBr,82.84860359999998
146,LiMgBi,251.75281349999997
147,Sr(GaTe2)2,194.0070217
148,Sr4I6O,334.6810903
149,SrHClO,3632.314716
150,SmBi2IO4,425.4049962
151,MgH4(ClO)2,3454.911326
152,BH4O2F3,3521.895968
153,Rb2PdC2,502.59443830000004
154,KNdGeS4,397.18816150000004
155,Ca(MgAs)2,272.58075560000003
156,Ba2CuClO2,617.6811196000001
157,Be2C,620.2511039
158,BH5CN2,3333.1491079999996
159,NaPrO2,336.2933293
160,InBr,71.3035673
161,PHF2,2301.392855
162,UN2,302.3185504
163,LiYF4,453.77880939999994
164,K3ClO,307.0383425
165,Dy2TeO2,433.96644150000003
166,PbBrF,263.1850601
167,ZnCl2,292.3904555000001
168,H5CNO2,3111.3699739999997
169,Ba(BS2)2,881.4981622000001
170,YCuO2,594.9611986000001
171,CClF3,1100.947799
172,Zn(HO)2,3644.685665
173,Rb2O2,204.3878762
174,Na2Pd3O4,536.698115
175,LiAuO2,623.0870212
176,Rb2PbO3,562.4134329
177,PrOF,389.4452587
178,BeTe,453.4483776000001
179,NaCrSe2,258.3449079
180,LuSBr,255.83512030000003
181,PtI2,79.58227125
182,RbAuC2,598.3182763
183,ScOF,588.1267498
184,HOF,3191.056331
185,ErTlS2,209.1148385
186,ScPS4,565.2753297999999
187,Al3GaN4,647.7434099
188,Th(TeI)2,195.1908133
189,KCaBr3,221.43119359999997
190,RbBaSiHO4,2843.020467000001
191,NbBi3O7,650.8501957999998
192,K2Sr(P2O)2,1206.492912
193,KSmSe2,172.6991398
194,FeP4,495.3684605
195,InSe,179.9478957
196,TiFeSe,270.9438376
197,Rb4I2O,239.17936329999998
198,CdI2,130.8089718
199,LiMn5O3F5,577.2288369
200,SrSnO3,674.4519241
201,HgSO4,1069.383691
202,LiV3O8,1030.425755
203,MgBr2,297.8777645
204,CaH2(BrO3)2,3517.7841799999997
205,Li2V(CO3)2,1471.82151
206,AlSCl7,479.288091
207,NaCN,2112.5529149999998
208,SrAl2B2O7,1248.608192
209,Tm2O3,495.1355107
210,NaCoO2,547.0791362000001
211,Ba2ZrS4,357.5377129
212,Al2Si2H4O9,3684.577668
213,MgPdF6,573.8857995
214,BaF2,190.9101741
215,HgPbF6,441.8422107
216,NaAlTe2,289.9931575
217,H4NClO2,2998.282259
218,LiBeP,610.7505894
219,Rb2ZnF4,371.9311727
220,KScO2,466.84830750000003
221,ScGeAu,218.0990951
222,Na2ZnSiO4,913.2525648
223,Pm2O3,459.19258160000004
224,K2H6Pt,1676.388675
225,NiP2,397.6316164
226,TbCl2F,472.30706889999993
227,Ga2HgTe4,208.2435364
228,ThO2,270.9063855
229,H7NF4,3293.532143
230,HgCl2,359.8847858
231,MgGeP2,360.274614
232,MgS,329.8226956000001
233,Mg3Si2H4O9,3737.8368840000003
234,Ga2HgS4,351.24873660000014
235,MgSiN2,749.6362975
236,Rb3TaO8,850.3326872000001
237,CS2,1526.814126
238,Li2ZnGeO4,698.4265721
239,BaNa2(SiO3)2,992.0340025
240,SiS2,556.2524206
241,NdBi2BrO4,425.70661359999997
242,Zn4(B2O)3,1032.190204
243,RbBr,83.2320619
244,TlInS2,201.4174251
245,MgO,385.9174957
246,ZnNiF6,591.9219131
247,PrClO,467.04343839999996
248,KAuSe2,215.596311
249,BaBeF4,845.9141124
250,SbIrS,308.2602198
251,SmSF,352.630127
252,AlF3,670.591028
253,NdB2H,3091.331227
254,Zn(InSe2)2,200.03636819999997
255,LiZnN,461.2821258
256,VO2F,1003.7495240000001
257,Si3As4,411.59909669999996
258,NdTlS2,196.2838262
259,Dy3CuSiSe7,424.91958700000004
260,ZrSnPd,190.0715216
261,Zn4P6N2O,989.6213301000001
262,NaH,512.8231168000002
263,Al6Cd4SO2,789.567253
264,SmCuSeO,456.9406228
265,LiTeHO4,2769.489886
266,K2MnF4,417.7633106
267,CrBiO3,493.1865367
268,Rb2LiVO4,869.8653487
269,Na3ClO,411.94383569999997
270,SnC2(SN)2,2100.941412
271,ZnSiN2,901.2054776000001
272,SrAlSiH,1208.3168560000001
273,KHF2,1448.280245
274,RbCl,111.2749764
275,ErClO,474.30650139999995
276,ZnCl2,280.13569789999997
277,Pd(Se3Br)2,248.807008
278,Mg2Sb2O5,700.6042271000001
