,pretty_comp,max_mode
0,Li2MnBr4,299.415773
1,CeSiI,378.263584
2,Ba2RuO4,532.7113929999998
3,SrHg,89.004784
4,VGaFe2,315.532034
5,TbAgTe2,148.931148
6,LiTl2InCl6,297.4519180000001
7,PmSbPd2,144.66941200000005
8,CdAsRu,190.69298500000002
9,MgBe2Pd,450.397103
10,LiCuAu2,395.178929
11,CaF2,392.80123100000003
12,TiFeTe,294.563463
13,ThCN,1873.1632120000002
14,V3Sb,265.20837400000005
15,BaCo2Sb,193.049083
16,Pu2O3,505.589557
17,Ta2MnAs,173.437243
18,SrBe2Zn,301.706365
19,NdSn2,153.721533
20,Hg2GeSe4,271.04035899999997
21,HoSnPt,171.290995
22,SbPd,182.770005
23,Mn4ZnO8,584.746286
24,TaGeAs,173.426288
25,CeN,326.861669
26,Nd(SiPt)2,383.460733
27,TmMg,216.61365299999997
28,BaCuAs,166.068178
29,SbAsO4,838.600075
30,TiCoAs,294.406659
31,TiBeSe2,287.67605299999997
32,TiFeCoGe,292.965554
33,Nb2C,604.484217
34,CaSi2,393.77493599999997
35,Sr2FeBrO3,546.6532980000002
36,Cr3S4,317.541196
37,DyN,433.772261
38,NaMnBe2,474.426615
39,K2AgBi,162.075717
40,RbF3,171.163428
41,MnBe2Os,463.812026
42,ZnCo3C,626.591398
43,UZn3,192.662873
44,TmAlSi,346.828862
45,NbGaPt,226.25190800000001
46,KAuF6,622.008457
47,K4HgP2,342.271777
48,MgWO4,888.59743
49,DySbPd,162.519398
50,Ho(FeGe)2,313.223496
51,AsRu2Cl,212.002433
52,K4SnSb2F4,532.708754
53,PmH3,1188.954932
54,ZrIr,143.18840500000005
55,YbBiPt,119.316248
56,TbZr,112.590543
57,NdY3,127.476339
58,RuI,201.752242
59,KAgO,525.2443400000002
60,BaTiCd,118.69058799999999
61,TmZr,119.49948
62,MoCl3,356.911741
63,Te4Mo2WSe2,321.497483
64,YGa2,268.898483
65,Sr3BiAs,197.915551
66,U3Cl,232.490029
67,BeMo2Br,460.457076
68,ZnSbO3,604.8742599999998
69,Ni3Pt,249.45376000000002
70,InAgTe2,161.629119
71,CaMoF6,628.115703
72,ScHg,136.628498
73,CeSe,130.734445
74,BeRh2Cl,273.899018
75,DyAlAg2,195.88174899999999
76,BeZnCr2,399.214493
77,BeSiCl,452.49822800000004
78,GeF4,734.643249
79,Fe2AsSe,154.584769
