,pretty_comp,mbj_bandgap
0,Ge3As4,0.7593
1,DyTl,0.0105
2,Ta2O5,3.8661
3,NaZr2Be,0.0065
4,AlGaN2,3.8906
5,Ba(CuO)2,1.6268
6,SmPO4,7.6961
7,KNbS2,1.2762
8,Na4W(NO)2,4.4395
9,YVO4,3.2607
10,Rb2Pd3S4,1.1653
11,Mn2OF4,0.11
12,Pm2O3,5.4166
13,K3ScSi2O7,5.1922
14,Ba4FeMo,0.0213
15,K2NaGaP2,2.4798
16,Li6FeO5F,1.1136
17,In3NO3,1.4795
18,GaAsO4,5.1975
19,GaFe2Co,0.0201
20,KGaH4,7.1101
21,Pr(CoB3)2,0.0163
22,Ho3AlC,0.0909
23,ZnTeMoO6,3.7043
24,Li8BiO6,3.6488
25,B2AsP,1.75
26,CuSe2Cl,0.5032
27,NaNbSe2,1.0426
28,PW4Cl,0.6696
29,CdSiAs2,1.327
30,K(BH)3,5.6741
31,Ho3Pb,0.0021
32,HfZn,0.1514
33,RbGeIO6,3.6248
34,Yb2PrDyS6,1.6338
35,Ba4OsBr,0.0375
36,PdCl2,0.9433
37,Na3Al,0.0342
38,KO3,4.999
39,Ba2BiCl,1.4699
40,SmBi2BrO4,2.8612
41,K3AsSe3,3.2518
42,Li2TlBi,0.4787
43,CaTi2S5,0.9389
44,Mg3H4O5,6.2328
45,Rb3P,1.5527
46,KPrS2,3.3425
47,Sm2In,0.0051
48,PuO2,0.0246
49,InSe,1.5367
50,Ba3Ga2(GeO)4,4.2464
51,Zn2As2O7,3.6613
52,Na3VS3O,2.1615
53,SmAl2,0.0237
54,MnTePd,0.0163
55,BeCu4Rh,0.0627
56,Rb2LiInCl6,1.5088
57,Hf2CuOs,0.0228
58,MnSbRh,0.0086
59,DySI,3.0872
60,ThTe3,0.8977
61,YN,0.0824
62,YAlAg2,0.0842
63,K4BeP,0.0741
64,K2B2S7,3.6312
65,Sr3(InP2)2,1.3434
66,ReSeCl,1.9552
67,Na2Te4MoO2,3.182
68,ScGeAu,0.386
69,BaTeCl,4.7319
70,Na3AlH6,5.7162
71,SbAsO4,4.5796
72,ZrInPd2,0.0195
73,CaHN,3.7233
74,PaAgO3,3.3178
75,MoO3,2.4642
76,CoSi2,0.0285
77,H(CO)2,4.191
78,BaF2,6.8765
79,Ba4ZrW,0.0188
80,MgBr2,6.2375
81,LiGaO2,3.8406
82,TmI3,2.7435
83,Pb7(BrF)2,5.1956
84,TiS3,3.3714
85,LiAlSi,0.4828
86,K2TeI6,1.9678
87,NaErS2,3.3022
88,Sr4Sb2O,1.4454
89,TeOF2,6.0534
90,Li3Y(NiO3)2,0.0046
91,Li2VFeO4,0.0017
92,In2Si(AgSe3)2,1.4918
93,Ti3Si,0.028
94,Rb2NaMoF6,2.4864
95,U3Co2Ge7,0.0011
96,HfMgBe2,0.0045
97,Rb8NO3,3.4293
98,Sr2IrO4,0.0144
99,Rb2NaBiF6,6.7224
100,Rb4CO4,4.1873
101,Rb2Si3SnO9,5.8982
102,AgPbO2,0.5218
103,HoBO3,6.8658
104,Dy2CuRu,0.0338
105,DyTmMg2,0.0123
106,Sr3(BS3)2,3.2853
107,BiClO,4.0048
108,Sr2ZnMoO6,2.7356
109,Tl(NiSe)2,0.2401
110,PbIBr,3.2965
111,BaInMo,0.0314
112,K3WF6,2.4611
113,CaF2,7.1016
114,YP5,0.664
115,K4Ba(GeO3)3,5.4576
116,Be2ReGe,0.0022
117,K2Pt,2.103
118,MgSbF6,5.8147
119,Ca3N2,2.2948
120,ZrSO,1.3337
121,CrMoF6,0.0036
122,Na3SbS4,2.8407
123,CaN6,4.4052
124,KNaH2,5.5744
125,ZrPtPb,0.0519
126,Nd2CdS4,2.7066
127,Zn3BPO7,5.4361
128,ErInPd2,0.0275
129,CaTl3,0.0056
130,B5H9,6.7561
131,Sr3AsP,0.6666
132,Mg2BeCo,0.0077
133,Yb(HoS2)2,2.8786
134,LiAsS2,1.5192
135,VRh,0.0023
136,KAuF4,2.5306
137,HfO2,4.8454
138,TlAgCl3,0.1075
139,Rb4I2O,2.1773
140,RbSmS2,3.5601
141,LiCdAs,0.0797
