,pretty_comp,min_ir_mode
0,InBrO,49.09817015
1,Mn(GaS2)2,100.7388109
2,SrBrF,103.5230023
3,K2Cu(ClF)2,121.8844118
4,NaV(OF)2,71.87355215
5,Ti3MnO8,93.2944239
6,NaY3SiS7,61.4783238
7,MgH4(ClO)2,155.580318
8,SrS,127.9604149
9,LiAsF6,216.9987452
10,CaH2(ClO3)2,90.563259
11,SiH4,863.830933
12,KHF2,142.11522209999995
13,KHS,120.6287176
14,PrHSe,148.2822374
15,CdSnAs2,129.3761224
16,Li2WS4,426.75113560000005
17,PI3,266.7313991
18,BaAl2B2O7,104.6243861
19,XeF3,146.0734669
20,RbBe2BO3F2,95.4583053
21,LiSiBO4,269.3067861
22,SrSiO3,245.8151795
23,KNbSe2,107.1973719
24,Rb3SbSe3,55.6108582
25,SrBeF4,93.41578455
26,RbErS2,123.9802925
27,TbTlSe2,44.19351905
28,CdSO4,116.7045565
29,Li2AlFeO4,241.7117955
30,Ba(BSe3)2,16.5290604
31,Pr3CuSiS7,55.07422335
32,Pr5AgSe8,15.49884555
33,SmTlO2,30.7585716
34,K2ReF6,113.6911172
35,BaSi3SnO9,64.4723534
36,InI,46.51454565
37,K4HgP2,67.79197905
38,Al5CuSe8,90.8135174
39,Al2Si2H4O9,193.1234802
40,Te3W2Se,173.80649319999995
41,LiMgAs,244.6179145
42,TbTlS2,44.9904173
43,Al2CO,209.1918103
44,YCuSe2,131.6108392
45,Ba2BrN,67.83346645
46,Zn(GaSe2)2,121.0268499
47,TiTl2F6,56.27288905
48,CaCdO2,130.2707362
49,TlInS2,46.09160095
50,Ho2CF2,203.3704011
51,AlSiTe3,188.7353872
52,Pr3AgGeS7,53.72034675
53,Tb2PbS4,56.9263823
54,BaHCl,130.7087884
55,Ba(MgBi)2,75.93604905
56,Rb2Pd3S4,63.63830325
57,Ho2Be2SiO7,177.3852483
58,YbSe,136.2635978
59,Ag2HgO2,105.2669405
60,LiC,363.9086301
61,Pr2PbS4,55.43226895
62,NbTl3Se4,61.14232255
63,Rb2Se3,56.04924395
64,Li2ZrTeO6,169.8144648
65,Li3VS4,436.66709110000005
66,Zn(GaS2)2,100.6014089
67,CaSnF4,68.79841535
68,AgCNO,52.31547800000001
69,RbYO2,77.60101445
70,Ca3TaGa3(SiO2)2,40.19948970000001
71,LiNbO3,144.86933180000003
72,Rb2MgCl4,78.18027059999999
73,BaZrO3,110.9441777
74,Rb2PtS2,75.7339147
75,Na2PdS2,90.5221718
76,K2Pt,98.5676592
77,BBr3,771.1632222999997
78,LiGaS2,140.983023
79,K4I2O,75.45807685
80,K2PAu,48.67489195
81,Ca2BrN,98.3045277
82,RbPbIO6,79.25030535
83,SmSF,203.494263
84,BaSr3O4,86.09405885
85,Bi2PbSe4,48.12641785
86,Al6C3N2,68.09359645
87,PbF2,119.195568
88,NaHS,125.25222820000002
89,BiTeCl,91.98266835
90,Mg(AlC)2,207.9234765
91,RbCaCl3,32.98898625
92,NaScAs2O7,23.32042105
93,PbIF,48.0636865
94,Cd(CN)2,111.8141125
95,TiCoSb,226.1793999
96,AlAgSe2,89.40678105
97,MgI2,167.04498080000005
98,LiY3WO8,89.3115668
99,YbS,197.1170426
100,YbB4O7,83.44453475
101,LiLuO2,120.5018875
102,Ca4Sb2S,48.723749700000006
103,SrCa(CO3)2,92.24633345
104,CuB(CN)4,299.5535019
105,PrClO,110.3742596
106,NdCuO2,111.5067922
107,K2SmF5,59.59848435
108,Al2PbO4,48.55436505
109,Al2Si4O,90.0750817
110,HoAgTe2,36.29957405
111,AcBr3,103.6608379
112,Hg2GeSe4,50.8628854
113,RbBaSiHO4,82.09759495
114,HgSeO4,75.56533045
115,KPF6,108.2873166
116,RbCd(NO2)3,63.75282715
117,NaBeAs,133.5757878
118,TiFeTe,255.1302014
119,Na5SbO5,153.74746869999996
120,BeZnO2,234.101659
121,Tm2O3,221.6407984
122,CdGeAs2,148.3570415
123,Ca2SnN2,97.92096935
124,LiV(PO4)2,60.37440545
125,ScCuO2,133.72606299999998
126,Cd(InTe2)2,72.51067055
127,TaBe2Rh,190.8322018
128,Ca3AsBr3,174.4138634
129,KSmTe2,88.46024135
130,BiAuO2,61.83166705
131,LiNbSe2,224.5625585
132,Li2CdGeO4,135.8633311
133,NaErSe2,107.2055093
134,Hg(AsO3)2,99.67451235
135,TlI,50.43490485
136,Ca2H3Br,104.2492319
137,Ba2Ti3Tl2,28.7515019
138,P2Ru,201.2917956
139,V2MoO8,67.15155899999999
140,Dy3CuSiSe7,38.9852162
141,RbNaS,85.60444749999998
