,pretty_comp,min_mode
0,Ta2MnAs,-36.335175
1,Ca3MnO4,-0.46288100000000004
2,MoW2(Se2S)2,-0.138877
3,BeFeRh2,-0.233262
4,VH2,-0.275992
5,Nd3GaN,-199.33395900000002
6,BeTcHg,-0.125879
7,Sr7(HBr)2,-0.038212
8,NaSrBO3,-0.06638200000000001
9,Ba3Bi2,-47.40664
10,HoTmCu2,-0.022754
11,DyBr3,-35.854709
12,MnSn,-65.017237
13,UAl2,-20.587999
14,Be2NbRh,-0.186945
15,NdMgO3,-68.586754
16,CaPd3O4,-0.032975
17,ThSe,-0.0103
18,TaBeSn,-0.389737
19,AgPbBrO,-11.62403
20,Ti6Si2B,-0.080193
21,TaBeBr,-0.695435
22,Ca2Cr2O5,-0.045579
23,Sc2Co,-0.05549
24,NdMg3,-0.167324
25,ZnCo3C,-0.11572
26,TbAlAg2,-0.067722
27,Mg2TiBe,-2.2665040000000003
28,CaBeIr2,-0.014403000000000001
29,CrCuO2,-0.321205
30,CdCl2,-0.075421
31,SrAgSb,-36.780794
32,TiMn2V,-0.21056100000000005
33,Pr(FeSi)2,-0.14898599999999998
34,Co(NiSe2)2,-0.306909
35,Lu(HO)3,-0.17411400000000002
36,K3Ag3As2,-0.09425599999999999
37,ErVO4,-0.264619
38,AgPbO2,-0.173792
39,YNi,-0.28879
40,ErBiPt,-0.072046
41,K2B2Se7,-0.096759
42,PmAgHg2,-0.011087
43,Sb2Rh,-0.036675
44,RbCuCl3,-44.722938
45,Te7Mo8S9,-0.050065
46,BaCrBr2,-82.432802
47,NiSb,-0.184514
48,MnBe2Cd,-0.282681
49,LuCl3,-58.209824
50,K2SbAu,-0.101536
51,BeVFe,-0.678185
52,MnBe2Ga,-0.31754
53,Hf2Ag3F4,-45.54176
54,YbGa4,-29.767213
55,LuVO4,-0.512862
56,HfRh3,-0.010703
57,IClO3,-450.613394
58,Ba2As,-19.868693
59,Li4Ca3(SiN3)2,-0.031775
60,BaNiO3,-0.161314
61,KPAuSe3,-16.863181
62,Fe2AsSe,-130.545567
63,SbRhO4,-57.908846999999994
64,MnFeTe,-0.10444300000000001
65,ScAu,-0.033442
66,LiHF2,-0.383825
67,BaCuSeF,-0.184577
68,CeSb,-0.042433
69,K2HBrO,-0.12498499999999994
70,ZrTiSe4,-35.39420900000001
71,BeInP,-1.200818
72,ThAl2,-0.018912
73,Al2FeNi,-0.10105399999999999
74,Ca(CdAs)2,-0.081912
75,BiTeIO3,-0.118663
76,UTlO3,-0.028674
77,NaAlTe2,-0.802872
78,NaBeTc2,-0.25230199999999997
79,Mn2AsSe,-122.297858
80,InNi2,-66.77187099999999
81,Ba2TbNbO6,-0.206006
82,K2ReBr6,-13.22967
83,ZrS3,-0.047585
84,LuCuSi,-60.481843999999995
85,KTcO4,-0.082618
86,PH6(NO)2,-0.17569400000000002
87,ScIr2,-59.918243000000004
88,TaTlO3,-133.27246100000002
89,Eu3As4,-0.028531
90,ThSeO,-0.026914999999999998
91,NaMgAs,-1.246897
92,AlGaN2,-0.023607
93,CdCuSb,-59.973096999999996
94,CeCuGe,-0.08455900000000001
95,MnBePd2,-0.111925
96,CeSe,-0.005943
97,YbPO4,-0.02742
98,PrCrO3,-0.079596
99,ErS,-0.06969
100,SnF4,-0.15723
101,LiSiBO4,-0.06310299999999999
102,BaCr2Te,-59.522633
103,RbPrS2,-0.154826
104,Pr2AlNO3,-0.08947000000000001
105,Rb2SeCl6,-0.015752000000000002
106,NaScO2,-0.099928
107,CN2,-0.053935000000000004
108,NaAuO2,-0.149348
109,RuF6,-55.87602800000001
