,pretty_comp,n_em300k
0,KCu4S3,3.790075966464407
1,CoMoP,4.5914438496372965
2,TlCuPO4,1.5931605979705272
3,K3GeS3,1.015884937507967
4,Ga2HgSe4,0.14020871970146045
5,CaCoO2,0.00027589039027016974
6,DyRh2,3.5595807351533693
7,ZrIn2,3.6295490724373187
8,Sr3CdIrO6,4.240656995145585
9,CrCo2Sb,3.731366188793496
10,Sc3Hg,6.721219195888957
11,CeDy3,3.8982306704260212
12,Th2Pd,3.568292525983702
13,Nd2NiIr,6.3842536395700735
14,Sc2IrRu,5.095979235389136
15,MnAlGe,4.1253998557849645
16,PrSnPt,4.684220878363728
17,LiAc2Ir,6.886448082728939
18,ErSi2Ni,7.067562362935678
19,CaMnGe,4.170058926271504
20,CoPO4,4.510996663387381
21,YbIn2Au,7.197637448277253
22,CeZn,4.222221022148099
23,YbAl2Cu,4.706403638540039
24,MnO2,4.1695012161554565
25,Pd3N,5.8385099164050684
26,As2PdO6,0.000530789706071301
27,YRh,7.334274730772872
28,MnTe2,6.516797910416483
29,Tb(NiGe)2,6.802286640373112
30,ScGaPd2,5.615819659399918
31,HfSb3,6.320248761793412
32,La(CoP)2,5.023224233548635
33,Nd2BiO2,4.928534750316066
34,ThSO,0.6928160945567732
35,Tb3Er,7.160857749846611
36,HgRhF6,3.487928700418895
37,RbMnBi,4.5781326964641575
38,Mg2H2O3,0.4877802114139309
39,Ta(NiTe)2,4.061853095793961
40,YbMnGe,4.165932844335494
41,NdS2,4.3706020331267945
42,B3Ru2,6.781947113023229
43,SmRhC2,4.194047108643917
44,TbN,0.0005478628874316929
45,Li2BeSiO4,0.701538009036971
46,Li4Ca2Mg(SiN3)2,1.3529287277158488
47,Al2Pt,4.609909722021562
48,TbHg,7.273762615568877
49,Yb2HgGe,3.6309220139355287
50,Ba5Nd8Mn4O2,0.00015590504905363018
51,NdCdAu2,5.434029423435656
52,BPO4,0.4904279918456914
53,HfTc2Sn,6.667372808697789
54,CuI,0.2885811274169308
55,Ho2OsPd,3.582779289448826
56,Ba4HfO6,2.6861043576765518
57,Tc2P3,4.7217662588448865
58,Ca3WO6,2.113912607378912
59,VRu3,6.496941083456843
60,Na2TiAu,3.628881848052462
61,ZnCrF6,4.57781926260113
62,Sr3P6(N4O3)2,0.9634309943858268
63,BaGaCu2,5.037213382332115
64,BaNd2PtO5,0.7105800290952251
65,MgScPd2,5.1725849543121365
66,LiAc2Si,3.724956399306164
67,NdMgAg2,6.1335569910533305
68,NpAsSe,6.1216435864254475
69,YbF2,0.8351084377774809
70,TbPO4,2.5958235642637697
71,LiHo2Ir,6.720102313216256
72,BaDy2PdO5,5.490418608976442
73,ErCoC,6.518860802222848
74,VSiPt,4.8313204713802245
75,Ti2Co3(TeO2)3,5.944101934810513
76,Er5BiPt2,5.1291304158546565
77,NaNdSe2,0.5680819851272446
78,Rb3(FeSe2)2,2.4064774638807545
79,Yb(ErS2)2,0.5837337851830132
80,Sc3Al,3.547715808001957
81,V2Cu3H6O,2.585115558983864
82,U(NiP)2,4.025017971106428
83,Si(O2F3)2,0.6763761146776299
84,AgAuO2,5.7974310131733375
85,LiSb3P2,2.977488431278855
86,FeSbAs,4.10955329381244
87,Sc3RuC4,4.274602452226213
88,RbTi5Se8,4.533056080608106
89,UTlO3,0.09742593102458356
90,Pr2S2O,6.640836958659526
91,Ce(CrB3)2,3.9721850142380934
92,Mn2CoSi,4.530814920458634
93,ThOs2,4.13289346448859
94,HoAl2Ni,4.806566289274247
95,Sc2IrPd,5.636075663320291
96,Li5TaO5,2.935869008994444
97,YRh3C,4.835324384635023
98,Er(TiGa2)2,4.98348937039868
99,MgI2,0.8747373125658707
100,Ba(NiO2)4,5.216452715519824
101,Tm2ZnPt,7.710468099838026
102,Rb3Sb,0.0010251667223350408
103,Li2Ti4VO8,4.2392673369135645
104,K3IO,0.3664476354888498
105,MgRh5,4.5759428837269365
106,BC2N,0.4833853595751546
107,Sm(Al2Cu)4,7.634952357964503
108,Zr3O,4.993001193538881
109,Al2CO,0.2603677557853829
110,DyTiGe,4.36612976342471
111,UO,4.01707156806216
112,Cr3N4,6.615580721176716
113,CaHg2,6.832353940528772
114,HoSi,4.766987555533646
115,Nb3Au,3.639907561149419
116,FeCoSn,3.5489206769153245
117,Er5Sn3,5.534154771872776
118,Rb3AsSe4,1.0186913682119458
119,CrPt3,6.193204192773344
120,AgPtO2,0.0007511361252836642
121,TbB2C,5.464152342278118
122,Ag2MoO4,0.8027027448489522
123,VN2(Cl3O)2,0.0008386197305014092
124,P3Au2,4.731191580488583
125,Y(HO)3,0.6037386040357522
126,FeCu2SnSe4,5.5862828280707255
127,KrF2,3.0575784151113
128,YbPrAg2,7.106394128887049
129,LuAsO4,0.5321906441404584
130,LiBC,0.25470062196954274
131,Ce(CoP)2,4.271881546197588
132,HfB4Ir3,5.481094235328318
133,Ca(NiO2)4,5.259168007310441
134,Rb2PdBr6,0.12877847640523046
135,LuScZn2,7.6723023880085135
136,YbH2ClO2,5.365281916699646
137,Si2O5,1.0662030109065723
138,UAlNi4,4.595847228003511
139,HfPaTc2,6.592356807251346
140,Fe3Se4,3.5553639012962996
141,LiCaPb,4.1266190069762265
142,MgCoF5,0.09293832031508747
143,LiCdAs,6.203616907763367
144,HoCuSi,4.005483298454118
145,Nb2CoO6,4.254738490128639
146,U2TeO2,3.1084147414157948
147,Co5O8,6.984028116256251
148,Dy2Mg,4.420913202999849
149,Ge2Te5As2,0.03637966894470818
150,TaFeSb,3.922380381624219
151,Li2Mn(NiO3)2,4.3944106896051744
152,Cd3(ClO)2,0.250081837811912
153,ThIr2,7.75964135420165
154,NpO,7.194134144852089
155,KAgC2,0.6593181291503436
156,Mg2Bi2O5,0.6341403084457148
157,K2ErF5,0.4181384777932057
158,Sm2Ge2O7,0.5480894457229325
159,Ca2Ru2O7,4.3256723768014975
160,NdAs,4.848692996870804
161,TaSe2,5.612390229423233
162,RbSr3,4.141568620440085
163,As3H5,0.5869116400454989
164,Hf2Ga,4.39472682466137
165,RhCl3,3.380291448895727
166,Tm2MnOs,7.8015526155752735
167,PrCuSn,4.262978976465154
168,Tb2Be2O5,0.5014078725972608
169,Zn2SnSbO6,3.5692949015244584
170,Pm2ZnGe,7.5951419601436125
171,GeP3,7.5826393594310595
172,Ca3BiN,0.3843903549002388
173,BeAlIr2,4.722263962735787
174,NdInRh,5.191770255737082
175,CoNi,6.511944871744468
176,BaTl2,5.623656574475472
177,SrHIO,0.3031081588538347
178,K3BS3,5.653019794829517
179,Mg4As6Ir7,4.095818678278024
180,YAlGeO5,0.5880620693974796
181,Li2CuNi(PO4)2,3.0935988485502923
182,PtN,4.678554143866008
183,BaHfMo,4.102446145073493
184,KRb2TiF6,7.1889443864624445
185,Ba3N2,0.00023260256682205147
186,Lu2ZnPt,6.951448013551898
187,LaBiPt,0.00027714064674374265
188,LuHCl,5.3363251738859185
189,Al6Re,3.9024837375191135
190,NbI3,3.735679136647944
191,Ti2Be7,3.5676971034916662
192,CaB2(H2O3)2,0.7033162463101807
193,BaAg2,6.301860589090798
