,pretty_comp,n_powerfact
0,Rb2PdCl6,2000.051954
1,TmPd3,57.53401643
2,ErMgSn,57.04103745
3,PrLuIn2,5.228483126
4,BaPr(CoO3)2,343.6214433
5,Ce2Nd2O7,124.99906770000001
6,YbScRh2,322.4680408000001
7,Lu2SO2,2001.3666170000001
8,U(NiP)2,354.79908389999997
9,TbSnPt,11.31187289
10,Ca3BiN,1537.209613
11,YbBRh3,329.6605185
12,SmFeSi,357.6464666
13,Yb3Sb5O2,339.316329
14,Li2CrCl4,887.4317991
15,HfZnCo2,2246.363445
16,Li3Co2NiO6,1095.366689
17,Li3Co,1358.116046
18,ErGa2,97.72138891
19,Li3V2P4(HO3)2,31.07661706
20,ZrRu3C,25.01930365
21,Na3Ni2SbO6,583.1657518999998
22,K7LiSi8,909.2427964999999
23,Na3VPCO7,579.6376705
24,PrSm3,131.2472611
25,TaTl3Se4,3258.097347
26,LaMgTl2,71.57786293
27,BaPdS2,2300.177184
28,Hf6CoBi2,134.442099
29,AlAgB,245.67445919999997
30,B4PbO7,663.5193059
31,Na4I2O,568.5131466
32,ThCdAu2,32.80995735
33,Pm2AgRh,22.68554869
34,Ba2NdBiO6,1712.165162
35,Cd4(B2O)3,810.256566
36,W2C,772.1313296
37,Bi4O3F7,33.576550899999994
38,TiZnN2,1308.222049
39,LiMgPd2,5.84039492
40,Al3Pd2,177.684075
41,Sc(CoSi)2,1497.42186
42,BaBr2,757.8121158
43,TbAlNi,82.66947351
44,K(SbSe2)2,1921.5345519999998
45,PmCd3,127.9269922
46,BaNb2O6,2132.907789
47,RbAu3Se2,2799.9976309999997
48,Na3Mn5O2,21.64110145
49,CaCr(SiO3)2,284.24123419999995
50,BaGaCu2,490.00768289999996
51,LiCdAs,3123.968004
52,Tm2S3,2723.3028870000007
53,LiMn2O4,172.67290319999995
54,LaZn,24.15132452
55,LiTlO2,639.4767249
56,ScAg,994.715543
57,NdBr3,1070.404659
58,CuBi(PSe3)2,771.0407536
59,LiAlGeO4,905.3847841
60,ScNiSb,2931.644339
61,KBO2,1098.896265
62,LiVIr2,208.8816837
63,PbF3,1545.846872
64,RbLi7(NiO3)2,27.08669363
65,Na5CrO4,315.9899203
66,CuCl2,93.4488215
67,Sm2Se2O,1269.016122
68,Li3Al2CrO6,639.8873434
69,LiMnFeO4,265.0637177
70,K3NaUC3O,0.209135292
71,NdHo3,290.90655689999994
72,TmAs3,935.9368526000001
73,Pd2N,532.8392134
74,TiGeO3,1215.462166
75,SrNbO3,496.41170880000004
76,Sb3ClO4,1012.628508
77,YSeCl,4166.335378
78,Li2B2Se5,942.1794591
79,RbBF4,582.4140457000002
80,Li3MnP2HO8,167.20031519999995
81,TaInO4,1424.296243
82,Si3Mo,387.391437
83,NbAlO4,1010.569159
84,Sr2CuC(NO)2,0.3948236020000001
85,BeAlIr2,279.7071896
86,V3Co,2345.9331030000008
87,Rb2NaHoF6,1130.917784
88,Mn3PdN,165.6985637
89,ScInIr2,1700.334419
90,Ca3ScCoO6,613.0008424
91,LiHoSe2,2735.745892000001
92,Li2VO3,72.83980482
93,MnNbGe,965.5234234
94,ErTl,38.80082331
95,Na3In2Au,82.81550583
96,CeCuSO,168.3873956
97,Li3Bi,1748.047999
98,SCl,442.59189230000004
99,Ir3Se8,882.4828796
100,FeSb3,1528.426999
101,Mg(FeGe)6,277.0574725
102,YbPm3,1304.768501
103,HoAgSe2,1724.929854
104,CuSe,1105.928868
105,Ca(BIr)2,1822.126553
106,CrFe3,743.3763401000001
107,Li8Cr3TeO2,160.4512672
108,TbNi2,1533.680892
109,RbDyO2,2471.0580879999998
110,DyAgPb,522.1573088
111,Pr3Pb,35.75976987
112,Sr4IrO6,66.84188988
113,LuBRh3,2910.0720890000002
114,Tl2Sn2S3,544.2109383
115,V3Zn2O8,8.650147757000001
116,Na3SbO4,710.6023232999999
117,NaMnF4,677.2261615
118,K2MgH4,2733.2471969999997
119,HoNbRu2,1852.793059
120,NpCdAu2,4530.739502
121,SiTe2,23.12061146
122,LiAl2Tc,526.9986853
123,YIn2Ni,208.82398930000002
124,Fe2P2O7,61.29397771
125,Na2Ti2Sb2O,62.23666136
126,AlVFeCo,324.12939539999996
127,NdHg,530.5702464999998
128,NaNb(CuS2)2,945.210569
129,Er(SiNi)2,1608.563729
130,ZnH2SeO5,845.9836462000003
131,Pr4S3NCl3,673.0663961
132,SiH3F,1955.162222
133,Na6MnSe4,299.5014292
134,Li(CuO2)2,5.361803237
135,GeRh,204.61790530000002
136,NaLi2Sb,1660.155583
137,Sc2GaOs,410.1638592
138,CeB4,677.0524259
139,YbMnGe,70.73183228
140,K2RbBiSe3,792.7735593
141,Ba2YAg3O8,984.1726099
142,Er2TlAg,280.6357318
143,NpC,4.715365987
144,LiTmHg2,236.6032531
145,VSi2,398.6789471
146,NdP,123.93725249999999
147,ErCuGe,1046.535717
148,Mg(CoO2)2,699.0639985
149,Cd(CN)2,710.8987482000001
150,CeS,2094.009747
151,SbAsF8,1315.2820869999996
152,PrNiGe3,57.62683856
153,LiCuBO3,537.9934222999998
154,Mg2SnO4,532.6867925
155,TaZn2SbO6,1709.911937
156,Ti2MnIr,4028.4608299999995
157,GaSi3,53.00647132
158,K2PdF4,484.7451672
159,MgAl2Cu,663.7705052
160,Rb2SBrCl6,1222.191683
161,TmCdHg2,170.6100544
162,YbSe,2105.884901000001
163,LaAsPd,724.4830135
164,Sb4Br2O5,1503.829018
165,CrMoF6,191.3184082
166,Ti2CdO5,967.4751586000001
167,Zn2Fe3O8,132.5432551
168,Ba3NbGa3(SiO2)2,1717.475373
169,Sc3SnC,733.8529756
170,K2TeBr6,2309.0402
171,AlSCl7,130.1291364
172,CdSnAs2,1164.684006
173,LiYO3,45.94857594
174,BaCeO3,45.79923289
175,NdS2,12.73189511
176,YMg2,69.02596796
177,As2Ru,2317.8084280000007
178,SrMn2Si,1321.325278
179,MgCdAg2,13.2249921
180,BaMn4O8,456.1029551
181,Pr3Hf,381.0586243
182,SmC6,17.95467674
183,YbBi2IO4,3459.987868
184,NaSnN,965.2387741
185,Hf5Sn4,44.83721588
186,TiI4,344.60145550000016
187,SnP7Au3,619.0094125
188,ThZnRh2,785.3102455
189,Nd2AgIr,37.52599162
190,Y(MnGe)2,928.6617507000001
191,NaNdTl2,131.26535900000002
192,YbAgSn,278.7680786
193,Ni2SbTe,649.6238725
194,RbRuF6,192.754004
195,Nb2CS,294.53567089999996
196,CaCu3(Ge2O)2,260.3326889
197,SrSiN2,1324.145542
198,HoCl2,586.864809
199,Na4Al3Ge3ClO2,573.6651399
200,USeS,48.63528954
201,Rb2ZnO2,620.590813
202,Rb2Al2B2O7,496.7867428
203,BC2N,739.8332261
204,Zr2AlN,636.9903662
205,DyMgAg2,984.8305793
206,DySi,60.38340095
207,CuP2,1809.259432
208,Pm2ZnIr,120.06064690000001
209,KHF2,761.3252474
210,PaZnAu2,4493.3682
211,CoAgO3,73.33359114
212,YSnO3,675.1524671
213,K2Be2(SiO3)3,653.6714804
214,Ni5(P2O3)2,68.54821052
215,PdAu3,164.32835409999996
216,Li4MnSi2O7,159.27891409999995
217,Er2CuRu,54.85414851
218,Ta4MnS8,52.75083835
219,V(GeO3)2,158.7432843
220,SmAgO2,978.5474351
221,BaMnCO3F2,250.02026099999998
222,NdLuTl2,17.99304567
223,YWN3,838.3609769999997
224,Rb3Co,521.3623818
225,Ba2Si5N8,1682.1051949999999
226,Li2NiO2F,192.96408799999998
227,PmAlAg2,448.5778723
228,Ti4ZnO9,1259.951219
229,KZrSnF7,296.4204538
230,Li2V2S5,118.7827507
231,NaZnF3,1044.879035
232,IrC2,36.46140471
233,CuHgSeCl,465.77510099999995
234,Li2CuPO4,894.671024
235,MnNi2Ge,76.26460548
236,Li3Nb4VO2,1072.25432
237,LaOsN3,492.64764019999996
238,MoI3,596.4365164
239,CaGeO3,424.4438773
240,SmPPt,1239.45406
241,CaVO3,370.95095960000003
242,Li2NiO2,865.4804142999999
243,YNiSn,136.2492854
244,NdMnPO,24.10626179
245,Li5(NiN)3,93.91347516
246,AgClO3,1130.824032
247,Li2V2CoO6,42.60208849
248,Lu(SiPt)2,455.00366809999997
249,Ge2SbO6,355.42672220000014
250,Sr2ZnN2,3248.5143120000002
251,LiNbVO4,192.3879786
252,ZnCdSe2,191.8067823
253,SmAl7Au3,520.2942916999998
254,CuBiSeO,1369.203612
255,RbBiF3,4170.073507
256,SnBO3,249.38038219999996
257,HoAl4Ni,1339.846984
258,YGa2,204.4105619
259,Ti2CoSe4,305.4890104
260,Li2CuSbO5,343.459836
261,YCuS2,2488.910326
262,Tb(SiIr)2,337.9232182
263,TaTeBr9,459.0725183999999
264,MgFe2O5,544.7326649
265,MnTe2,708.5827199
266,Dy3TaO7,1157.977006
267,PdF3,393.1308772
268,MgAgSb,134.5310129
269,PrW3,0.918713793
270,AlPS4,1188.767205
271,RbMnF3,2513.291277
272,Li3V3CrO8,341.4333163
273,BaNiO3,863.4155404999997
274,TlAs,1948.2793960000001
275,Sc6FeTe2,897.9193556
276,Ba2IrO4,1001.151619
277,Dy3S4,1755.689634
278,CaBi3,56.26499242
279,Er2ZnTc,1344.065348
280,Tb2SnS5,823.2435402000001
281,Li2Mn3OF6,134.7911084
282,KNdS2,3080.8529489999996
283,NdMgO3,856.8508788999999
284,NbAlCo2,417.65050519999994
285,GaPPd5,50.48496245
286,CuNiSb2,811.0921758999997
287,Ho(MnSi)2,495.13593849999995
288,Sr2ZnCu2(SO)2,443.9442177
289,HoTe2,18.69647531
290,K2VAgS4,451.8248994
291,MnCu2SnSe4,355.5566099
292,Rb2SCl6F,328.19624280000005
293,LiV2O2,251.6860806
294,Bi4Te3S8,323.7413547
295,Er2Pd2Pb,366.13218789999996
296,Zn(MoO2)4,111.4417293
297,Li2Cr3NiO8,31.84016217
298,Nb3(Fe10B3)2,21.768317
299,Ce(Mo3S4)2,982.9013859999999
300,Li2NdAs2,2831.172722
301,PmGeAu2,0.206143432
302,ZrNiSn,2877.444969
303,NbAs,342.6379778
304,K2PO4,19.07547029
305,Ca2BiAsO6,1514.0080050000001
306,Na2CrO4,495.5102589
307,PrGa2,347.479298
308,Dy3TlC,3.832887073
309,Co9Se8,88.51262518
310,Cr2AgTe4,109.533953
311,Tm(CuO2)2,73.74089137
312,Sm3CuGeS7,1720.243943
313,Ba2SrTeO6,1169.8505619999999
314,HgMoO4,2900.295352
315,Ca2Sn,1980.1372920000001
316,Li2AgF3,855.9427962000003
317,MnNi3,44.81731836
318,Rb2ZrCl6,1513.5259449999999
319,PdSCl,659.5006352
320,Te2Rh3,1013.179924
321,Mn5CoO2,11.14267405
322,BeGa4W,1187.361326
323,Ca3Sn3Rh4,19.30707349
324,Sm(SiPt)2,450.83756830000004
325,KInTe2,1334.163537
326,ScSnAu,346.4147153
327,VFeTe,1052.448714
328,ReSn2Se,76.19728046
329,Ti2AlTc,2389.3169120000002
330,Te2Mo3(SeS)2,246.1641583
331,FeAgTe2,203.33584130000003
332,PmSmHg2,889.0312302000003
333,CeSi2Ru,2672.050222
334,VPbClO3,523.3493406
335,VBiO4,964.4066579
336,NiSe,731.8225446
337,Ba3(HIr)2,2349.100487
338,PdS2,2862.526018
339,Ba3(SiAs2)2,1660.72416
340,Ti6O,24.00499413
341,Mn2SnRu,561.1700808999999
342,TmThTc2,1266.333106
343,SmIn3,1545.102899
344,CaCo4Cu3O2,370.0478349
345,MgMn(GeO3)2,742.0697932999999
346,ScAl,651.6892572
347,Al(BiO3)3,530.1738875
348,VPO4,141.0034631
349,NaTaGeO5,887.824587
350,Li3Nb,699.1104531000003
351,Li4MnFe3O8,327.9889686
352,Sc(HO)3,805.2485889999997
353,H4IN,613.5312309
354,Li8PbO6,827.8842826
355,LiMnSiO4,559.8898422
356,Ba4MgV,514.1327748
357,TlP5,1625.138724
358,In4Bi2S9,913.6029379
359,AlPd,0.671166527
360,K2TaCl6,129.95234969999998
361,V2CdO6,1063.861157
362,Yb2InSn,1051.784505
363,Be2Fe,211.29446800000002
364,KSn2I5,1236.3854939999999
365,Na3AlAs2,1159.990845
366,Ba(GeRh)2,225.6622429
367,K2NaAlF6,960.4656912999999
368,Pm2PtAu,1133.624009
369,La3InB,3865.6015780000002
370,YbCu,5.850581367999999
371,LiV2F5,1115.045409
372,SrHg,2.532316185
373,NaGeSbO5,741.2348095
374,SmInRh,767.7696442000001
375,MnCrRe,181.08141840000002
376,LuNiPb,424.07518930000003
377,Dy3CuGeSe7,1072.933216
378,ErCoSn2,38.42107902
379,LuTaRu2,1230.639363
380,TlBi2,589.4454799
381,HfNiSn,254.0663414
382,GaCuSe2,140.130987
383,ZrCrFe,385.98692289999997
384,Li2MnCl4,786.131934
385,KBeH3,1140.147776
386,PrAl3Ni2,966.8233338
387,Ba2Mg(BO3)2,1782.5109420000001
388,LiNbCuO4,334.3333189
389,SrTiN2,1301.183067
390,ErAgGe,306.6659939
391,Na3AlTe3,1413.503152
392,PdPbF4,1505.160377
393,In2S3,169.70602730000004
394,TiFe2As,139.18103530000002
395,ZrSb2,175.82670019999995
396,Al3Ni2,4.31775331
397,Rb3Pm,124.53147790000001
398,GaS,2052.408526
399,ErBi2BrO4,640.3039058999999
400,Pr3NbO7,1528.400935
401,Sr3LiRuO6,966.4513232
402,H4OF2,1093.741596
403,Rb2WCl6,42.14999487
404,TlPPd5,112.79540630000001
405,HfC,600.5783754
406,Tl4Te3Pb,1999.019948
407,Zn(CrSe2)2,374.98889610000003
408,BeVOs2,4194.8689909999985
409,GaTc2W,831.7093829
410,RbCaSb,2118.472973
411,Er2Sn2O7,698.4732565
412,LiY2Pt,502.4457416999999
413,NaN3,2009.1547039999998
414,PaNi2Ge,90.22635527
415,ThSbSe,28.50819007
416,Ba(MnAs)2,530.1203631
417,Nd3Mg,41.37714056
418,Dy(SiRu)2,693.6629579
419,RbSbBrF3,836.5069087999997
420,Al3Te3I,1931.289367
421,CeB2Ir2C,3492.141694
422,NdCuSn,1194.757616
423,CaZnSO,535.2154605000002
424,Sc2Al3Ru,474.369117
425,PdCl2,651.0751937000001
426,B2IrCl,3245.4028
427,SbPt7,2831.8381879999997
428,Ce2Th2O7,117.7900144
