,pretty_comp,n_Seebeck
0,SbAsO4,-326.22599
1,TaSiAs,-2.736435133
2,BaHBrO,-136.9106733
3,Pr5NiPb3,-78.907651
4,CaPtF6,-446.0011267
5,Li5Mn5(NiO)2,-9.3156048
6,CaAgAs,-128.57132
7,NdH3,-119.31855
8,Ba(NiP)2,-5.646508763
9,NaTmS2,-254.9987467
10,MnP2WO8,2.299578667
11,LiTaO3,-404.7696433
12,Ta2N,-4.935984767
13,MnNi3,-3.6658312999999993
14,BaSiTc2,-2.9691644
15,NpTe,-38.274673
16,BaPbO3,-93.713183
17,UBiSb,-3.485643633
18,Ga2CuO4,-13.33318933
19,La3AlN,0.08801002599999999
20,Ba(MgSb)2,-222.63318
21,CdSO4,-110.4583567
22,PrAlGe,-44.710165
23,Ta2H,9.828352267
24,UCoSn,-15.168629
25,KSb,-178.6005667
26,UHg2,0.35500603299999994
27,FeGeRu2,7.447695299999999
28,Ca2HN,-316.75344
29,TiAlF5,1.098442
30,Ca2Ge,-202.11426
31,Ge2Sb2Te5,-145.1157667
32,Sc4C3,-289.92823
33,TbSF,-119.3434767
34,ErZrSb,-18.674707
35,Be2Si,-14.565531
36,YAuO2,-194.0292
37,CoB,-36.83138933
38,SmErZn2,4.1188237
39,Er2Pt2O7,-286.0849033
40,YSi3Ni,1.977465433
41,BiTeIO3,-213.9286633
42,Bi2O5,-40.564034
43,LuThTc2,-18.149634
44,PrZnNi,-6.939252067000001
45,LuP,-9.5607654
46,Er2Mg,6.612211467000001
47,BaGeF6,-157.4065867
48,Mn2CoSn,-21.321653
49,LiHf2Re,5.6954942000000015
50,Li2FeSi3O8,-321.802
51,Sb2Os,-267.8755067
52,Dy2ZnIn,-6.6485938
53,AgBiI4,-170.7480733
54,Li2PmPb,-15.860548
55,NaTl2Cd,4.9652098
56,TbGaPd,-0.13734296699999998
57,ZrNi5,-1.813500467
58,FePO4,-381.5279933
59,TiTe2,-7.841624433
60,Na2Be2O3,-147.7719867
61,LuPb2,7.870280467000001
62,Bi(TeBr2)2,-284.97929
63,TlI3,-288.7058767
64,AlOs,8.161919500000002
65,YbTlPd2,-10.07563
66,K2CeSi6O5,-576.4588567000002
67,LiH2BrO,-118.2947533
68,TbNi2B2C,-33.850052000000005
69,Tb2Si2O7,-114.9167667
70,Li4VO4F,-438.1330533
71,TiF2,-375.50734
72,YCuSn,-28.23830633
73,BaVO3,-11.731042
74,Sr2MnGaO5,-39.247347
75,K2Yb2O3,-136.29903330000002
76,RbNdTe4,-241.46365330000003
77,Sr4Al6SO6,-138.42706
78,MnInCu2,3.440010767
79,HfSi2,-38.30444633
80,ZnCoPO5,-253.31291
81,ErSe2,-7.716359893
82,YbHfIr2,-16.126003
83,NdOF,-307.78847
84,Y(SiPt)2,-6.522893633
85,Li3Al,9.693754
86,HfW2,-5.7450865
87,Ho5Si3,-44.480628
88,Rb3AsSe6,-336.96078
89,SrMgSn,-104.6826623
90,U2Fe3Ge,2.210147333
91,Sr(SiAu)2,-1.688483407
92,Pd3N,-4.2974901
93,Tm2AgRu,-2.9362266
94,Ca2SiO4,-134.3273
95,Ce2Sm2O7,-438.9965367
96,Li2(CoO2)3,-1.898370093
97,PbF2,-283.21774
98,ScClO,-218.3389333
99,TiPt8,-0.81127014
100,RbNaH2,-207.14753
101,MgH2SO9,-178.31285669999997
102,BaC2(SN)2,-338.9180933
103,Li2CuO2,-40.19462667
104,Na3NO2,-99.36548467
105,RbUCuS3,-32.46480767
106,NaInAg2,1.0851027
107,Ho2Ge2O5,-5.1673624
108,RbI3,-336.5229
109,Li2CuSb,-267.61334
110,NaHoTl2,4.786333900000002
111,Sr3CdPtO6,-267.6354933
112,AlCrNi2,-20.232844
113,YP,-0.90649073
114,FeBr2,4.096122667
115,Na2S2O3,-338.41234
116,SiGe,-289.4396067
117,Tb2Tl,-14.038124
118,PdSe2,-37.113984
119,Nd3Al,3.0754363
120,P2Pd,-242.4261333
121,YBiPd2,-6.0553679670000005
122,Sn2Ir,4.546686533
123,KBeH3,-178.3933233
124,Yb(YS2)2,-192.9748367
125,PrSmMg2,4.1636315
126,Li4MnF8,-276.6311167
127,K2TcCl6,-321.66994
128,KSnAs,-135.41999330000002
129,Na4Ga3Si3ClO2,-98.584156
130,Li2B2Se5,-198.72904330000003
131,CrSiRu2,-35.76506699999999
132,VGaFe2,-15.07768433
133,Cr2NiSe4,7.53481273
134,NaCaAu2,-8.3747173
135,CdInPd2,-5.4343801
136,LiAcTe2,-184.06365
137,Cr2CoS4,-18.98279
138,Be2Ag,-0.54788877
139,Dy2Al3Si2,8.801199567000001
140,Ca(AlSe2)2,-257.9316233
141,ErZn,4.4242224000000006
142,NpAsS,-25.67499167
143,ZnCu2SnS4,-84.26316899999998
144,YAsO4,-127.1726967
145,H6CNF,-230.1383767
146,Mn3NiO8,-328.02164
147,ZnAg,0.88110011
148,NpSe,-24.14045567
149,GaAg,-3.8863773
150,VCu3Se4,-364.03228
151,HoAgPb,-29.46302033
152,Ti4ZnO9,-242.91316
153,AgWS4N,9.414772082999999
154,LiTmAu2,-3.4050672
155,NaDyS2,-254.16353
156,CdSb2Se3Br2,-142.1837733
157,K2SrTa2O7,-164.86685669999997
158,ScAg2,8.379585732999999
159,AsRh,-29.79902167
160,Na5OsO6,-37.648229
161,AgCNO,-380.5591
162,HfMgPd2,8.7740685
163,NdO,-3.395548467
164,Nd(SiPt)2,-6.5680046
165,Pb2Au,0.4285894
166,CrSiTe3,-248.95598
167,SrFeO3,-1.9402301
168,BaHg2Pb,4.5988039
169,Nb2Hg2O7,-69.204491
170,Hf3Rh5,-11.37976657
171,RhCl3,-410.4268167
172,AlCuF5,-17.78003733
173,NaPrHg2,5.6081114
174,CdBr2,-81.11424033
175,PrAl5Ni2,-0.367252203
176,Li2Cr(CoO3)2,8.618866667
177,MnH4(CO3)2,-353.84779
178,Na3Mg,-6.208892333
179,CeHfO4,-570.16409
180,ZrMoP,8.5592556
181,ScNi2,-15.26821
182,CuSiRh2,9.7095136
183,Li6WN4,-447.58524000000006
184,RbNa2AuO2,-301.4957467
185,KNa2Sb,-46.669165
186,Dy3AlN,-18.452245
187,Cr2CoO4,1.0318289
188,HoC2,-8.1060498
189,Rb2CoI4,-321.7546200000001
190,Ca(MnAs)2,-10.3602413
191,BaTaO3,-10.534788
192,TiCdO3,-388.6999367
193,Al4C3,-97.27606133
194,In3Ir,-6.079872333
195,LiNi2Ge,-17.121389999999998
196,K3ZnH5,-290.6223433
197,Li3FeSiBO7,-39.448036
198,UCO5,-522.8057833
199,HfGeO4,-287.8621967
200,Yb2S2O,-270.70843
201,NaGaH8(NF3)2,-141.70575669999997
202,RbZn4P3,-37.37841333
203,Li4Co2S9,-345.1151167
204,Ba2H6Os,-361.78786
205,Ba3Hf2O7,-247.33476
206,Ba2GeSe4,-158.42393669999996
207,Li2TiO3,-256.21395
