,pretty_comp,optb88vdw_bandgap
0,Be2BiMo,0.0
1,LiCo2Ge,0.0
2,Th(AlC)4,0.0
3,Nb2Co3Si,0.0
4,Si2N2O,4.6249
5,Pm2ZnRu,0.0
6,Be2SbPt,0.0
7,Sc2MnSn,0.0
8,SmInAg2,0.0
9,Ba4MgIn,0.0
10,YbPPt,0.0
11,TbCl2F,4.8895
12,CaCuSb,0.0
13,RbSbS2,1.9489
14,Li3V2Cr2O8,0.0
15,HfBe2Ir,0.0
16,FeSiGe,0.3451
17,VH,0.0
18,UGa5Co,0.0
19,Nb3Fe,0.0
20,RbAlO3,0.0
21,Sm5Co2,0.0
22,Sc(MnAl2)4,0.0
23,Li3BiO4,1.4123
24,U(SiAu)2,0.0
25,LiTiBe2,0.0
26,Ag2F,0.0
27,KSiTc2,0.0
28,ScIr,0.0
29,BeReBi2,0.0
30,TmTiGe,0.0
31,MnCoSb,0.0
32,CaMgNi4,0.0
33,Si3P,0.0
34,Pm2SiPd,0.0
35,KAg2AsO4,0.2487
36,H3BrO,4.4683
37,Sm(SiRh)2,0.0
38,LiCaAu2,0.0
39,Li2TlPt,0.0
40,BaGa4,0.0
41,BaCuBi,0.0
42,NbInRu2,0.0
43,PdSeO4,1.2927
44,Yb3SiO,0.0
45,ErAlAg2,0.0
46,KInTe2,1.1146
47,ScGe2,0.0
48,Co(MoS2)2,0.0
49,NaBe2Ge,0.0
50,Be2ZnPb,0.0
51,TmThTc2,0.0
52,SbAsRu,0.0
53,Mn2BeGe,0.0
54,CuAu3,0.0
55,Fe3Si,0.0
56,Ba4YSe,0.0
57,Ti2RePt,0.0
58,Na3VO3,0.0
59,Rb2NaTlF6,3.6825
60,SmSnAu,0.0
61,LiInGe,0.0
62,Ba2InBrO3,2.0435
63,HoGeRu,0.0
64,Na2BeIr,0.0
65,KBaV,0.0
66,BeSb2Br,0.0
67,Zr2Co2P7,0.0
68,NdCdAu2,0.0
69,Dy2AgOs,0.0
70,TiAs,0.0
71,PrI2,0.0
72,Np2InNi2,0.0
73,ErBi2IO4,1.5568
74,ScAlCo2,0.0
75,Mg4As6Ir7,0.0
76,ScCl,0.0
77,Sr2CdIn,0.0
78,YCrF5,0.0
79,HoBr3,2.5614
80,MgScGa,0.0
81,KTiS2,0.0
82,H2CSO4,6.2529
83,Na7NbO6,3.0174
84,GeSb,0.0
85,CeIr5,0.0
86,Si3MoPt2,0.0
87,MgSiO3,2.9213
88,ThBr4,3.16
89,BeHgTe2,0.0
90,SiS2,2.7267
91,Yb2SiO5,0.0524
92,CrGe,0.0
93,Ta2O5,3.1766
94,SiB,0.0
95,Rh3Se8,0.0
96,TbSb,0.0
97,LuInAu2,0.0
98,Li2TiNi2O5,0.0
99,BeInPb2,0.0
100,Be2VRe,0.0
101,YHgPd2,0.0
102,RbSb2,0.385
103,Sc4TaBe,0.0
104,FeTc2Cl,0.0
105,Bi(BO2)3,3.9729
106,PmCu2Sn,0.0
107,AsOs2Cl,0.0
108,CaAsAu,0.0
109,KCeS2,0.0
110,FeAgO2,0.0
111,SrSiO3,3.0362
112,Dy2IrRu,0.0
113,KYb2F7,0.1387
114,SrBeSi4,0.0
115,Hf3ZnN,0.0
116,Li3BN2,3.784
117,Be2CrHg,0.0
118,GaGeRu2,0.0
119,Pr(Al2Fe)4,0.0
120,Ti(FeO2)4,0.0
121,BaHf4Cu,0.0
122,Ba2HfTe,0.0
123,TbCuSi,0.0
124,PrAl3Ni2,0.0
125,BaNa2Pd,0.0
126,NdIn3,0.0
127,TiMn(PO4)2,0.4802
128,SrTaBe,0.0
129,BaSrPb,0.3243
130,Sm3PbC,0.0
131,Ba2YB2ClO6,4.2049
132,CeCdAsO,0.0
133,CaMo2O5,0.2993
134,LiBePd,0.0
135,Yb(As2Rh3)2,0.0
136,TaBeNb,0.0
137,K(Cu2As)2,0.0
138,VZnO3,0.0
139,TlHg5Cl,2.5502
140,Ce(Mo3S4)2,0.3367
141,LiCeSn2,0.0
142,LuCdHg2,0.0
143,Rb2P3,0.74
144,Zr2NiAs2,0.0
145,GeF2,4.299
146,NaSnPd2,0.0
147,YZnGe,0.0
148,Ba3(PO4)2,5.3778
149,YTmO3,4.958
150,NaSr3SbO6,3.1534
151,MgNi,0.0
152,BeTlPb2,0.0
153,ZrSiO4,4.0832
154,Ho2CuRh,0.0
155,CeZn,0.0
156,Co3OF5,0.0
157,Ir3Se8,0.0
158,KAg3Se2,0.0
159,CeCoSi,0.0
160,SrAlSiH,0.7098
161,SrSn,0.0
162,NdMn2,0.0
163,SrIn2Ir,0.0
164,MnNiAs,0.0
165,CaMnBe2,0.0
166,NbPd2,0.0
167,KSnS2,0.0
168,Mg2TaSnO6,0.0
169,YCuP2,0.0
170,CdTeMoO6,3.0765
171,Ba4VTe,0.0
172,BeOsPb2,0.0
173,Mo3O8,0.0
174,DyAlO3,3.1657
175,TcH4NO4,3.4191
176,BePd3,0.0
177,B5H,4.6217
178,Li2BeNb,0.0
179,TaB2,0.0
180,Tl2SiS3,2.0516
181,Ba4ZrMo,0.0
182,MnGeRu2,0.0
183,GaSiAs,0.0
184,MnP2O7,0.6766
185,KBeW2,0.0
186,SmCuSeO,1.4738
187,YTiGe,0.0
188,Tm4InRh,0.0
189,SmAlAg2,0.0
190,SnI4,0.5171
191,TbFeC2,0.0
192,Li2MnV4NiO2,0.1313
193,Li2SbAu,0.0
194,RbB,0.0
195,YbRh2,0.0
196,U3Si2C3,0.0
197,UB2Os3,0.0
198,TaBi4ClO8,1.2678
199,Li2MnCr3O8,0.0
200,Na3Sb3(AsO2)2,1.7291
201,TmSb,0.0
202,Sn7Ir5,0.0
203,PrMgGa,0.0
204,TlFeF3,0.0
205,Li3MnP2HO8,2.3055
206,H6RhN5(Cl2O)3,1.672
207,BiAuBr6,1.1589
208,Ba2SnHg,0.0113
209,LaCuPb,0.0
210,NaTeF5,5.4077
211,ThSb,0.0
212,V2InC,0.0
213,BeFe4Ge,0.0
214,BaMgIr2,0.0
215,BaNaLa,0.0
216,LaSb2Au,0.0
217,BeCoBi4,0.0
218,LuThTc2,0.0
219,ZrSiO,0.0
220,Sm2Tl,0.0
221,BaB2F8,8.4561
222,LiFe3(SnS4)2,0.0
223,V2Te2O7F2,0.6553
