,pretty_comp,dfpt_piezo_max_dielectric
0,K2O2,5.685649287
1,HgTe,34.20230335
2,H4NF,3.93022131
3,TaTlPt,34.38279817
4,TmAgTe2,26.38523813
5,Fe(HO)2,7.1058035870000005
6,Na7NbO6,12.94589059
7,Sm2SeO2,14.01094526
8,Al6Cd4SO2,6.9633191729999995
9,NaSmO2,16.21474699
10,Rb2NiF6,4.457916063
11,KHS,5.79665273
12,Na5MnO4,9.471204087
13,SiP,10.25548426
14,SrLiAlF6,6.705629887000001
15,K4CO4,9.546147203
16,AlGaN2,9.38718699
17,CaMg2N2,17.31495895
18,Yb(DyS2)2,20.00713625
19,WCl4O,7.0546579970000005
20,KNa2Sb,17.44290667
21,BaBAsO5,8.999141352999999
22,H4BrN,6.359458943
23,SmBr3,8.69269551
24,AlI3,5.003794663
25,SrH2O3,6.792961599999999
26,Sm2Be2GeO7,11.8521436
27,V2MoO8,42.18096121
28,MoWSeS3,9.067533973
29,RbSrSiHO4,8.767620792999999
30,Li7BiO6,11.39932195
31,BiTeCl,24.40025168
32,BPO4,4.974315217
33,ZrSeO,25.77216875
34,CaCN2,7.88735093
35,Mg2Al2Se5,10.53301944
36,TaCl4,6.7619955329999994
37,NaBe4SbO7,10.22881961
38,BaAl2B2O7,5.796413827
39,RuO2,20.75199582
40,Na2H6Pt,6.91469367
41,ZrSiO4,18.40617711
42,UTl2O4,30.01592814
43,KAg2PS4,10.75053128
44,KInTe2,12.31345171
45,LuTlO2,54.50732863
46,KTa(GeO3)3,10.159841400000001
47,InBrO,8.544352047
48,SrAlGeH,20.23990953
49,Li3Sb(PO4)2,30.34844309
50,InBi2S4Cl,43.59042625
51,TaI2O,19.0693921
52,DyBi2ClO4,23.36444663
53,Na2H4Pd,7.07692275
54,Li2Si2O5,5.092525193
55,NaSmTe2,16.84497982
56,ZnSeO4,10.1992785
57,YAgO2,10.3614785
58,Dy2SeO2,32.75541843
59,Rb2Se3,9.52460427
60,BaIF,8.767204153
61,Li3AsO4,5.671497433
62,TlIO3,20.53318393
63,LiNbO3,38.57069749
64,BBr3,3.340694103
65,ScOF,43.82167570000001
66,CaZrN2,87.42431865
67,BAs,9.750581097000001
68,Na3BrO,9.083087523
69,Na3VO4,5.167246523
70,HoTlTe2,22.162466199999997
71,TlSbSe2,93.71568725
72,TmTaO4,26.38778786
73,V2O5,19.7038872
74,ZnCl2,5.652986492999999
75,LiMnSiO4,7.957674757
76,Mg2Sb2O5,15.49736724
77,NaN3,4.72573684
78,Ta2ZnO6,74.91369323
79,Te8Mo3W,19.39990867
80,Ba2Sc2O5,24.39069587
81,RbTbSe2,12.76341456
82,RbF,9.370616683
83,Sm3CuSnS7,16.09066975
84,Nb3SBr7,8.807465622999999
85,CuCl,42.73258638
86,CdCl2,6.9935178
87,GaBN2,11.06707945
88,ScCuO2,13.22570626
89,BiTeBr,25.33521812
90,ThO2,20.3123047
91,Na4SnSe4,9.26101967
92,BrCl,33.42959399
93,RbAgSe4,11.44613871
94,SiAs,12.06881595
95,TlZnF3,18.25125066
96,U(BiO3)2,41.25155097
97,BaS,13.50850752
98,BaZrO3,50.5703686
99,NaBeAs,12.299613800000001
100,Pr2SO2,14.13763697
101,NaClO3,5.374201377
102,Hg3(TeBr)2,20.16016382
103,SbBr3,8.624325977
104,HoIO,12.470512199999998
105,Ca2IN,14.29516689
106,RbCaBr3,25.40054517
107,KMnPH2O5,8.101623533
108,Sr4CaCr2(SO3)2,16.75041297
109,K2PdBr4,5.311901927
110,BrN3,25.92332591
