,pretty_comp,dfpt_piezo_max_dielectric_electronic
0,K2O2,3.119535397
1,HgTe,16.81532957
2,H4NF,2.14810232
3,TaTlPt,6.823049617000001
4,TmAgTe2,13.05318728
5,Fe(HO)2,0.86668136
6,Na7NbO6,9.50640038
7,Sm2SeO2,8.429643343
8,Al6Cd4SO2,3.687373583
9,NaSmO2,12.50405688
10,Rb2NiF6,2.087575133
11,KHS,2.90464853
12,Na5MnO4,5.8243124470000005
13,SiP,0.8887596329999999
14,SrLiAlF6,4.68901067
15,K4CO4,6.806864782999999
16,AlGaN2,4.24390749
17,CaMg2N2,11.67342529
18,Yb(DyS2)2,12.34533522
19,WCl4O,2.312338107
20,KNa2Sb,8.76062194
21,BaBAsO5,5.892993303
22,H4BrN,3.222857203
23,SmBr3,4.206823137
24,AlI3,1.008586077
25,SrH2O3,4.011623057
26,Sm2Be2GeO7,8.055507847000001
27,V2MoO8,35.83874357
28,MoWSeS3,0.148534447
29,RbSrSiHO4,5.96784262
30,Li7BiO6,7.66612194
31,BiTeCl,15.09544272
32,BPO4,2.357271583
33,ZrSeO,13.23611909
34,CaCN2,4.51882344
35,Mg2Al2Se5,4.474473107
36,TaCl4,2.47896325
37,NaBe4SbO7,6.944971400000001
38,BaAl2B2O7,3.307526907
39,RuO2,3.311453537
40,Na2H6Pt,3.62751822
41,ZrSiO4,13.8399084
42,UTl2O4,24.18123105
43,KAg2PS4,4.79369171
44,KInTe2,4.104276377
45,LuTlO2,47.81662847
46,KTa(GeO3)3,6.900535207000001
47,InBrO,4.275053403
48,SrAlGeH,6.714096177
49,Li3Sb(PO4)2,26.82915634
50,InBi2S4Cl,33.140767499999995
51,TaI2O,11.94507967
52,DyBi2ClO4,17.82034437
53,Na2H4Pd,3.575557913
54,Li2Si2O5,2.586267097
55,NaSmTe2,9.11299353
56,ZnSeO4,6.41162144
57,YAgO2,5.5055836970000005
58,Dy2SeO2,26.17966268
59,Rb2Se3,2.96553439
60,BaIF,5.079660047
61,Li3AsO4,2.858563287
62,TlIO3,15.74608954
63,LiNbO3,33.01009929
64,BBr3,0.27659581
65,ScOF,39.90367847
66,CaZrN2,77.11198508
67,BAs,0.075615753
68,Na3BrO,5.902632073
69,Na3VO4,2.496551567
70,HoTlTe2,12.15358234
71,TlSbSe2,75.57021165
72,TmTaO4,21.66868553
73,V2O5,14.34690342
74,ZnCl2,2.51755924
75,LiMnSiO4,4.26203707
76,Mg2Sb2O5,9.970088823
77,NaN3,2.32102171
78,Ta2ZnO6,69.28663557
79,Te8Mo3W,8.37174732
80,Ba2Sc2O5,19.94974405
81,RbTbSe2,7.187391487
82,RbF,7.057659103
83,Sm3CuSnS7,8.118672923
84,Nb3SBr7,1.716827153
85,CuCl,36.10719989
86,CdCl2,3.475215347
87,GaBN2,5.63704531
88,ScCuO2,7.465558593
89,BiTeBr,14.78373229
90,ThO2,15.56261809
91,Na4SnSe4,4.241831573
92,BrCl,27.64520086
93,RbAgSe4,2.996286367
94,SiAs,0.6765021929999999
95,TlZnF3,14.91765083
96,U(BiO3)2,33.26310506
97,BaS,8.63005503
98,BaZrO3,45.78771891
99,NaBeAs,4.198715037
100,Pr2SO2,8.931563547
101,NaClO3,2.957781857
102,Hg3(TeBr)2,12.53911599
103,SbBr3,3.906473473
104,HoIO,7.674094352999999
105,Ca2IN,8.65354086
106,RbCaBr3,22.43970068
107,KMnPH2O5,5.27499749
108,Sr4CaCr2(SO3)2,10.81599859
109,K2PdBr4,2.0279829730000003
110,BrN3,21.03916453
111,Ba(BSe3)2,9.34429075
112,CuRhO2,1.437366787
113,Te2W,5.96368801
114,NaAuC2,2.701613423
115,K2Te,2.2347110530000003
116,Zr2SN2,16.20770868
117,K6MnSe4,3.17940112
118,Li(CN)2,2.600715407
119,TlAgI2,11.89997377
