,pretty_comp,dfpt_piezo_max_dielectric_ioonic
0,K2O2,2.56611389
1,HgTe,17.38697378
2,H4NF,1.78211899
3,TaTlPt,27.55974855
4,TmAgTe2,13.33205085
5,Fe(HO)2,6.239122227
6,Na7NbO6,3.43949021
7,Sm2SeO2,5.581301917
8,Al6Cd4SO2,3.27594559
9,NaSmO2,3.71069011
10,Rb2NiF6,2.37034093
11,KHS,2.8920042
12,Na5MnO4,3.64689164
13,SiP,9.36672463
14,SrLiAlF6,2.016619217
15,K4CO4,2.73928242
16,AlGaN2,5.1432795
17,CaMg2N2,5.641533657
18,Yb(DyS2)2,7.661801027
19,WCl4O,4.74231989
20,KNa2Sb,8.68228473
21,BaBAsO5,3.10614805
22,H4BrN,3.13660174
23,SmBr3,4.485872373
24,AlI3,3.995208587
25,SrH2O3,2.781338543
26,Sm2Be2GeO7,3.79663575
27,V2MoO8,6.342217643
28,MoWSeS3,8.918999527
29,RbSrSiHO4,2.799778173
30,Li7BiO6,3.733200007
31,BiTeCl,9.30480896
32,BPO4,2.617043633
33,ZrSeO,12.53604965
34,CaCN2,3.36852749
35,Mg2Al2Se5,6.058546333
36,TaCl4,4.283032283
37,NaBe4SbO7,3.28384821
38,BaAl2B2O7,2.48888692
39,RuO2,17.44054228
40,Na2H6Pt,3.28717545
41,ZrSiO4,4.566268703
42,UTl2O4,5.834697097
43,KAg2PS4,5.956839567
44,KInTe2,8.20917533
45,LuTlO2,6.69070016
46,KTa(GeO3)3,3.259306197
47,InBrO,4.269298643
48,SrAlGeH,13.52581335
49,Li3Sb(PO4)2,3.5192867530000003
50,InBi2S4Cl,10.44965874
51,TaI2O,7.124312427
52,DyBi2ClO4,5.54410226
53,Na2H4Pd,3.501364837
54,Li2Si2O5,2.506258097
55,NaSmTe2,7.73198629
56,ZnSeO4,3.78765706
57,YAgO2,4.855894807
58,Dy2SeO2,6.57575575
59,Rb2Se3,6.55906988
60,BaIF,3.687544107
61,Li3AsO4,2.812934147
62,TlIO3,4.787094393
63,LiNbO3,5.560598193
64,BBr3,3.0640982930000003
65,ScOF,3.917997237
66,CaZrN2,10.31233357
67,BAs,9.674965343
68,Na3BrO,3.18045545
69,Na3VO4,2.670694957
70,HoTlTe2,10.00888386
71,TlSbSe2,18.14547561
72,TmTaO4,4.71910233
73,V2O5,5.35698378
74,ZnCl2,3.135427253
75,LiMnSiO4,3.695637687
76,Mg2Sb2O5,5.527278417000001
77,NaN3,2.40471513
78,Ta2ZnO6,5.627057657000001
79,Te8Mo3W,11.02816135
80,Ba2Sc2O5,4.440951827
81,RbTbSe2,5.57602307
82,RbF,2.31295758
83,Sm3CuSnS7,7.971996827000001
84,Nb3SBr7,7.09063847
85,CuCl,6.62538649
86,CdCl2,3.518302453
87,GaBN2,5.43003414
88,ScCuO2,5.76014767
89,BiTeBr,10.55148583
90,ThO2,4.74968661
91,Na4SnSe4,5.019188097
92,BrCl,5.784393132999999
93,RbAgSe4,8.449852343
94,SiAs,11.39231376
95,TlZnF3,3.33359983
96,U(BiO3)2,7.98844591
97,BaS,4.87845249
98,BaZrO3,4.78264969
99,NaBeAs,8.10089876
100,Pr2SO2,5.206073427
101,NaClO3,2.41641952
102,Hg3(TeBr)2,7.62104783
103,SbBr3,4.7178525030000005
104,HoIO,4.796417843
105,Ca2IN,5.64162603
106,RbCaBr3,2.960844497
107,KMnPH2O5,2.826626043
108,Sr4CaCr2(SO3)2,5.93441438
109,K2PdBr4,3.283918953
110,BrN3,4.88416138
111,Ba(BSe3)2,6.65357848
112,CuRhO2,11.32427419
113,Te2W,10.52713646
114,NaAuC2,4.888049003
115,K2Te,3.5348
116,Zr2SN2,9.4710642
117,K6MnSe4,4.159103053
118,Li(CN)2,3.5418662430000003
119,TlAgI2,6.57242553
120,Na4CoO3,3.823137483
121,NaTlO,7.635515327
122,Tm2SO2,5.044079483
123,CaC2,5.153243523
124,Li4MoO5,4.378204477
125,MgSiN2,5.102086503
126,H3BrO,2.828154877
127,Sr(MgSb)2,9.91812434
128,RbCaAs,5.921696837000001
129,CaAlF5,2.020778497
130,CrF3,3.805789067
131,K6MgO4,3.185151367
132,Y3GaO6,4.084589797
133,RbNdSe2,5.58428728
134,GeS,11.80372815
135,Na3ClO,2.85512762
136,CoCuO2,14.09918707
137,BH3,2.300753313
138,V2O5,6.98277602
139,NaLi2AsO4,2.728546883
140,ErCuSe2,9.828516553
141,CaF2,2.301980063
142,FeCl2,8.328111457
143,YAuO2,5.37844145
144,InSe,12.48112341
145,Rb3TaO8,2.749337017
146,CaHBr,3.949623157
147,NbBi3O7,7.53410732
148,Ca2Pb,12.77426666
149,TaCu3S4,6.21316832
150,ZrIN,7.325339222999999
151,Ca2CoSi2O7,3.249439917
152,Tl2SiF6,2.59599378
153,Na2NiO2,4.62361427
154,H2SeO3,3.11612486
155,Ca2YSnO5,4.390148827
156,DyTlS2,7.164551997
157,KCaBr3,2.87271085
158,KTeOF3,2.525827997
159,BaH4O3,2.896198817
160,PrOF,3.530127787
161,DySBr,4.74188937
162,K2TiF6,2.346367237
163,PbBrF,5.2617461930000005
164,K3TaF8,2.210345057
165,K2AgSb,7.515485867000001
166,Sr2NCl,4.70551654
167,MoSBr,8.45287047
168,Ca2Al2SiO7,2.987797897
169,KTbGeS4,4.980033533
170,SrS,5.82538973
171,Dy3BWO9,4.401452437
172,YOF,3.361683477
173,Al2ZnSe4,6.392002503
174,Ba2HfO4,4.298579633
175,GaPO4,2.504760413
176,NaHg2IO2,5.437828957000001
177,ErF3,2.653433123
178,RbNaO,3.3728822
179,YNiP,17.18752121
180,Ba2AsBr,8.55132773
181,KZnP,8.796187312999999
182,H7NF4,1.860340287
183,MoSe2,14.02786623
184,LiAlAs2O7,3.346719707
185,Hg2IO,7.71077784
186,Ba(MgP)2,8.37565837
187,Ta(TeCl3)2,6.02362585
188,BeSnP2,11.23295474
189,NdCl3,3.854983097
190,Na4WO4,3.914719853
191,ZrFeTe,20.56092156
192,KMgSb,7.696105973
193,YAgTe2,11.37059479
194,SiH,6.3930525970000005
195,SrSnO3,4.32194189
196,K2H6Pt,2.82457233
197,RbNa2Sb,9.9364695
198,Rb3SbSe3,4.25546042
199,AgBiO2,6.381651682999999
200,BaS2,5.077078837
201,KAuS,4.660324887
202,ScCuO2,5.773080307000001
203,Ca(BeP)2,9.517402637
204,RbNaS,3.596133793
205,CaF2,2.25868156
206,CdCN2,4.546757187
207,RbF,2.10606805
208,Sr(NdSe2)2,8.824751812999999
209,Ca(DyS2)2,7.558253277
210,MoWSe4,7.43939144
211,Ag3PS4,7.362514122999999
212,PICl6,3.538083493
213,Na3BiO4,4.432397053
214,LiCoO2,7.97593595
215,HoBrO,3.56718526
216,CuSe2Br,9.218185517
217,AlTlSe2,8.407298377
218,ZrSO,10.09069759
219,Ca(MgAs)2,8.916625983
220,H4NCl,2.85942859
221,Ti(NCl)3,3.95973059
222,CaGaGeH,17.51357676
223,Tl2O,13.4320854
224,ZnCdS2,6.309803653
225,Nd2SeO2,5.593156767000001
226,LiBeP,8.021131723
227,AlBiO3,6.072273497
228,PrBS3,6.626928642999999
229,Zn(GaS2)2,6.202839257000001
230,InGeCl3,5.365090183
231,Y3CuSiS7,7.53830926
232,SmTlO2,6.292868787000001
233,AcClO,3.98265227
234,RbTmO2,3.64392838
235,NdTeF,9.13781018
236,ZnSiAs2,14.00291969
237,SrO2,3.316436993
238,Al2Te5,11.5240636
239,TiFeTe,21.63214384
240,BiF5,2.935075297
241,SrThBr6,4.45686441
