,pretty_comp,dfpt_piezo_max_dij
0,RbCaCO3F,1.401016949
1,Ca(SmS2)2,10.05044776
2,AcOF,15.41295455
3,KBe2BO3F2,1.110512744
4,BaLiP,10.566206900000001
5,HCN,13.80340708
6,YbMgNiH4,0.7827493259999999
7,Rb2LiAsO4,9.751724138
8,TmCuSe2,11.63293876
9,ThNiSn,25.34509202
10,SBr,42.934
11,Li3VS4,19.95172414
12,NaSnN,38.65973154
13,SmH3(CO2)3,7.093783701
14,V2ZnO6,217.59850699999998
15,ZrC,3.3095864660000003
16,VCu3S4,7.543455497
17,TeWSe,8.5
18,SiC,0.410756193
19,Ca2AlBiO5,27.94240574
20,FeSeCl7,7.838405188999999
21,ThSnPt,14.79116809
22,Hg2GeSe4,12.97538462
23,Zn2Sb2O5,6.958755324
24,RbGeIO6,1.059619939
25,Na2GeO3,16.0237201
26,Tl2CdTe4,29.64969697
27,SrMgH4,20.41343543
28,RbSnF3,195.01375380000002
29,Zn(GaTe2)2,2.365201465
30,BaGaGeH,6.7515821260000015
31,KPrSiSe4,11.25106028
32,B2O3,4.541106719
33,Ca(NdS2)2,9.561111111
34,ZrInAu,10.42522361
35,Hg3(SF)2,91.65686275
36,AgHgSI,15.3
37,Al5CuSe8,1.575337187
38,Mg2Sb2O5,17.67192982
39,Zn(SnO2)4,27.37672891
40,ScNiSb,1.7424
41,Te(HO2)2,12.13590767
42,TaBi3O7,131.8944242
43,Pr3SiAgS7,7.3740873439999985
44,BC2N,1.8034911630000001
45,Mg(SbO3)2,8.133432836
46,Th3P4,7.3422680410000005
47,SiC,0.6622766720000001
48,Mg(HO)2,104.6101463
49,AlGa3N4,1.493440514
50,KZnSb,9.606498195
51,CaAlSiH,16.86107939
52,NdH3(CO2)3,8.310307403
53,BaBe2Si2O7,3.5115725510000004
54,AlSCl7,11.23916617
55,Rb2ThF6,8.773770492
56,GaP,3.24095092
57,BrF3,32.91718686
58,CaZrSi2O7,11.75601312
59,HgI2,117.9969697
60,MgAs4,4.069148936
61,HgSeO4,62.41495327
62,NbTl3Se4,151.6166667
63,AlP,1.508776596
64,Mo2Se3S,43.47080144
65,SnC,0.121498662
66,SnF2,25.35306122
67,P4S5,8.651509121
68,Li2ZrTeO6,4.170337592
69,AlGaN2,1.670664207
70,TbAgTe2,20.13042254
71,Pr2AlNO3,9.457384977
72,ZnGeP2,2.3773026319999997
73,Na2ZnGeO4,15.62547491
74,HoAgTe2,18.34093407
75,Ba(GaTe2)2,6.842424242000001
76,HfSO,9.646751189
