,pretty_comp,dfpt_piezo_max_eij
0,PrZr3F5,0.38727
1,Dy3Sb4Au3,0.7781899999999999
2,SrLiP,0.53437
3,RbH3O2,0.21274
4,LiMn5O3F5,0.4215
5,K4Au6S5,0.07462
6,LiMnO2,0.5444
7,Al2CO,1.2582799999999998
8,Yb(YS2)2,0.4367
9,TmNiSb,0.26954
10,LiSb3P2,1.6259
11,TmTaO4,1.35253
12,Na4CrO3,0.6608
13,MgSnP2,0.10342
14,RbCaCl3,0.01111
15,YOF,0.7711899999999999
16,TbH3(CO2)3,0.31094
17,Li2AlVO4,1.99945
18,YN,0.29409
19,Ba(NdSe2)2,0.33492
20,U3H2,0.99655
21,GaAgS2,0.35215
22,Zn2W3O8,1.09208
23,Ba(BS2)2,0.32684
24,BaI2,0.42185
25,Na3AsO4,0.64023
26,RbCaI3,1.88876
27,AlBN2,0.40815
28,V2O5,4.23568
29,CaGaSiH,0.37211
30,Zn(GaS2)2,0.11193
31,Ca2SnN2,1.7531599999999998
32,Ca2Al2SiO7,0.411
33,Mg(BiO3)2,0.44867
34,ZrInAu,0.58277
35,SmH3(CO2)3,0.31701
36,Li4MoO5,2.42332
37,K2O2,0.16055999999999998
38,Sr(GaTe2)2,0.10143
39,AuBrF6,0.1083
40,MgMnF4,0.28419
41,NbBr2O,6.3251800000000005
42,Li2MnP2HO8,0.39194
43,CClF3,0.04003
44,K3Ta3(BO)2,0.29784
45,K3AsSe3,0.0031100000000000004
46,B2S2O9,0.18032
47,Li3BePCO7,1.18262
48,Ca4Mg3H4,0.6290899999999999
49,SrGaGeH,0.23947
50,CaBiAsO6,0.65046
51,Zn2GeS4,0.17722000000000002
52,CdGeAs2,0.12065
53,NaLi3(H2N)4,0.1717
54,Rb2PbO3,0.4773600000000001
55,HOF,0.02658
56,H3BrO,0.15241
57,SiF4,0.17545
58,Al5CuSe8,0.08176
59,Ge2N2O,0.27707
60,KPrSiSe4,0.53003
61,Ba(InTe2)2,0.13230999999999998
62,H4NClO2,0.02769
63,RbSrSiHO4,0.07028999999999999
64,Ba3NbGa3(SiO2)2,0.53394
65,ZnGeP2,0.14454
66,Na4CoO3,0.9254
67,Te4Mo2WSe2,0.08656
68,CdCl2,0.78496
69,ZnSnP2,0.09521
70,LiInTe2,0.051
71,RbIO3,0.9546
72,CdS,0.98053
73,Pr5AgSe8,0.28955
74,H(CO)2,1.05734
75,SiH8,0.01914
76,YZr5O,1.5669
77,BeCN2,0.4682
78,ZnSbF5,1.45446
79,Na3PO4,0.57623
80,VCu3S4,0.14408
81,HgI2,0.38939
82,PNO,0.38297
83,Dy3CuSiS7,1.31324
84,NaHg2IO2,0.07156
85,HfSO,0.6087100000000001
86,Li3CrPCO7,0.71268
87,SCl,0.0971
88,Li2TiTeO6,0.5749
89,Li3NbO4,0.00381
90,Y3CuSiS7,1.30135
91,Al2ZnSe4,0.12627
92,CS2NClO2,0.10143
93,LiMgBi,0.08023999999999999
94,Li4MnSb2WO2,0.5676899999999999
95,SrAl2B2O7,0.3441
96,TeMo2Se3,0.42729
97,TaGaO4,0.34773000000000004
98,Nd3BWO9,0.60554
99,Hg3(TeCl)2,0.35151
100,LiTlPHO3,0.11409
101,FePH5CO4,0.20511
102,LiAlO2,0.04071
103,SrH2O3,0.37309
104,CaAlSiH,0.97166
105,Sr3TaGa3(SiO2)2,0.3876
106,Zr3GeO8,2.20535
107,Tl4SiS4,0.43997
108,BaS3,0.06529
