,pretty_comp,p_powerfact
0,YCd,1246.185244
1,Sb4I2O5,995.0153493999999
2,TiFe2,268.2030481
3,Pd3Pb,1586.532623
4,Li2VSiCO7,402.65310930000004
5,Mo3Pd2N,112.1495374
6,Ti4ZnO9,480.5842121
7,K2TiCl6,2324.779168
8,DyNiC2,1171.48731
9,NdVO4,1299.6681130000004
10,Sc2AlCu,1361.3036869999999
11,SmO,382.62607460000004
12,AlF3,896.261851
13,TcIr3,340.4859938
14,Bi2SO2,4484.477478
15,Hg3(BO3)2,370.3995086
16,Sr3(GeAs2)2,978.5763993999999
17,Zr2Au,11.09519038
18,PaIr3,501.5629557
19,ScCo3B2,805.7880667000003
20,LiAsS2,2376.697265
21,Lu2TcPd,50.04455746
22,Ti4Cu3O2,1520.732046
23,Sm2Re2Si2C,314.9975027
24,Ni3Pb,264.7822815
25,LiTiNiO4,341.859668
26,Nb2Al,58.52516229
27,V2MoOs,1129.668815
28,InS,1357.952367
29,Ti2O3,330.2197398
30,Al2VCl8,54.82979899
31,AcZnAu2,382.745095
32,Na3PS3O,395.47506089999996
33,CdAuO2,1426.594008
34,UO3,2720.9408
35,Li5Cu3Sb2,167.24931999999995
36,ErSb,682.0842487000001
37,Li2PmIn,562.4872255
38,ZrCoSn,479.591614
39,Li2FeSiO5,194.34034330000003
40,NdTeF,2196.4770559999997
41,AgHO2,1153.486625
42,SNCl,836.8055706
43,NaBiF6,154.2284439
44,Ti2CrTe4,244.0828759
45,Li5NCl2,1110.4484
46,BaCu3O4,1181.707497
47,YSi,60.08333365
48,Li2PmSn,890.9866775
49,PtI3,450.08920870000003
50,K3Cu3As2,2062.493786
51,Ge3Bi2O9,891.7291232999999
52,DyPO4,1510.402128
53,Li3TaO4,1254.672151
54,SiPt2,499.9192307
55,DyAl7Au3,600.8721247000002
56,Rb2AgSbS4,502.3882995
57,Tm2AgPt,1396.537452
58,HfGeO4,1143.448179
59,RbBe2P3,144.06706090000003
60,Ba2YSbO6,2070.778867
61,Lu(MnGe)6,32.3368515
62,VRu3C,145.98365280000004
63,TmAs3,859.7511417999997
64,NaCaAs,1545.859108
65,DySb,718.7632456
66,Na3VPCO7,270.0807102
67,Al4Cu2O7,825.3743346
68,InCuPt2,157.83897130000003
69,TbPt2,127.7836581
70,Hf2Si,238.11669750000001
71,LiFe2F7,13.61629399
72,Sm2ZnGa,86.8282679
73,Cd4(B2O)3,689.3881585
74,Tm2AgIr,16.52662992
75,K6Fe2O5,139.5801646
76,InF3,320.5200898
77,VGaTc2,166.8469794
78,BaSr3,1237.526858
79,DyCo5,408.28532210000003
