,pretty_comp,p_Seebeck
0,Ca(CdSb)2,157.23233000000005
1,Al2NiO4,31.28810267
2,TlS,10.157182
3,Ti6O,2.2758753
4,TbPd3,-0.014150965
5,Li2U3P2O5,404.3612533
6,Th(CrSi)2,2.0880693
7,Ca(GaO2)2,453.7571
8,ErVB4,10.44419633
9,CaGeN2,250.90195330000003
10,Na2Ti2O5,312.6693
11,MnZnO3,-2.0634966
12,SnBr4,402.64007
13,HfGa5Co,2.369413353
14,NaIn3,0.51639757
15,AgN3,213.6435333
16,Pm2SiNi,15.401135
17,TiMn2,5.965344067
18,ScAsO3,13.610663
19,NaCo3,18.31760833
20,LuBi2BrO4,273.7864467
21,Li2VCrO4,7.103638367
22,Ti2Zn,8.473274
23,U(Al2Fe)4,20.78355067
24,YCuS2,293.0771367
25,Ce(MgSi)2,60.11689867
26,P3Rh,9.851669367000001
27,Ce(SiAg)2,59.57564
28,PdSO4,432.0968367
29,CeOs2,23.080874
30,Rb4Br2O,283.03886
31,LiTlPd2,-2.860144633
32,Ca(InTe2)2,301.5870433
33,PrCuO2,476.1831767
34,NaPmHg2,2.0434062
35,MgO,367.97246
36,Ti(GeO3)2,332.41743
37,PrAl7Au3,14.9986085
38,KYbO2,27.20426767
39,Nb2Tl2O7,100.1529067
40,Li4NbTe3O2,14.076530599999998
41,ZrRu3,3.5528532
42,SmTmHg2,18.491993
43,Hf2Ga3,9.424577506
44,TiGa5Ni,14.78452433
45,MnCN2,116.154513
46,V3(PO4)2,412.28822
47,RbMnTe2,8.254915067
48,BaZnCr4O8,23.9624315
49,LiAl2Ir,-0.188548823
50,NaNb6O5F,335.3762933000001
51,Y6Os,24.876132
52,K2NiP2,221.0052997
53,AlBN2,360.11493
54,TlBiSe2,203.4595167
55,LiYHg2,9.0432375
56,Sc2AlOs,10.213279
57,Rb3InS3,409.0883567
58,HfMoP,16.56920833
59,MnCuAs,-1.985078733
60,CoAs3,58.580174
61,Sn(HgSe2)2,259.14314
62,Li4TiTe3O2,342.5890167
63,SrGaSnH,115.7003433
64,ScB2,-9.4068748
65,Pr4Bi3,-0.174068757
66,LiErIn2,-6.0189905
67,MnAsRh,13.55574043
68,Be2B,7.682415633
69,NaTaNi,-5.6300597
70,HoInCo4,22.758065
71,Rb2SnBr6,362.00442
72,Ca2Sb,22.90016367
73,Y4C7,55.07317033
74,PmSbPd2,-6.0856801
75,Ag2HgI4,337.97308
76,RbCa2Nb3,413.5105333
77,Mg3Ti2O7,357.4657167
78,CrBO3,457.4743867
79,Rb6AlSb3,233.5065867
80,CeP,26.766163
81,LaCuO2,508.8770633
82,TbYHg2,21.510101
83,NaAg2,-1.893826533
84,Ba2YBr7,360.7164733
85,ZnFeO3,22.79184803
86,BaNb4O6,5.156818867
87,NbTeI3,273.5965733
88,K2P2Pd,322.5540767
89,As4S5,324.8060333
90,BaSiP4(HO2)2,399.9088
91,Na3MnPCO7,307.2008033
92,LiGePd2,-8.0923801
93,NaMg4As3O2,483.56613330000016
94,Na2LiAlH6,294.48758
95,UGePt,13.79205533
96,Sr(SbRu2)2,26.19306567
97,MnAlPt2,-3.776524567
98,HfSiS,3.351894
99,LuZn,5.2893447
100,Li2ZrTeO6,454.43208
101,LiCo2Si,7.7926204
102,BiOF,404.23465330000016
103,ZnHg3,-8.202996933
104,Li2SnGe,20.87021567
105,HOF,544.3508732999999
106,Li2MgBr4,416.6632467
107,CeFe2,37.449153
108,Sm5Co2,5.13816172
109,YZn,6.9055853
110,BH3OF4,488.5273167
111,PPdS,351.8696233
112,SmB2Ru3,-5.447361233
113,U(PS3)2,20.48553833
114,Ba2CaOsO6,5.047395
115,Dy5AgS8,279.6418767
116,Al2ZnTe4,319.30666
117,DyB2,-4.499335067
118,MgCrSiO5,51.0705
119,Sr(P3Pt2)2,251.0170467
120,BaDy2PdO5,420.95851
121,Ba2TlZn,20.69165
122,KReO3,-1.5688095
123,Mg(TiS2)4,-6.695501632999999
124,Nd(MnGe)2,21.44858067
125,CaSnS3,18.36156
126,TiNCl,108.5231633
127,Rb3Sm,16.02134
128,Li3(CoS2)4,128.97437
129,TcSO6F,407.6563667
130,Sm2AlZn,3.0122083
131,Ta2Mn2O7,377.46261
132,Er2AgRu,-3.4552474
133,Cd4(B2O)3,467.06243
134,ScZn2,17.47994567
135,LaAs,8.3746461
136,Sr(SnAs)2,127.03965
137,MnSbPd,1.179148333
138,Sb2Au,10.900308
139,Li3VO4,463.4169267
140,Nb(Te2I3)2,219.1036633
141,YbPbAu2,-7.626267200000001
142,Li2GaPd,-5.537611867000001
143,NdY3,17.109724
144,Ti(SeO3)2,394.2345467
145,NdP,-7.0946123
146,Bi(TeBr2)2,343.03704
147,PrPt,-1.970073
148,LaMnSbO,-4.419844733
