,pretty_comp,formation_energy_peratom
0,ZrGeTe,-0.8014
1,NiTeO4,-0.8210200000000001
2,AgBi(PSe3)2,-0.16487000000000002
3,TaI2O,-1.39821
4,YbClO,-2.26123
5,AlN,-1.52261
6,ReSe2,-0.37984
7,ZrS3,-1.35714
8,SbClO,-1.26137
9,S5N6,0.64863
10,SmGe2,-0.58712
11,AsI3,-0.19585
12,NiCl2,-0.62429
13,CrPS4,-0.47532
14,TiBrN,-1.4974299999999998
15,HfSe2,-1.38302
16,NdBrO,-3.05852
17,ZrFeCl6,-1.42366
18,Pd(Se3Cl)2,-0.18229
19,InBrO,-1.3267
20,Ta3SBr7,-0.97968
21,Fe(PS3)2,-0.19164
22,Re(AgCl3)2,-0.55823
23,MnI2,-0.38468
24,Bi2TeSe2,-0.31886
25,DySb2,-0.21347
26,SrBiBrO2,-2.11552
27,Rb(SbSe2)2,-0.53919
28,BiSBr,-0.6116699999999999
29,Tb2C,-0.31929
30,BaBrCl,-2.48017
31,Lu2CCl2,-1.70269
32,CrBr2,-0.62168
33,TiNbS4,-1.2558200000000002
34,Al2Os,-0.58309
35,VCl2O,-1.65442
36,UTe3,-0.55216
37,ScPS4,-1.0076
38,CaI2,-1.71628
39,Tl2SiSe3,-0.46824
40,AuSe,-0.07314
41,Bi2Pb2Se5,-0.4862
42,Sb2Te2Se,-0.1974
43,BiClO,-1.39849
44,BiIO,-1.07756
45,Sn(BiTe2)2,-0.26145
46,CrSiTe3,-0.14145
47,Rb3Mo2Cl9,-1.48492
48,YGaI,-1.10374
49,SbSI,-0.25249
50,HgPS3,-0.15992
51,Nb3SBr7,-1.05071
52,PbI2,-0.65852
53,Mg2Al2Se5,-1.11609
54,Fe3Se4,-0.1591
55,Tb(CuS)2,-0.89143
56,BaV4O8,-2.45408
57,Nb2Te6I,-0.36327
58,LuIO,-2.90683
59,HfCl4,-1.87674
60,Al2Te3,-0.48681
61,BiSI,-0.46516
62,GaAg(PSe3)2,-0.18368
63,Ca2Cu(BrO)2,-2.0986599999999997
64,YCBr,-1.21922
65,SiS,-0.38924
66,PSe,-0.04488
67,HgI2,-0.15174
68,NbBr2O,-1.61493
69,Al2Si4O,-2.9783
70,NbTlBr4O,-1.28921
71,Hg3(BO3)2,-1.29969
72,KCN,-0.39052
73,TiNCl,-1.66356
74,KrF2,-0.12412999999999999
75,DyTe3,-0.58943
76,CaHI,-1.2298799999999999
77,VAg(PSe3)2,-0.23824
78,TiTe2,-0.71943
79,HoIO,-2.90911
80,ZrP2(HO3)2,-2.2280900000000003
81,Te2Mo,-0.2288800000000001
82,TiS3,-1.09633
83,BiBrO,-1.25771
84,CdBiClO2,-1.30322
85,CdS,-0.35854
86,BaIF,-3.05209
87,NbCoTe2,-0.34851
88,HfTe2,-0.84264
89,SnF4,-2.44524
90,GeS,-0.35955
91,AlPS4,-0.62133
92,CoI2,0.01733
93,SbSeI,-0.33721
94,KMnP,-0.4572100000000001
95,TbHO2,-2.72031
96,BaThBr6,-1.9717
97,TbCl,-1.51204
98,TlPt2S3,-0.4849
99,Co3SbO8,-1.09265
100,Pt(SCl3)2,-0.28179
101,BiI3,-0.45744
102,InTeBr,-0.55092
103,TePdI2,-0.24185
104,SrHI,-1.29189
105,P2Pd3S8,-0.32429
106,Sr2FeClO3,-2.47478
107,Y2GeI2,-1.32016
108,YbCl3,-1.77433
109,AlClO,-2.55015
110,VBr2O,-1.45936
111,PPdSe,-0.3608
112,YbBrO,-2.18213
113,ZrTe5,-0.48481
114,Co3TeO8,-1.03385
115,Bi2PbSe4,-0.45752
116,TmClO,-3.26874
117,SiAs,-0.05699
