,pretty_comp,shear_modulus_gv
0,USiAu,49.306999999999995
1,DyCuSn,52.953
2,HfC,62.113
3,NaGe2N3,78.0
4,BeAl2O4,154.767
5,ScBeHg2,14.732999999999999
6,SnH8(CI)4,3.22
7,BaSnO3,94.86
8,Dy(CoSi)2,90.633
9,Sr2PdO3,65.84
10,VFeSe,43.12
11,Tl(CuS)2,17.7
12,ZnRhF6,32.42
13,ThSiAu,65.447
14,GaAsPd5,59.3
15,RbMnTe2,14.467
16,LiPN2,115.78
17,Ti3O2,91.46
18,HoHg,27.8
19,LiBe2Br,12.547
20,Ca(CdAs)2,29.506999999999998
21,Mn2ZnO4,36.96
22,PrGe,47.047
23,Mn2As,33.687
24,HfBeSe2,17.14
25,TiAsPd2,8.9
26,BaB6,135.66
27,ErAu2,45.187
28,Na2NiO2,39.87300000000001
29,TaAs2,97.56
30,LiZn2Rh,47.42
31,Sc2MnSn,19.14
32,K8N3O,12.66
33,ScBeIn,41.4
34,Ca3SbN,52.22
35,Zn2(PS3)3,11.972999999999999
36,ScPdO3,30.3
37,SmAsPd,40.76
38,Nd(SiPt)2,50.38
39,Pm2S3,21.193
40,SrAgBi,23.706999999999997
41,Li2CrCl4,16.247
42,CeGeAu,17.82
43,Hg3(TeBr)2,5.58
44,SnP,45.3
45,Na2P2PbO7,25.413
46,Al2HgSe4,21.647
47,Rb3Pb,4.08
48,LiBi,12.007
49,YbBr2,14.54
50,FeSb,63.46
51,Na2Te,11.74
52,Mn3(OF)2,24.807
53,BeCo2Rh,98.75299999999999
54,PH4I,10.327
55,HfAu,66.92
56,LiAuI4,8.567
57,LuPb3,10.54
58,Er(PRu)2,97.44
59,BaCu2Cl,15.4
60,NpGa3,57.72
61,K2YBe,8.687000000000001
62,Pm2AgGe,23.98
63,TeAsIr,30.78
64,ThCl4,21.98
65,Rb2TeCl6,9.18
66,U(CoSi)2,87.96700000000001
67,KHSeO3,16.993
68,MgAg3,31.34
69,FeSi5,111.38
70,Sc2MnS4,30.9
71,ScBeCd2,23.96
72,SiGe,56.02
73,Ca2Sn,21.62
74,YbNdCd2,24.8
75,RbF,22.46
76,LiCaAlF6,41.927
77,YBiPd2,21.3
78,Sc2GaAu,34.64
79,YbAu2,28.62
80,NbPO5,65.487
81,Sb2Te4Pb,24.72
82,Ca(VN)2,23.32
83,IClO3,14.4
