,pretty_comp,slme
0,HgB4O7,0.186772019
1,K2NaInP2,14.57616389
2,K4CdAs2,22.16057012
3,Ba2H6Ru,13.93100398
4,K3P,23.09754629
5,Ca3(AlN2)2,0.8940621790000001
6,Pr2PbS4,5.87392835
7,Yb2PrDyS6,28.65179754
8,ZnGeP2,16.81699452
9,NaAgF4,32.35799817
10,Te4W3Se2,5.844484962999999
11,K2H4Pt,0.009365373
12,LuSBr,0.068868308
13,K2NaBP2,6.216751532000001
14,MoW3S8,31.59985549
15,DyBiPt,5.841769454
16,ZnWF6,3.994371788
17,LiInTe2,16.79302575
18,K2TiO3,0.000495631
19,Sb2H8Pt(O2F)2,5.515232861
20,VCu3Te4,11.92355654
21,BaHI,0.480625411
22,CuSe2Cl,13.30209619
23,NaAg3O2,33.94340932
24,Na4Ti5O2,4.684608778
25,Rb4CuSi2O7,30.67361979
26,Rb2PdBr6,33.33924118
27,P2Pd3S8,26.42125342
28,Rb2PtS2,12.84709382
29,SrTa2Bi2O9,2.08e-11
30,ErAgSe2,4.410691926
31,BaNa4O3,1.6399999999999998e-08
32,K2TiS3,33.91702992
33,ZnS,0.927583527
34,TeBr2,30.54504908
35,Rb2Se,0.018242668
36,LaN,5.841769454
37,Ca4P2O,19.27628154
38,NbRhO4,25.30087502
39,NdTlS2,4.389902988
40,KNa2BN2,3.72e-06
41,Sr2SbAu,27.93341033
42,RuO2,10.38987202
43,SmAgO2,0.000202914
44,K2SeBr6,11.16909085
45,Pr2CdSe4,21.63444328
46,Ce3ZrO8,27.7647819
47,TlI,3.320837482
48,K2TeS3,1.847282735
49,K2PdCl4,30.51343129
50,Sm2TeO2,2.60484231
51,ZrSnPd,8.097783198
52,Ag2SnHgSe4,14.73143531
53,NbBiO4,0.997191595
54,Na2Pd3O4,11.34948073
55,CaSi2WO6,29.97056827
56,AgClO3,6.86e-06
57,BaAg2GeSe4,29.08218821
58,KNaTiO3,5.69e-07
59,K2Hg3(GeS4)2,5.120255959
60,HgO2,10.29590946
61,Ca(BH)2,0.440952131
62,HfTeSe4,33.75943838
63,PbBr2,0.951680504
64,Tl2AgI3,1.419722341
65,Mg2NiH4,16.78275665
66,NaLaSe2,3.853606949
67,SrSnO3,0.364301433
68,Ho6WO2,0.710327864
69,Zr(MoO4)2,0.193258491
70,InBr,20.32292275
71,AcTlTe2,22.63263076
72,KCuO,25.08639501
73,DyBr3,0.043163543
74,Nd2O3,33.3637332
75,Dy2TiO5,1.540091026
76,Mg2TiO4,0.064009925
77,KThCuS3,14.68886619
78,WBr4O,33.36563777
79,NaSbS2,30.33581886
80,MgFeF6,2.416630729
81,YCuSe2,14.46335983
82,CuH,7.6054775239999985
83,NaCaAs,8.252422344
84,KPrGeSe4,15.83225339
85,Sm2SCl4,4.17e-20
86,Cd4OF6,1.3e-13
87,MoCl4O,26.46732272
88,Te4W3S2,5.841769454
89,MgSnO3,4.3e-09
90,FePb2(CN)6,0.196784706
91,TmBi2ClO4,1.5713323890000002
92,LuBi2IO4,2.075757341
93,Sr4As2O,25.65858396
94,Zn2SiO4,1.8100000000000006e-05
95,Dy3CuSnS7,20.28738541
96,VSbRu,0.976148256
97,MgH2,1.02e-10
98,NaClO2,0.04723668
99,Ba2CuClO2,8.900262307
100,LaAgO2,0.227026657
101,SrCuSF,6.933031045
102,RbYS2,0.193695651
103,LiSb3O8,19.32785252
104,Bi4O3F7,4.994862782
105,Th(PS3)2,3.3228067830000003
106,K2TeBr6,8.039931075
107,TeAuCl7,14.76322483
108,Te2Br,20.74306594
109,AlCuO2,4.959786449
110,Sb2O5,31.90183231
111,K2HgS2,1.6937104040000002
112,SNCl,1.289392911
113,ScVO4,5.442404354
114,Na6PbO5,8.900262307
115,Te2Mo3W(SeS2)2,0.029046396
116,NaIO4,2.25355163
117,TaAgF6,0.244096402
118,CdSbS2Br,14.71331935
119,Cd3(BO3)2,0.984458324
120,DyBi2IO4,2.883432054
121,ZrCl4,0.088550801
122,BaSrTa2O7,0.01678657
123,NbAsPCl3,5.864393375
124,KAuF6,18.09624417
125,Rb2IrF6,3.053525563
126,LiVOF4,2.035586197
127,Sr3AsP,22.5538704
128,Tb2Ti2S2O5,32.29098168
129,ZrNCl,25.29772034
130,B6P,2.609183265
131,Rb3Os2Br9,20.00114522
132,Li8BiO6,28.33052387
133,NaMgP,3.242725053
134,MoS2,21.13026529
135,Na5SbO5,0.57974269
136,Ga2PdBr8,32.56857933
137,YPbAu,5.841769454
138,RbPrS2,0.611217267
139,Sn7S2,11.46434533
140,K2S3,9.744448412
141,Rb3PS4,0.002877046
142,K3SbSe4,16.44979312
143,SiAs,26.11642445
144,Li3TaO4,2.66424522
145,BiAuO2,8.837179639
146,K2VAgS4,29.02490175
147,H6RhN5(Cl2O)3,29.15265448
148,Sm3CuGeS7,15.00269511
149,Rb2PdF6,18.18887524
150,Ga2HgSe4,21.33757317
151,Ca2As,5.644994842000001
152,Y6UO2,18.68559304
153,YbS,0.001802671
154,Na4SnO3,0.311031079
155,InSn2Br5,11.96729423
156,K3CrO8,28.83121003
157,TlBrO3,0.001428655
158,Na5ReO6,4.0536729939999985
159,PrTeCl,28.87568427
160,Lu2TiO5,0.640588255
161,HgTe,5.841769454
162,Na3AlP2,4.548650181
163,Zr6BI2,32.54832777
164,KDyS2,0.018866058
165,LiScF4,1.074817166
166,CS2NF5,0.063789396
167,Ba3AsN,16.61645284
168,ScInO3,0.030187972
169,TbH3,7.484469069
170,K2B2S7,0.500819362
171,Cr4InCuSe8,9.199585622
172,ErBi2IO4,2.3735053930000003
173,K2Ti(SiO3)3,0.94179943
174,Rb2SeCl6,2.849577495
175,Ba2NbInO6,0.009302818
176,Li2MgCl4,10.32264021
177,Li2GeF6,12.10603435
178,ZnNiF6,25.18567512
179,CaTi2O5,1.809383349
180,Pd(SeBr3)2,32.35108047
181,DyMoClO4,0.164882475
182,GeAsSe,19.55486015
183,K2Li4UO6,20.62535841
184,Sr3CdO4,5.280153294
185,In5CuS8,18.12922398
186,NaZnP,28.23156888
187,SmTlSe2,8.100539545
188,TlInS2,12.71143154
189,RbSmSe2,1.033648968
190,KClO2,0.000116325
191,CuAsSe2,24.95304777
192,HoBiO3,0.014472017
193,K3BP2,6.398618382
194,CdBiS2Cl,8.05428233
