,pretty_comp,spillage
0,TmBRh3,1.4569999999999999
1,ZnTe,0.256
2,TmRh,0.081
3,Nd2SnS5,0.05
4,Lu(AlC)3,0.044000000000000004
5,ZrFeP,0.6990000000000001
6,ScInCu4,0.01
7,Ga2Se3,0.076
8,Bi2Te2S,2.104
9,YBiPd2,0.321
10,Li3PrSb2,0.456
11,PdPbO2,0.14300000000000002
12,HoZn,1.996
13,TcNiW,0.161
14,LaS,0.102
15,ZrPt,0.11
16,TiP2,0.012
17,AlPt,1.6119999999999999
18,InPPd5,0.11
19,ThSe,0.444
20,TlPPt5,2.24
21,LiPm2Rh,0.07200000000000001
22,HfMgPd2,0.895
23,TbInAg2,0.527
24,SnPd3,2.82
25,HfTe5,0.57
26,MgGeRh2,0.294
27,TaAlOs2,0.852
28,SmTl,0.38
29,Nd3GaN,0.38
30,Ba2PdO3,0.057999999999999996
31,Ca3(SiIr)4,0.958
32,TiBiRh,0.665
33,ScB4Os3,0.5429999999999999
34,Li2CuAs,2.008
35,TbN,0.044000000000000004
36,NbTlPt,1.114
37,LiTm2Co,0.09
38,Bi3Rh,3.312
39,GaAg(PSe3)2,0.095
40,RbAgBr3,0.036000000000000004
41,NdCuSn,0.309
42,ZrNbP,0.272
43,ThAs,0.755
44,YTlAg2,0.564
45,Mg3Si8Ir3,0.517
46,Ti4As3,0.221
47,Pm3Pb,1.129
48,ZnCu2SnSe4,1.162
49,Sr3GaN3,0.011000000000000001
50,Li2YTl,1.246
51,AcEr3,0.895
52,Y3SnC,0.042
53,PrTeCl,0.045
54,YOsO3,1.102
55,BaAl2,0.021
56,SrGa2,0.018000000000000002
57,HfZnCu2,0.113
58,K(InAu2)2,2.208
59,Sb3Au,1.0090000000000001
60,DyAl,0.047
61,ZrAg,0.23
62,HfS3,0.051
63,HfNi2Sn,0.052000000000000005
64,PW4Cl,0.258
65,Ho(SiPt)2,0.956
66,ZrB,0.009000000000000001
67,Ca3BiP,1.271
68,InAs,0.502
69,PrSmZn2,0.068
70,SmAs,0.517
71,Hf2S,0.514
72,TmZrOs2,0.47
73,TbMgRh2,0.07400000000000001
74,YbTaRu2,0.152
75,SmGaSb2,0.41100000000000003
76,FeTe2,0.205
77,SmErMg2,0.046
78,Th2Al2C3,0.231
79,HoGeO3,0.045
80,DyTe,0.943
81,Na2CdPb,0.9670000000000001
82,Yb3Ge5,0.126
83,Te6MoW3Se2,1.085
84,BaMg(SnO2)4,0.016
85,PdC,0.768
86,TaTi2N3,0.61
87,Sb3Ir,0.40399999999999997
88,IrOsW,1.15
89,KTeAu,2.096
90,TaSiRh,0.685
91,Sr2As,0.012
92,Ti2MnIr,0.428
93,ScSbPt,0.10099999999999999
94,YbHfIr2,0.579
95,NiAsS,0.057
96,Sc3TlB,0.32
97,Sr(P3Pt2)2,0.374
98,Ba2TlZn,0.8190000000000001
99,ZrScOs2,0.544
100,TmPd3,0.05
101,Nd3SnN,0.11900000000000001
102,TiBe,0.002
103,ZrCdAu2,0.18899999999999997
104,TbBi,1.324
105,TmTaRu2,2.065
106,Ho3InC,0.226
107,Sm3InN,0.035
108,VOsCl,0.452
109,TiGaFeCo,0.044000000000000004
110,TmInCu4,0.032
111,PrDyMg2,0.049
112,YSbPd2,0.836
113,Bi2Te2Se,2.1
114,In5AgTe8,0.307
115,PrMgNi4,0.17300000000000001
116,HfBeSi,0.975
117,BaAu5,0.91
118,Ca2Sb2O7,0.012
119,TcB2,0.616
120,TaIr,2.0709999999999997
121,YH2,0.002
122,HoInPd2,0.06
123,LuGeRu,0.736
124,TmCu4Ag,0.326
125,Nd2Te3,1.892
126,Sc2GaRu,0.027000000000000003
127,In2Sn2O7,0.013000000000000001
128,TlTe3Pt2,0.35700000000000004
129,Al3Pt5,1.455
130,Lu2In,0.557
131,Ho3AlN,0.067
132,ThSnPt,0.16899999999999998
133,ErAgHg2,0.986
134,BaYCuBiO5,0.10800000000000001
135,Ca(CdAs)2,0.048
136,Nb3Sb,0.5920000000000001
137,Sc2GaTc,0.025
138,HoAgPb,1.587
139,ErAgSe2,0.044000000000000004
140,LuS,0.8320000000000001
141,Ni3(PbSe)2,2.239
142,YZnGe,0.40399999999999997
143,Pr(PRu)2,0.769
144,SmN,0.183
145,Yb2HgPb,1.423
146,LiPm2Ru,0.46399999999999997
147,Th(SiPd)2,0.081
148,PrBiAu2,2.1319999999999997
149,ZnPd2Au,0.821
150,ZnCu2GeS4,0.03
151,ZnCu2SnS4,0.039
152,Hf2Si,0.14800000000000002
153,Sb3O7F,0.008
154,MgSn3,0.397
155,TbAlAg2,0.08800000000000001
156,Li3Cu2SbO6,0.023
157,Yb3DySb3,0.45
158,ErPaTc2,0.423
159,PrEr3,0.614
160,SnS,0.005
161,LuCdPd2,0.384
162,MgHg,1.101
163,TePd3,0.22
164,Ca2AgBi,0.32899999999999996
165,AgHgPd2,0.18100000000000002
166,Bi2Pd3S2,1.954
167,BaGePt,1.8159999999999998
168,LuSi3,0.079
169,LiInSe2,0.025
170,LiGaPd2,0.722
